X,Y,Z,formation
0,0,-52,topo
70,0,-51,topo
142,0,-38,topo
264,0,-34,topo
330,0,-34,topo
452,0,-34,topo
636,0,-27,topo
815,0,-26,topo
1055,0,-16,topo
1188,0,-2,topo
1338,0,0,topo
1469,0,-6,topo
1603,0,-14,topo
1716,0,-38,topo
1852,0,-69,topo
1935,0,-89,topo
10,0,-97,overburden
69,0,-99,overburden
179,0,-88,overburden
235,0,-82,overburden
348,0,-78,overburden
563,0,-76,overburden
760,0,-75,overburden
938,0,-67,overburden
1053,0,-56,overburden
1169,0,-51,overburden
1256,0,-36,overburden
1186,0,-57,rhyolite
1230,0,-65,rhyolite
1284,0,-85,rhyolite
1349,0,-99,rhyolite
1491,0,-114,rhyolite
1578,0,-132,rhyolite
1674,0,-182,rhyolite
1724,0,-192,rhyolite
1816,0,-218,rhyolite
1793,0,-229,rhyolite
1634,0,-180,rhyolite
1560,0,-149,rhyolite
1488,0,-134,rhyolite
1448,0,-173,rhyolite
1464,0,-199,rhyolite
1530,0,-219,rhyolite
1581,0,-211,rhyolite
1678,0,-234,rhyolite
1760,0,-260,rhyolite
1845,0,-294,rhyolite
1912,0,-326,rhyolite
1957,0,-375,rhyolite
2021,0,-463,rhyolite
3,0,-277,zinnwaiditegranite
43,0,-275,zinnwaiditegranite
63,0,-251,zinnwaiditegranite
103,0,-250,zinnwaiditegranite
143,0,-254,zinnwaiditegranite
199,0,-283,zinnwaiditegranite
274,0,-296,zinnwaiditegranite
390,0,-306,zinnwaiditegranite
475,0,-317,zinnwaiditegranite
566,0,-328,zinnwaiditegranite
635,0,-351,zinnwaiditegranite
690,0,-372,zinnwaiditegranite
740,0,-405,zinnwaiditegranite
861,0,-453,zinnwaiditegranite
1004,0,-464,zinnwaiditegranite
1156,0,-476,zinnwaiditegranite
1239,0,-482,zinnwaiditegranite
1317,0,-511,zinnwaiditegranite
1374,0,-522,zinnwaiditegranite
1463,0,-525,zinnwaiditegranite
1597,0,-532,zinnwaiditegranite
1721,0,-541,zinnwaiditegranite
1847,0,-599,zinnwaiditegranite
3,0,-588,lowmicagranite
120,0,-574,lowmicagranite
286,0,-578,lowmicagranite
504,0,-593,lowmicagranite
777,0,-597,lowmicagranite
937,0,-602,lowmicagranite
1139,0,-614,lowmicagranite
1331,0,-617,lowmicagranite
