X,Y,Z,formation
20.21,530,-21.8899999999999,topo
222.31,930,-21.8899999999999,topo
1475.33,10,6.79000000000007,topo
181.89,530,-36.23,topo
1556.17,590,-50.5699999999999,topo
1717.85,470,-64.9099999999999,topo
990.29,430,-21.8899999999999,topo
949.87,890,-50.5699999999999,topo
626.51,230,-21.8899999999999,topo
1596.59,550,-50.5699999999999,topo
1677.43,230,-36.23,topo
990.29,330,-7.54999999999995,topo
666.93,570,-36.23,topo
1313.65,690,-36.23,topo
1515.75,50,-7.54999999999995,topo
101.05,510,-21.8899999999999,topo
707.35,630,-36.23,topo
343.57,710,-36.23,topo
1475.33,410,-21.8899999999999,topo
1475.33,990,-93.59,topo
545.67,450,-36.23,topo
1192.39,870,-50.5699999999999,topo
1030.71,790,-36.23,topo
1111.55,790,-50.5699999999999,topo
1475.33,850,-79.25,topo
141.47,550,-21.8899999999999,topo
1273.23,70,6.79000000000007,topo
869.03,270,-21.8899999999999,topo
1879.53,750,-136.61,topo
1515.75,570,-50.5699999999999,topo
949.87,30,-7.54999999999995,topo
343.57,830,-36.23,topo
1637.01,790,-93.59,topo
262.73,570,-36.23,topo
2000.79,910,-179.63,topo
666.93,30,-21.8899999999999,topo
1677.43,650,-79.25,topo
1677.43,730,-93.59,topo
1637.01,90,-7.54999999999995,topo
707.35,30,-21.8899999999999,topo
626.51,630,-36.23,topo
990.29,150,-7.54999999999995,topo
1394.49,330,-7.54999999999995,topo
666.93,650,-36.23,topo
1919.95,850,-150.95,topo
1596.59,130,-7.54999999999995,topo
1232.81,850,-50.5699999999999,topo
1030.71,810,-50.5699999999999,topo
101.05,650,-21.8899999999999,topo
101.05,610,-21.8899999999999,topo
1717.85,110,-36.23,topo
1960.37,710,-150.95,topo
1232.81,990,-64.9099999999999,topo
626.51,130,-21.8899999999999,topo
1515.75,750,-64.9099999999999,topo
869.03,550,-21.8899999999999,topo
1192.39,110,6.79000000000007,topo
2000.79,50,-122.269999999999,topo
1111.55,190,-7.54999999999995,topo
101.05,30,-36.23,topo
20.21,530,-64.9099999999999,overburden
222.31,930,-36.23,overburden
181.89,530,-64.9099999999999,overburden
990.29,430,-36.23,overburden
626.51,230,-64.9099999999999,overburden
990.29,330,-36.23,overburden
666.93,570,-50.5699999999999,overburden
101.05,510,-64.9099999999999,overburden
343.57,710,-50.5699999999999,overburden
545.67,450,-50.5699999999999,overburden
141.47,550,-64.9099999999999,overburden
1273.23,70,-21.8899999999999,overburden
869.03,270,-50.5699999999999,overburden
949.87,30,-64.9099999999999,overburden
262.73,570,-64.9099999999999,overburden
666.93,30,-79.25,overburden
707.35,30,-79.25,overburden
990.29,150,-50.5699999999999,overburden
101.05,650,-50.5699999999999,overburden
101.05,610,-64.9099999999999,overburden
626.51,130,-64.9099999999999,overburden
869.03,550,-36.23,overburden
1192.39,110,-36.23,overburden
1111.55,190,-36.23,overburden
101.05,30,-93.59,overburden
222.31,930,-107.93,rhyolite
1475.33,10,-193.97,rhyolite
1556.17,590,-251.33,rhyolite
1717.85,470,-280.01,rhyolite
990.29,430,-79.25,rhyolite
949.87,890,-193.97,rhyolite
1596.59,550,-251.33,rhyolite
1677.43,230,-222.65,rhyolite
990.29,330,-50.5699999999999,rhyolite
666.93,570,-79.25,rhyolite
1313.65,690,-208.31,rhyolite
1515.75,50,-208.31,rhyolite
707.35,630,-93.59,rhyolite
343.57,710,-79.25,rhyolite
1475.33,410,-193.97,rhyolite
1475.33,990,-294.35,rhyolite
1192.39,870,-222.65,rhyolite
1030.71,790,-179.63,rhyolite
1111.55,790,-193.97,rhyolite
1475.33,850,-280.01,rhyolite
1273.23,70,-79.25,rhyolite
1879.53,750,-380.39,rhyolite
1515.75,570,-236.99,rhyolite
343.57,830,-107.93,rhyolite
1637.01,790,-308.69,rhyolite
2000.79,910,-423.41,rhyolite
1677.43,650,-294.35,rhyolite
1677.43,730,-308.69,rhyolite
1637.01,90,-193.97,rhyolite
626.51,630,-93.59,rhyolite
1394.49,330,-150.95,rhyolite
666.93,650,-93.59,rhyolite
1919.95,850,-394.73,rhyolite
1596.59,130,-179.63,rhyolite
1232.81,850,-222.65,rhyolite
1030.71,810,-179.63,rhyolite
1717.85,110,-208.31,rhyolite
1960.37,710,-409.07,rhyolite
1232.81,990,-251.33,rhyolite
1515.75,750,-265.67,rhyolite
869.03,550,-93.59,rhyolite
1192.39,110,-50.5699999999999,rhyolite
2000.79,50,-437.75,rhyolite
20.21,530,-351.71,zinnwaiditegranite
222.31,930,-380.39,zinnwaiditegranite
1475.33,10,-523.79,zinnwaiditegranite
181.89,530,-366.05,zinnwaiditegranite
1556.17,590,-538.13,zinnwaiditegranite
1717.85,470,-566.81,zinnwaiditegranite
990.29,430,-437.75,zinnwaiditegranite
949.87,890,-480.77,zinnwaiditegranite
626.51,230,-366.05,zinnwaiditegranite
1596.59,550,-538.13,zinnwaiditegranite
1677.43,230,-538.13,zinnwaiditegranite
990.29,330,-452.09,zinnwaiditegranite
666.93,570,-409.07,zinnwaiditegranite
1313.65,690,-509.45,zinnwaiditegranite
1515.75,50,-523.79,zinnwaiditegranite
101.05,510,-351.71,zinnwaiditegranite
707.35,630,-423.41,zinnwaiditegranite
343.57,710,-394.73,zinnwaiditegranite
1475.33,410,-509.45,zinnwaiditegranite
1475.33,990,-566.81,zinnwaiditegranite
545.67,450,-380.39,zinnwaiditegranite
1192.39,870,-509.45,zinnwaiditegranite
1030.71,790,-480.77,zinnwaiditegranite
1111.55,790,-480.77,zinnwaiditegranite
1475.33,850,-552.47,zinnwaiditegranite
141.47,550,-366.05,zinnwaiditegranite
1273.23,70,-480.77,zinnwaiditegranite
869.03,270,-437.75,zinnwaiditegranite
1879.53,750,-609.83,zinnwaiditegranite
1515.75,570,-523.79,zinnwaiditegranite
949.87,30,-452.09,zinnwaiditegranite
343.57,830,-394.73,zinnwaiditegranite
1637.01,790,-581.15,zinnwaiditegranite
262.73,570,-366.05,zinnwaiditegranite
2000.79,910,-609.83,zinnwaiditegranite
666.93,30,-351.71,zinnwaiditegranite
1677.43,650,-566.81,zinnwaiditegranite
1677.43,730,-581.15,zinnwaiditegranite
1637.01,90,-523.79,zinnwaiditegranite
707.35,30,-380.39,zinnwaiditegranite
626.51,630,-409.07,zinnwaiditegranite
