,X,Y,Z,grade,borehole
0,1434.91,70.0,-509.45000000000005,0.42649538030740264,1.0
10,1434.91,70.0,-366.05,0.44067283004702895,1.0
20,1434.91,70.0,-222.64999999999998,0.4426855493022294,1.0
30,788.19,130.0,-394.73,0.4276908854443842,2.0
40,788.19,130.0,-251.32999999999998,0.4487277096913737,2.0
50,788.19,130.0,-107.93,0.4828558821994128,2.0
60,990.2900000000001,350.0,-337.37,0.4338535710649453,3.0
70,990.2900000000001,350.0,-193.96999999999997,0.4354954490167079,3.0
80,1475.3300000000002,890.0,-538.13,0.4345976720510157,4.0
90,1475.3300000000002,890.0,-394.73,0.4347360216601488,4.0
100,1556.17,830.0,-538.13,0.43461592842249674,5.0
110,1556.17,830.0,-394.73,0.4348379323106003,5.0
120,990.2900000000001,670.0,-409.07000000000005,0.4345217638009263,6.0
130,990.2900000000001,670.0,-265.67,0.43477918692116574,6.0
140,1394.49,650.0,-480.77000000000004,0.43461910344334953,7.0
150,1394.49,650.0,-337.37,0.43507017002590326,7.0
160,383.99,890.0,-380.39,0.4345549270506865,8.0
170,383.99,890.0,-236.99,0.43464489234688936,8.0
180,1960.3700000000001,590.0,-581.1500000000001,0.4344131567558958,9.0
190,1960.3700000000001,590.0,-437.75,0.4350498847688218,9.0
200,586.09,230.0,-265.67,0.4437933838955922,10.0
210,586.09,230.0,-122.26999999999998,0.45322882631398953,10.0
220,60.63,850.0,-280.01,0.43447864120231305,11.0
230,60.63,850.0,-136.61,0.434540907696085,11.0
240,990.2900000000001,370.0,-351.71000000000004,0.4339010272905425,12.0
250,990.2900000000001,370.0,-208.31,0.4353391578275464,12.0
260,2000.79,870.0,-609.83,0.4345705398651696,13.0
270,2000.79,870.0,-466.43000000000006,0.43468536039275907,13.0
280,222.31000000000003,30.0,-179.63,0.42960377933356736,14.0
290,1556.17,990.0,-538.13,0.4346079531663896,15.0
300,1556.17,990.0,-394.73,0.4346947797258319,15.0
310,909.45,170.0,-394.73,0.43138867111001566,16.0
320,909.45,170.0,-251.32999999999998,0.4406215274026493,16.0
330,909.45,170.0,-107.93,0.45068308811179786,16.0
340,666.9300000000001,590.0,-323.03000000000003,0.43529124936388397,17.0
350,666.9300000000001,590.0,-179.63,0.4359788040026796,17.0
360,1192.39,250.0,-423.41,0.4349554526949953,18.0
370,1192.39,250.0,-280.01,0.43163813768104964,18.0
380,1192.39,250.0,-136.61,0.4301927083132646,18.0
390,1273.23,470.0,-394.73,0.4346272698021178,19.0
400,1273.23,470.0,-251.32999999999998,0.4349545430780942,19.0
410,1677.43,670.0,-538.13,0.434612252046548,20.0
420,1677.43,670.0,-394.73,0.43525963070273954,20.0
430,1515.75,890.0,-509.45000000000005,0.43463409986042734,21.0
440,1515.75,890.0,-366.05,0.4347853840573587,21.0
450,60.63,450.0,-280.01,0.4335467751699828,22.0
460,60.63,450.0,-136.61,0.4343424408761827,22.0
470,1556.17,530.0,-466.43000000000006,0.43486815492470193,23.0
480,1556.17,530.0,-323.03000000000003,0.43640564560066203,23.0
490,1677.43,590.0,-509.45000000000005,0.43469713200929033,24.0
500,1677.43,590.0,-366.05,0.43582404867767277,24.0
510,1960.3700000000001,450.0,-552.47,0.43416737301068253,25.0
520,1960.3700000000001,450.0,-409.07000000000005,0.43570286885313586,25.0
530,101.05000000000001,390.0,-208.31,0.4338188982649114,26.0
540,60.63,390.0,-337.37,0.43272152456418894,27.0
550,60.63,390.0,-193.96999999999997,0.4337313744410276,27.0
560,1232.8100000000002,90.0,-466.43000000000006,0.44677013426521,28.0
570,1232.8100000000002,90.0,-323.03000000000003,0.4383587008084255,28.0
580,1232.8100000000002,90.0,-179.63,0.418029390658752,28.0
590,1515.75,670.0,-509.45000000000005,0.43463584969224456,29.0
600,1515.75,670.0,-366.05,0.4351954623803733,29.0
610,586.09,530.0,-366.05,0.43511722440734163,30.0
620,586.09,530.0,-222.64999999999998,0.436499937324266,30.0
630,586.09,530.0,-79.25,0.43650153776123374,30.0
640,828.6100000000001,50.0,-308.69,0.429719084399775,31.0
650,828.6100000000001,50.0,-165.28999999999996,0.4954420656459452,31.0
660,1556.17,790.0,-509.45000000000005,0.43466347675853106,32.0
670,1556.17,790.0,-366.05,0.4349542224042888,32.0
680,1192.39,530.0,-423.41,0.4343714343882768,33.0
690,1192.39,530.0,-280.01,0.4345954303900287,33.0
700,2000.79,890.0,-595.49,0.434582646473722,34.0
710,2000.79,890.0,-452.09000000000003,0.43468874607381985,34.0
720,464.83,830.0,-294.35,0.43468823396299133,35.0
730,464.83,830.0,-150.95,0.4347763005305968,35.0
740,1596.5900000000001,910.0,-466.43000000000006,0.434690273894554,36.0
750,1596.5900000000001,910.0,-323.03000000000003,0.4348384482385621,36.0
760,383.99,990.0,-280.01,0.4345935122331378,37.0
770,1313.65,550.0,-495.11,0.43440923980798046,38.0
780,1313.65,550.0,-351.71000000000004,0.43491199150582194,38.0
790,1313.65,550.0,-208.31,0.4352954796679318,38.0
800,1232.8100000000002,450.0,-366.05,0.4344913148315709,39.0
810,1232.8100000000002,450.0,-222.64999999999998,0.4345882334012775,39.0
820,1677.43,130.0,-480.77000000000004,0.4242133636131864,40.0
830,1677.43,130.0,-337.37,0.4478759809271984,40.0
840,1030.71,950.0,-480.77000000000004,0.4345555950717927,41.0
850,1030.71,950.0,-337.37,0.4346109588343346,41.0
860,1798.69,950.0,-595.49,0.4345902738875921,42.0
870,1798.69,950.0,-452.09000000000003,0.4346953170885521,42.0
880,141.47,630.0,-308.69,0.4342879569343483,43.0
890,141.47,630.0,-165.28999999999996,0.4345820824432544,43.0
900,1151.97,430.0,-437.75,0.4340192855649946,44.0
910,1151.97,430.0,-294.35,0.43405187471230877,44.0
920,1151.97,430.0,-150.95,0.43415290465514833,44.0
930,505.25,870.0,-323.03000000000003,0.43464986077716794,45.0
940,505.25,870.0,-179.63,0.43473485546956997,45.0
950,1758.2700000000002,390.0,-495.11,0.43439241589097854,46.0
960,1758.2700000000002,390.0,-351.71000000000004,0.43858029001803644,46.0
970,1434.91,830.0,-466.43000000000006,0.4346657662738208,47.0
980,1434.91,830.0,-323.03000000000003,0.43485166898695465,47.0
990,1232.8100000000002,230.0,-394.73,0.43629797791609237,48.0
1000,1232.8100000000002,230.0,-251.32999999999998,0.4314006301056227,48.0
1010,1232.8100000000002,230.0,-107.93,0.4303782315900891,48.0
1020,343.57,130.0,-179.63,0.4524558163448186,49.0
1030,464.83,850.0,-380.39,0.43458868428710473,50.0
1040,464.83,850.0,-236.99,0.4347152692186416,50.0
1050,626.5100000000001,450.0,-366.05,0.43536430836257567,51.0
1060,626.5100000000001,450.0,-222.64999999999998,0.43801857802213445,51.0
1070,626.5100000000001,450.0,-79.25,0.4380522165122843,51.0
1080,1394.49,870.0,-423.41,0.43467890550183985,52.0
1090,1394.49,870.0,-280.01,0.4348104557670437,52.0
1100,1879.5300000000002,30.0,-480.77000000000004,0.4065892539511513,53.0
1110,1879.5300000000002,30.0,-337.37,0.4656353012984699,53.0
1120,60.63,570.0,-236.99,0.43420784047064087,54.0
1130,60.63,570.0,-93.59000000000003,0.4345484709423104,54.0
1140,869.0300000000001,550.0,-323.03000000000003,0.43508493890467564,55.0
1150,869.0300000000001,550.0,-179.63,0.4358022460527106,55.0
1160,1192.39,110.0,-409.07000000000005,0.44561383356616835,56.0
1170,1192.39,110.0,-265.67,0.42227836203532393,56.0
1180,1192.39,110.0,-122.26999999999998,0.4223421713524143,56.0
1190,1758.2700000000002,930.0,-538.13,0.43463215999392035,57.0
1200,1758.2700000000002,930.0,-394.73,0.4347632261997014,57.0
1210,1758.2700000000002,850.0,-509.45000000000005,0.43468420988621326,58.0
1220,1758.2700000000002,850.0,-366.05,0.4349011844400154,58.0
1230,60.63,10.0,-122.26999999999998,0.43443244106027185,59.0
1240,262.73,10.0,-179.63,0.4301398217501857,60.0
