X,Y,Z,grade_value,grade
5,0,-42,0.447161638951654,Sn1
40,0,-55,0.448228837712751,Sn1
76,0,-67,0.443165447146452,Sn1
127,0,-58,0.445066483144841,Sn1
155,0,-30,0.440018665439406,Sn1
280,0,-18,0.445323194479586,Sn1
378,0,-31,0.446935220984439,Sn1
416,0,-50,0.449154475650995,Sn1
368,0,-70,0.442026314282021,Sn1
365,0,-101,0.443185403031067,Sn1
271,0,-101,0.443086831535126,Sn1
209,0,-102,0.447273745448135,Sn1
105,0,-112,0.444028615134476,Sn1
6,0,-111,0.444394934649766,Sn1
33,0,-69,0.447193860214477,Sn1
3,0,-83,0.449489315023535,Sn1
49,0,-95,0.441450088967153,Sn1
74,0,-93,0.446610942390916,Sn1
114,0,-68,0.448945574434389,Sn1
158,0,-47,0.445243852077141,Sn1
220,0,-45,0.440738108383923,Sn1
203,0,-87,0.443130437875821,Sn1
260,0,-45,0.449615742637706,Sn1
281,0,-28,0.4439095707005,Sn1
285,0,-49,0.44260597629536,Sn1
311,0,-90,0.446492626620795,Sn1
325,0,-61,0.449485351464558,Sn1
350,0,-36,0.441051037078709,Sn1
403,0,-42,0.44910941404944,Sn1
374,0,-55,0.445034963627396,Sn1
353,0,-94,0.447078125742591,Sn1
98,0,-131,0.448264700320215,Sn2
174,0,-131,0.443967147777949,Sn2
239,0,-131,0.442126265584804,Sn2
316,0,-131,0.444930460394704,Sn2
372,0,-140,0.443102362667738,Sn2
300,0,-153,0.443917397979969,Sn2
211,0,-151,0.441586034984836,Sn2
115,0,-145,0.441124802524843,Sn2
89,0,-128,0.442788748872559,Sn2
162,0,-131,0.441134243583337,Sn2
146,0,-139,0.44309293138945,Sn2
177,0,-135,0.441081055842585,Sn2
204,0,-136,0.447344726531238,Sn2
236,0,-137,0.440592470733573,Sn2
257,0,-136,0.449252542719702,Sn2
290,0,-136,0.44323298497726,Sn2
321,0,-140,0.448674377863304,Sn2
406,0,-174,0.628263987824096,Sn3
495,0,-176,0.62633181054811,Sn3
514,0,-191,0.624390081479539,Sn3
404,0,-181,0.627395268688348,Sn3
436,0,-181,0.627741311059592,Sn3
488,0,-181,0.623612790677417,Sn3
591,0,-76,0.574187573309433,Sn4
648,0,-79,0.57497689264819,Sn4
716,0,-88,0.57935743269173,Sn4
773,0,-102,0.573756848958154,Sn4
805,0,-121,0.570146818051386,Sn4
801,0,-132,0.572388982401933,Sn4
795,0,-139,0.574385879950186,Sn4
773,0,-146,0.572276725747474,Sn4
734,0,-129,0.579546231573306,Sn4
668,0,-115,0.571670116591105,Sn4
602,0,-98,0.578679362963384,Sn4
557,0,-92,0.57125609342642,Sn4
560,0,-84,0.571636080011528,Sn4
620,0,-79,0.570362768157943,Sn4
664,0,-79,0.577270536090367,Sn4
591,0,-82,0.578214391827561,Sn4
615,0,-92,0.577920085914576,Sn4
649,0,-89,0.571376621566058,Sn4
697,0,-94,0.57001949475556,Sn4
727,0,-102,0.576734209904229,Sn4
748,0,-117,0.571295543955466,Sn4
772,0,-111,0.579459011062909,Sn4
762,0,-127,0.579245792928659,Sn4
745,0,-131,0.575109321188784,Sn4
777,0,-136,0.577486020556958,Sn4
782,0,-90,0.576407615300015,Sn5
828,0,-102,0.573998290255509,Sn5
874,0,-117,0.57434914730168,Sn5
880,0,-124,0.577609357680879,Sn5
844,0,-127,0.572463473381268,Sn5
797,0,-102,0.572397552335519,Sn5
769,0,-96,0.574642071475854,Sn5
784,0,-94,0.57626357211187,Sn5
828,0,-112,0.571906267617404,Sn5
859,0,-116,0.572640681758401,Sn5
618,0,-192,0.482436173732297,Sn6
646,0,-196,0.481964853958644,Sn6
685,0,-199,0.483658914868011,Sn6
710,0,-197,0.48683081329327,Sn6
683,0,-187,0.484246184818298,Sn6
637,0,-181,0.487193517406932,Sn6
616,0,-181,0.488941771946346,Sn6
620,0,-185,0.483998645196901,Sn6
635,0,-190,0.482975991536529,Sn6
649,0,-188,0.489281637809413,Sn6
670,0,-186,0.486229956174828,Sn6
687,0,-197,0.487947776874378,Sn6
787,0,-245,0.45901056472113,Sn7
834,0,-256,0.457967363039999,Sn7
881,0,-271,0.456676525424357,Sn7
936,0,-279,0.459612699486217,Sn7
982,0,-284,0.452484910150172,Sn7
986,0,-299,0.452885715244476,Sn7
948,0,-303,0.459757251603604,Sn7
889,0,-282,0.457388752576928,Sn7
829,0,-264,0.452523044448264,Sn7
788,0,-253,0.459939268413067,Sn7
782,0,-246,0.454328405758172,Sn7
813,0,-251,0.454314777675225,Sn7
856,0,-265,0.450941079567293,Sn7
812,0,-254,0.459649022009447,Sn7
850,0,-266,0.454662586883624,Sn7
878,0,-274,0.452234138897414,Sn7
901,0,-277,0.454685201753713,Sn7
943,0,-286,0.450536308725919,Sn7
974,0,-294,0.453969295469974,Sn7
951,0,-291,0.451864748447817,Sn7
920,0,-286,0.459740011477798,Sn7
