X,Y,Z,grade_value,grade
-1,0,-53,0.422182848984994,0.4%Li
71,0,-54,0.426277370981842,0.4%Li
143,0,-42,0.435211087187744,0.4%Li
213,0,-39,0.421764232920417,0.4%Li
303,0,-39,0.427765940743775,0.4%Li
406,0,-39,0.436599624541689,0.4%Li
473,0,-39,0.426314730545842,0.4%Li
545,0,-39,0.425840942734377,0.4%Li
571,0,-39,0.422245992267602,0.4%Li
585,0,-24,0.429349545031607,0.4%Li
603,0,-19,0.430003629082682,0.4%Li
643,0,-19,0.438816645919839,0.4%Li
644,0,-36,0.430672563294938,0.4%Li
695,0,-44,0.422509746232725,0.4%Li
749,0,-81,0.431794363204522,0.4%Li
822,0,-103,0.420581150764696,0.4%Li
887,0,-120,0.43904711175428,0.4%Li
964,0,-132,0.438375590413182,0.4%Li
1048,0,-140,0.42902319684743,0.4%Li
1105,0,-132,0.429969875514876,0.4%Li
1150,0,-111,0.423283319618484,0.4%Li
1184,0,-76,0.430545207209223,0.4%Li
1220,0,-60,0.432994710467082,0.4%Li
1253,0,-55,0.427114506774017,0.4%Li
1309,0,-66,0.421130129830034,0.4%Li
1322,0,-72,0.431975912198406,0.4%Li
1288,0,-113,0.423644586922256,0.4%Li
1283,0,-125,0.429356097091887,0.4%Li
1284,0,-136,0.431530225940243,0.4%Li
1342,0,-123,0.431225831306932,0.4%Li
1354,0,-144,0.434494580875915,0.4%Li
1391,0,-166,0.430447785328488,0.4%Li
1417,0,-190,0.424613152080594,0.4%Li
1461,0,-200,0.436158756112776,0.4%Li
1473,0,-215,0.420926941390962,0.4%Li
1589,0,-215,0.421764367833388,0.4%Li
1646,0,-215,0.424220147897673,0.4%Li
1750,0,-238,0.437829299147425,0.4%Li
1789,0,-268,0.423403971146162,0.4%Li
1806,0,-285,0.420065634733446,0.4%Li
1837,0,-288,0.434175843467833,0.4%Li
1896,0,-329,0.439580259643024,0.4%Li
1912,0,-349,0.424140509265987,0.4%Li
1954,0,-349,0.421838218370248,0.4%Li
1994,0,-402,0.425183431093507,0.4%Li
2036,0,-453,0.433002960121299,0.4%Li
2052,0,-486,0.425162296398947,0.4%Li
2050,0,-559,0.423049814596196,0.4%Li
2039,0,-587,0.439101824728956,0.4%Li
2004,0,-594,0.437329784283759,0.4%Li
1932,0,-577,0.424320485059437,0.4%Li
1835,0,-538,0.427267196091584,0.4%Li
1706,0,-509,0.426856451140799,0.4%Li
1561,0,-494,0.436691619429663,0.4%Li
1453,0,-491,0.435427351427275,0.4%Li
1382,0,-492,0.433460052283616,0.4%Li
1296,0,-474,0.425831587780982,0.4%Li
1198,0,-448,0.430524559818732,0.4%Li
1123,0,-437,0.422360960787477,0.4%Li
1013,0,-432,0.427149062748098,0.4%Li
954,0,-430,0.43762408414149,0.4%Li
934,0,-421,0.421676219368637,0.4%Li
913,0,-403,0.439425566331337,0.4%Li
830,0,-379,0.430355597572397,0.4%Li
734,0,-354,0.431585041742614,0.4%Li
715,0,-324,0.421767792362171,0.4%Li
630,0,-304,0.422662367956047,0.4%Li
568,0,-291,0.421463739524462,0.4%Li
486,0,-275,0.437612669455664,0.4%Li
399,0,-268,0.434930994261839,0.4%Li
367,0,-259,0.439378762521004,0.4%Li
305,0,-236,0.435122724521179,0.4%Li
241,0,-225,0.422306438735126,0.4%Li
197,0,-221,0.439919770676861,0.4%Li
167,0,-217,0.42673819384728,0.4%Li
132,0,-207,0.433586290083032,0.4%Li
82,0,-207,0.424570331502247,0.4%Li
22,0,-198,0.424625449917978,0.4%Li
24,0,-138,0.41504320810341,0.4%Li_inside
47,0,-177,0.405394827917257,0.4%Li_inside
87,0,-184,0.405496035752564,0.4%Li_inside
125,0,-163,0.404860940099184,0.4%Li_inside
154,0,-185,0.407132959460428,0.4%Li_inside
214,0,-169,0.400792828321064,0.4%Li_inside
234,0,-208,0.417602847904914,0.4%Li_inside
308,0,-223,0.406908865618383,0.4%Li_inside
324,0,-170,0.410237551039891,0.4%Li_inside
364,0,-228,0.41419402453911,0.4%Li_inside
385,0,-155,0.410674728599454,0.4%Li_inside
433,0,-136,0.413735974592036,0.4%Li_inside
398,0,-102,0.413566767847938,0.4%Li_inside
460,0,-68,0.419249951459154,0.4%Li_inside
527,0,-69,0.410391136767839,0.4%Li_inside
543,0,-118,0.412216878664077,0.4%Li_inside
490,0,-98,0.406655256841139,0.4%Li_inside
516,0,-161,0.405849626928821,0.4%Li_inside
605,0,-134,0.402637147658789,0.4%Li_inside
643,0,-142,0.40354163079719,0.4%Li_inside
566,0,-205,0.416085135202441,0.4%Li_inside
490,0,-218,0.413249253393042,0.4%Li_inside
546,0,-272,0.400139452813597,0.4%Li_inside
636,0,-241,0.413912951065018,0.4%Li_inside
608,0,-211,0.412425100472226,0.4%Li_inside
694,0,-282,0.410321670402962,0.4%Li_inside
799,0,-295,0.412571654919901,0.4%Li_inside
821,0,-346,0.406802769891858,0.4%Li_inside
749,0,-304,0.414818293433241,0.4%Li_inside
730,0,-213,0.403277117586984,0.4%Li_inside
797,0,-186,0.402248220007364,0.4%Li_inside
706,0,-146,0.408849320903258,0.4%Li_inside
598,0,-126,0.408985203898366,0.4%Li_inside
585,0,-52,0.406904525521548,0.4%Li_inside
616,0,-27,0.406830872050508,0.4%Li_inside
654,0,-73,0.406670162751112,0.4%Li_inside
701,0,-67,0.416297797288672,0.4%Li_inside
824,0,-148,0.409753526607824,0.4%Li_inside
807,0,-200,0.410947538152655,0.4%Li_inside
890,0,-179,0.406656464781451,0.4%Li_inside
963,0,-242,0.413674172783622,0.4%Li_inside
891,0,-243,0.412949987875158,0.4%Li_inside
989,0,-148,0.411888051742705,0.4%Li_inside
1049,0,-225,0.413596537684915,0.4%Li_inside
1067,0,-279,0.402759394273911,0.4%Li_inside
990,0,-288,0.417505403910507,0.4%Li_inside
984,0,-350,0.412702006927138,0.4%Li_inside
933,0,-371,0.41409765678676,0.4%Li_inside
837,0,-363,0.406679959505611,0.4%Li_inside
855,0,-295,0.416001382562017,0.4%Li_inside
754,0,-299,0.417948620959518,0.4%Li_inside
802,0,-333,0.413862367066112,0.4%Li_inside
1014,0,-412,0.411555792254754,0.4%Li_inside
1086,0,-334,0.415039102657589,0.4%Li_inside
1044,0,-252,0.40085789873569,0.4%Li_inside
1125,0,-205,0.417064103216992,0.4%Li_inside
1153,0,-153,0.409198881442811,0.4%Li_inside
1252,0,-87,0.404230361545689,0.4%Li_inside
1261,0,-117,0.416749609019964,0.4%Li_inside
1160,0,-100,0.417053477925321,0.4%Li_inside
1261,0,-59,0.413190042159413,0.4%Li_inside
1309,0,-69,0.412358258686333,0.4%Li_inside
1247,0,-202,0.408059235633319,0.4%Li_inside
1321,0,-166,0.403843042026123,0.4%Li_inside
