X,Y,Z,grade_value,grade
130,0,-670,0.42218284898499453,0.4%Li
202,0,-671,0.42627737098184276,0.4%Li
274,0,-659,0.4352110871877446,0.4%Li
344,0,-656,0.42176423292041754,0.4%Li
434,0,-656,0.4277659407437757,0.4%Li
537,0,-656,0.4365996245416893,0.4%Li
604,0,-656,0.4263147305458428,0.4%Li
676,0,-656,0.4258409427343774,0.4%Li
702,0,-656,0.42224599226760223,0.4%Li
716,0,-641,0.4293495450316071,0.4%Li
734,0,-636,0.43000362908268275,0.4%Li
774,0,-636,0.4388166459198391,0.4%Li
775,0,-653,0.43067256329493825,0.4%Li
826,0,-661,0.42250974623272564,0.4%Li
880,0,-698,0.431794363204522,0.4%Li
953,0,-720,0.4205811507646961,0.4%Li
1018,0,-737,0.4390471117542801,0.4%Li
1095,0,-749,0.43837559041318247,0.4%Li
1179,0,-757,0.4290231968474305,0.4%Li
1236,0,-749,0.42996987551487637,0.4%Li
1281,0,-728,0.4232833196184849,0.4%Li
1315,0,-693,0.4305452072092236,0.4%Li
1351,0,-677,0.43299471046708277,0.4%Li
1384,0,-672,0.4271145067740178,0.4%Li
1440,0,-683,0.42113012983003445,0.4%Li
1453,0,-689,0.4319759121984068,0.4%Li
1419,0,-730,0.42364458692225637,0.4%Li
1414,0,-742,0.42935609709188743,0.4%Li
1415,0,-753,0.4315302259402431,0.4%Li
1473,0,-740,0.4312258313069325,0.4%Li
1485,0,-761,0.4344945808759155,0.4%Li
1522,0,-783,0.4304477853284881,0.4%Li
1548,0,-807,0.42461315208059464,0.4%Li
1592,0,-817,0.43615875611277677,0.4%Li
1604,0,-832,0.42092694139096265,0.4%Li
1720,0,-832,0.421764367833388,0.4%Li
1777,0,-832,0.42422014789767326,0.4%Li
1881,0,-855,0.4378292991474253,0.4%Li
1920,0,-885,0.4234039711461626,0.4%Li
1937,0,-902,0.4200656347334468,0.4%Li
1968,0,-905,0.4341758434678332,0.4%Li
2027,0,-946,0.4395802596430242,0.4%Li
2043,0,-966,0.4241405092659879,0.4%Li
2085,0,-966,0.42183821837024854,0.4%Li
2125,0,-1019,0.4251834310935072,0.4%Li
2167,0,-1070,0.43300296012129974,0.4%Li
2183,0,-1103,0.4251622963989474,0.4%Li
2181,0,-1176,0.4230498145961968,0.4%Li
2170,0,-1204,0.4391018247289563,0.4%Li
2135,0,-1211,0.43732978428375924,0.4%Li
2063,0,-1194,0.42432048505943765,0.4%Li
1966,0,-1155,0.4272671960915846,0.4%Li
1837,0,-1126,0.426856451140799,0.4%Li
1692,0,-1111,0.436691619429663,0.4%Li
1584,0,-1108,0.4354273514272758,0.4%Li
1513,0,-1109,0.43346005228361695,0.4%Li
1427,0,-1091,0.42583158778098257,0.4%Li
1329,0,-1065,0.4305245598187322,0.4%Li
1254,0,-1054,0.4223609607874777,0.4%Li
1144,0,-1049,0.4271490627480987,0.4%Li
1085,0,-1047,0.4376240841414901,0.4%Li
1065,0,-1038,0.42167621936863714,0.4%Li
1044,0,-1020,0.4394255663313371,0.4%Li
961,0,-996,0.43035559757239766,0.4%Li
865,0,-971,0.4315850417426144,0.4%Li
846,0,-941,0.4217677923621717,0.4%Li
761,0,-921,0.42266236795604767,0.4%Li
699,0,-908,0.42146373952446253,0.4%Li
617,0,-892,0.4376126694556648,0.4%Li
530,0,-885,0.4349309942618392,0.4%Li
498,0,-876,0.43937876252100444,0.4%Li
436,0,-853,0.43512272452117995,0.4%Li
372,0,-842,0.42230643873512635,0.4%Li
328,0,-838,0.4399197706768612,0.4%Li
298,0,-834,0.42673819384728073,0.4%Li
263,0,-824,0.43358629008303273,0.4%Li
213,0,-824,0.4245703315022475,0.4%Li
153,0,-815,0.42462544991797846,0.4%Li
