X,Y,Z,grade_value,grade
155,0,-755,0.41504320810341067,0.4%Li_inside
178,0,-794,0.40539482791725795,0.4%Li_inside
218,0,-801,0.4054960357525643,0.4%Li_inside
256,0,-780,0.40486094009918444,0.4%Li_inside
285,0,-802,0.40713295946042843,0.4%Li_inside
345,0,-786,0.40079282832106433,0.4%Li_inside
365,0,-825,0.41760284790491464,0.4%Li_inside
439,0,-840,0.40690886561838374,0.4%Li_inside
455,0,-787,0.41023755103989124,0.4%Li_inside
495,0,-845,0.41419402453911086,0.4%Li_inside
516,0,-772,0.41067472859945425,0.4%Li_inside
564,0,-753,0.4137359745920363,0.4%Li_inside
529,0,-719,0.4135667678479385,0.4%Li_inside
591,0,-685,0.41924995145915483,0.4%Li_inside
658,0,-686,0.4103911367678396,0.4%Li_inside
674,0,-735,0.41221687866407775,0.4%Li_inside
621,0,-715,0.406655256841139,0.4%Li_inside
647,0,-778,0.40584962692882176,0.4%Li_inside
736,0,-751,0.40263714765878944,0.4%Li_inside
774,0,-759,0.40354163079719074,0.4%Li_inside
697,0,-822,0.416085135202441,0.4%Li_inside
621,0,-835,0.413249253393042,0.4%Li_inside
677,0,-889,0.4001394528135976,0.4%Li_inside
767,0,-858,0.4139129510650181,0.4%Li_inside
739,0,-828,0.41242510047222647,0.4%Li_inside
825,0,-899,0.4103216704029629,0.4%Li_inside
930,0,-912,0.412571654919901,0.4%Li_inside
952,0,-963,0.40680276989185893,0.4%Li_inside
880,0,-921,0.41481829343324134,0.4%Li_inside
861,0,-830,0.4032771175869842,0.4%Li_inside
928,0,-803,0.402248220007364,0.4%Li_inside
837,0,-763,0.40884932090325893,0.4%Li_inside
729,0,-743,0.40898520389836657,0.4%Li_inside
716,0,-669,0.40690452552154815,0.4%Li_inside
747,0,-644,0.4068308720505082,0.4%Li_inside
785,0,-690,0.4066701627511126,0.4%Li_inside
832,0,-684,0.41629779728867256,0.4%Li_inside
955,0,-765,0.4097535266078246,0.4%Li_inside
938,0,-817,0.4109475381526557,0.4%Li_inside
1021,0,-796,0.40665646478145173,0.4%Li_inside
1094,0,-859,0.41367417278362284,0.4%Li_inside
1022,0,-860,0.4129499878751585,0.4%Li_inside
1120,0,-765,0.4118880517427058,0.4%Li_inside
1180,0,-842,0.41359653768491506,0.4%Li_inside
1198,0,-896,0.4027593942739116,0.4%Li_inside
1121,0,-905,0.4175054039105076,0.4%Li_inside
1115,0,-967,0.41270200692713865,0.4%Li_inside
1064,0,-988,0.41409765678676075,0.4%Li_inside
968,0,-980,0.40667995950561175,0.4%Li_inside
986,0,-912,0.41600138256201774,0.4%Li_inside
885,0,-916,0.4179486209595186,0.4%Li_inside
933,0,-950,0.41386236706611235,0.4%Li_inside
