X,Y,Z,grade_value,grade
136,0,-659,0.44716163895165467,Sn1
163,0,-660,0.4448553005784726,Sn1
171,0,-672,0.4482288377127511,Sn1
184,0,-687,0.442710671216358,Sn1
207,0,-684,0.4431654471464524,Sn1
238,0,-679,0.4451013529193131,Sn1
258,0,-675,0.4450664831448416,Sn1
267,0,-651,0.44575704794498433,Sn1
286,0,-647,0.44001866543940643,Sn1
346,0,-645,0.4422549523976968,Sn1
411,0,-635,0.4453231944795862,Sn1
472,0,-646,0.4443696509892637,Sn1
509,0,-648,0.44693522098443905,Sn1
542,0,-659,0.4489596562683859,Sn1
547,0,-667,0.449154475650995,Sn1
532,0,-688,0.44406013668851835,Sn1
499,0,-687,0.4420263142820213,Sn1
489,0,-699,0.4479261431892773,Sn1
496,0,-718,0.44318540303106757,Sn1
437,0,-718,0.44361068275444115,Sn1
402,0,-718,0.443086831535126,Sn1
359,0,-719,0.4495753691427623,Sn1
340,0,-719,0.44727374544813564,Sn1
304,0,-732,0.4420963341092042,Sn1
236,0,-729,0.44402861513447645,Sn1
189,0,-728,0.4407369227795087,Sn1
137,0,-728,0.4443949346497664,Sn1
147,0,-670,0.44314461182499276,Sn1
164,0,-686,0.4471938602144773,Sn1
134,0,-700,0.4407051344562167,Sn1
134,0,-700,0.44948931502353595,Sn1
160,0,-712,0.4457251642032533,Sn1
180,0,-712,0.44145008896715343,Sn1
196,0,-687,0.4488388248412884,Sn1
205,0,-710,0.4466109423909168,Sn1
238,0,-711,0.44922022146469576,Sn1
245,0,-685,0.44894557443438937,Sn1
280,0,-701,0.44352945469560007,Sn1
289,0,-664,0.4452438520771412,Sn1
312,0,-669,0.4459855277860223,Sn1
351,0,-662,0.44073810838392385,Sn1
325,0,-688,0.44394781218461166,Sn1
334,0,-704,0.4431304378758212,Sn1
362,0,-705,0.4482952107633202,Sn1
391,0,-662,0.44961574263770665,Sn1
397,0,-684,0.4428521238565492,Sn1
412,0,-645,0.44390957070050024,Sn1
448,0,-656,0.4452479655796539,Sn1
416,0,-666,0.44260597629536,Sn1
439,0,-678,0.445367777907084,Sn1
442,0,-707,0.44649262662079514,Sn1
462,0,-703,0.44361245187190596,Sn1
456,0,-678,0.4494853514645589,Sn1
468,0,-649,0.44197925711102604,Sn1
481,0,-653,0.44105103707870963,Sn1
502,0,-655,0.4459618334778245,Sn1
534,0,-659,0.44910941404944016,Sn1
523,0,-672,0.4481380284566502,Sn1
505,0,-672,0.4450349636273961,Sn1
482,0,-691,0.4485717159589552,Sn1
484,0,-711,0.44707812574259154,Sn1
526,0,-675,0.44210900560048677,Sn1
