X,Y,Z,dip,azimuth,polarity,formation
0,0,-52,0,90,1,topo
70,0,-51,0,90,1,topo
142,0,-38,0,90,1,topo
264,0,-34,0,90,1,topo
330,0,-34,0,90,1,topo
452,0,-34,0,90,1,topo
636,0,-27,0,90,1,topo
815,0,-26,0,90,1,topo
1055,0,-16,0,90,1,topo
1188,0,-2,0,90,1,topo
1338,0,0,0,90,1,topo
1469,0,-6,0,90,1,topo
1603,0,-14,0,90,1,topo
1716,0,-38,0,90,1,topo
1852,0,-69,0,90,1,topo
1935,0,-89,0,90,1,topo
10,0,-67,0,90,1,overburden
69,0,-69,0,90,1,overburden
179,0,-58,0,90,1,overburden
235,0,-52,0,90,1,overburden
348,0,-48,0,90,1,overburden
563,0,-46,0,90,1,overburden
760,0,-45,0,90,1,overburden
938,0,-37,0,90,1,overburden
1053,0,-26,0,90,1,overburden
1169,0,-21,0,90,1,overburden
1256,0,-6,0,90,1,overburden
3,0,-277,0,90,1,zinnwaiditegranite_lower
43,0,-275,0,90,1,zinnwaiditegranite_lower
63,0,-251,0,90,1,zinnwaiditegranite_lower
103,0,-250,0,90,1,zinnwaiditegranite_lower
143,0,-254,0,90,1,zinnwaiditegranite_lower
199,0,-283,0,90,1,zinnwaiditegranite_lower
274,0,-296,0,90,1,zinnwaiditegranite_lower
390,0,-306,0,90,1,zinnwaiditegranite_lower
475,0,-317,0,90,1,zinnwaiditegranite_lower
566,0,-328,0,90,1,zinnwaiditegranite_lower
635,0,-351,0,90,1,zinnwaiditegranite_lower
690,0,-372,0,90,1,zinnwaiditegranite_lower
740,0,-405,0,90,1,zinnwaiditegranite_lower
861,0,-453,0,90,1,zinnwaiditegranite_lower
1004,0,-464,0,90,1,zinnwaiditegranite_lower
1156,0,-476,0,90,1,zinnwaiditegranite_lower
1239,0,-482,0,90,1,zinnwaiditegranite_lower
1317,0,-511,0,90,1,zinnwaiditegranite_lower
1374,0,-522,0,90,1,zinnwaiditegranite_lower
1463,0,-525,0,90,1,zinnwaiditegranite_lower
1597,0,-532,0,90,1,zinnwaiditegranite_lower
1721,0,-541,0,90,1,zinnwaiditegranite_lower
1847,0,-599,0,90,1,zinnwaiditegranite_lower
1186,0,-57,0,90,1,zinnwaiditegranite_uppper
1230,0,-65,0,90,1,zinnwaiditegranite_uppper
1284,0,-85,0,90,1,zinnwaiditegranite_uppper
1349,0,-99,0,90,1,zinnwaiditegranite_uppper
1491,0,-114,0,90,1,zinnwaiditegranite_uppper
1578,0,-132,0,90,1,zinnwaiditegranite_uppper
1674,0,-182,0,90,1,zinnwaiditegranite_uppper
1724,0,-192,0,90,1,zinnwaiditegranite_uppper
1816,0,-218,0,90,1,zinnwaiditegranite_uppper
1793,0,-229,0,90,1,zinnwaiditegranite_uppper
1634,0,-180,0,90,1,zinnwaiditegranite_uppper
1560,0,-149,0,90,1,zinnwaiditegranite_uppper
1488,0,-134,0,90,1,zinnwaiditegranite_uppper
1448,0,-173,0,90,1,zinnwaiditegranite_uppper
1464,0,-199,0,90,1,zinnwaiditegranite_uppper
1530,0,-219,0,90,1,zinnwaiditegranite_uppper
1581,0,-211,0,90,1,zinnwaiditegranite_uppper
1678,0,-234,0,90,1,zinnwaiditegranite_uppper
1760,0,-260,0,90,1,zinnwaiditegranite_uppper
1845,0,-294,0,90,1,zinnwaiditegranite_uppper
1912,0,-326,0,90,1,zinnwaiditegranite_uppper
1957,0,-375,0,90,1,zinnwaiditegranite_uppper
2021,0,-463,0,90,1,zinnwaiditegranite_uppper
3,0,-588,0,90,1,basement
120,0,-574,0,90,1,basement
286,0,-578,0,90,1,basement
504,0,-593,0,90,1,basement
777,0,-597,0,90,1,basement
937,0,-602,0,90,1,basement
1139,0,-614,0,90,1,basement
1331,0,-617,0,90,1,basement
