X,Y,Z,formation
0,0,-52,topo
70,0,-51,topo
142,0,-38,topo
264,0,-34,topo
330,0,-34,topo
452,0,-34,topo
636,0,-27,topo
815,0,-26,topo
1055,0,-16,topo
1188,0,-2,topo
1338,0,0,topo
1469,0,-6,topo
1603,0,-14,topo
1716,0,-38,topo
1852,0,-69,topo
1935,0,-89,topo
10,0,-67,overburden
69,0,-69,overburden
179,0,-58,overburden
235,0,-52,overburden
348,0,-48,overburden
563,0,-46,overburden
760,0,-45,overburden
938,0,-37,overburden
1053,0,-26,overburden
1169,0,-21,overburden
1256,0,-6,overburden
3,0,-277,zinnwaiditegranite_lower
43,0,-275,zinnwaiditegranite_lower
63,0,-251,zinnwaiditegranite_lower
103,0,-250,zinnwaiditegranite_lower
143,0,-254,zinnwaiditegranite_lower
199,0,-283,zinnwaiditegranite_lower
274,0,-296,zinnwaiditegranite_lower
390,0,-306,zinnwaiditegranite_lower
475,0,-317,zinnwaiditegranite_lower
566,0,-328,zinnwaiditegranite_lower
635,0,-351,zinnwaiditegranite_lower
690,0,-372,zinnwaiditegranite_lower
740,0,-405,zinnwaiditegranite_lower
861,0,-453,zinnwaiditegranite_lower
1004,0,-464,zinnwaiditegranite_lower
1156,0,-476,zinnwaiditegranite_lower
1239,0,-482,zinnwaiditegranite_lower
1317,0,-511,zinnwaiditegranite_lower
1374,0,-522,zinnwaiditegranite_lower
1463,0,-525,zinnwaiditegranite_lower
1597,0,-532,zinnwaiditegranite_lower
1721,0,-541,zinnwaiditegranite_lower
1847,0,-599,zinnwaiditegranite_lower
1186,0,-57,zinnwaiditegranite_uppper
1230,0,-65,zinnwaiditegranite_uppper
1284,0,-85,zinnwaiditegranite_uppper
1349,0,-99,zinnwaiditegranite_uppper
1491,0,-114,zinnwaiditegranite_uppper
1578,0,-132,zinnwaiditegranite_uppper
1674,0,-182,zinnwaiditegranite_uppper
1724,0,-192,zinnwaiditegranite_uppper
1816,0,-218,zinnwaiditegranite_uppper
1793,0,-229,zinnwaiditegranite_uppper
1634,0,-180,zinnwaiditegranite_uppper
1560,0,-149,zinnwaiditegranite_uppper
1488,0,-134,zinnwaiditegranite_uppper
1448,0,-173,zinnwaiditegranite_uppper
1464,0,-199,zinnwaiditegranite_uppper
1530,0,-219,zinnwaiditegranite_uppper
1581,0,-211,zinnwaiditegranite_uppper
1678,0,-234,zinnwaiditegranite_uppper
1760,0,-260,zinnwaiditegranite_uppper
1845,0,-294,zinnwaiditegranite_uppper
1912,0,-326,zinnwaiditegranite_uppper
1957,0,-375,zinnwaiditegranite_uppper
2021,0,-463,zinnwaiditegranite_uppper
3,0,-588,basement
120,0,-574,basement
286,0,-578,basement
504,0,-593,basement
777,0,-597,basement
937,0,-602,basement
1139,0,-614,basement
1331,0,-617,basement
