X,Y,Z,formation
134,0,-869,zinnwaiditegranite_lower
174,0,-867,zinnwaiditegranite_lower
194,0,-843,zinnwaiditegranite_lower
234,0,-842,zinnwaiditegranite_lower
274,0,-846,zinnwaiditegranite_lower
330,0,-875,zinnwaiditegranite_lower
405,0,-888,zinnwaiditegranite_lower
521,0,-898,zinnwaiditegranite_lower
606,0,-909,zinnwaiditegranite_lower
697,0,-920,zinnwaiditegranite_lower
766,0,-943,zinnwaiditegranite_lower
821,0,-964,zinnwaiditegranite_lower
871,0,-997,zinnwaiditegranite_lower
992,0,-1045,zinnwaiditegranite_lower
1135,0,-1056,zinnwaiditegranite_lower
1287,0,-1068,zinnwaiditegranite_lower
1370,0,-1074,zinnwaiditegranite_lower
1448,0,-1103,zinnwaiditegranite_lower
1505,0,-1114,zinnwaiditegranite_lower
1594,0,-1117,zinnwaiditegranite_lower
1728,0,-1124,zinnwaiditegranite_lower
1852,0,-1133,zinnwaiditegranite_lower
1978,0,-1191,zinnwaiditegranite_lower
