X,Y,Z,formation
1317,0,-649,zinnwaiditegranite_uppper
1361,0,-657,zinnwaiditegranite_uppper
1415,0,-677,zinnwaiditegranite_uppper
1480,0,-691,zinnwaiditegranite_uppper
1622,0,-706,zinnwaiditegranite_uppper
1709,0,-724,zinnwaiditegranite_uppper
1805,0,-774,zinnwaiditegranite_uppper
1855,0,-784,zinnwaiditegranite_uppper
1947,0,-810,zinnwaiditegranite_uppper
1924,0,-821,zinnwaiditegranite_uppper
1765,0,-772,zinnwaiditegranite_uppper
1691,0,-741,zinnwaiditegranite_uppper
1619,0,-726,zinnwaiditegranite_uppper
1579,0,-765,zinnwaiditegranite_uppper
1595,0,-791,zinnwaiditegranite_uppper
1661,0,-811,zinnwaiditegranite_uppper
1712,0,-803,zinnwaiditegranite_uppper
1809,0,-826,zinnwaiditegranite_uppper
1891,0,-852,zinnwaiditegranite_uppper
1976,0,-886,zinnwaiditegranite_uppper
2043,0,-918,zinnwaiditegranite_uppper
2088,0,-967,zinnwaiditegranite_uppper
2152,0,-1055,zinnwaiditegranite_uppper
