X,Y,Z,formation
20.21,10.0,-609.83,6
20.21,10.0,-595.49,6
20.21,30.0,-609.83,6
20.21,30.0,-595.49,6
20.21,50.0,-609.83,6
20.21,50.0,-595.49,6
20.21,70.0,-609.83,6
20.21,70.0,-595.49,6
20.21,70.0,-581.1500000000001,6
20.21,90.0,-609.83,6
20.21,90.0,-595.49,6
20.21,90.0,-581.1500000000001,6
20.21,110.0,-609.83,6
20.21,110.0,-595.49,6
20.21,110.0,-581.1500000000001,6
20.21,130.0,-609.83,6
20.21,130.0,-595.49,6
20.21,130.0,-581.1500000000001,6
20.21,150.0,-609.83,6
20.21,150.0,-595.49,6
20.21,150.0,-581.1500000000001,6
20.21,170.0,-609.83,6
20.21,170.0,-595.49,6
20.21,170.0,-581.1500000000001,6
20.21,170.0,-566.8100000000001,6
20.21,190.0,-609.83,6
20.21,190.0,-595.49,6
20.21,190.0,-581.1500000000001,6
20.21,190.0,-566.8100000000001,6
20.21,210.0,-609.83,6
20.21,210.0,-595.49,6
20.21,210.0,-581.1500000000001,6
20.21,210.0,-566.8100000000001,6
20.21,230.0,-609.83,6
20.21,230.0,-595.49,6
20.21,230.0,-581.1500000000001,6
20.21,230.0,-566.8100000000001,6
20.21,250.0,-609.83,6
20.21,250.0,-595.49,6
20.21,250.0,-581.1500000000001,6
20.21,250.0,-566.8100000000001,6
20.21,250.0,-552.47,6
20.21,270.0,-609.83,6
20.21,270.0,-595.49,6
20.21,270.0,-581.1500000000001,6
20.21,270.0,-566.8100000000001,6
20.21,270.0,-552.47,6
20.21,290.0,-609.83,6
20.21,290.0,-595.49,6
20.21,290.0,-581.1500000000001,6
20.21,290.0,-566.8100000000001,6
20.21,290.0,-552.47,6
20.21,310.0,-609.83,6
20.21,310.0,-595.49,6
20.21,310.0,-581.1500000000001,6
20.21,310.0,-566.8100000000001,6
20.21,310.0,-552.47,6
20.21,330.0,-609.83,6
20.21,330.0,-595.49,6
20.21,330.0,-581.1500000000001,6
20.21,330.0,-566.8100000000001,6
20.21,330.0,-552.47,6
20.21,350.0,-609.83,6
20.21,350.0,-595.49,6
20.21,350.0,-581.1500000000001,6
20.21,350.0,-566.8100000000001,6
20.21,350.0,-552.47,6
20.21,350.0,-538.13,6
20.21,370.0,-609.83,6
20.21,370.0,-595.49,6
20.21,370.0,-581.1500000000001,6
20.21,370.0,-566.8100000000001,6
20.21,370.0,-552.47,6
20.21,370.0,-538.13,6
20.21,390.0,-609.83,6
20.21,390.0,-595.49,6
20.21,390.0,-581.1500000000001,6
20.21,390.0,-566.8100000000001,6
20.21,390.0,-552.47,6
20.21,390.0,-538.13,6
20.21,410.0,-609.83,6
20.21,410.0,-595.49,6
20.21,410.0,-581.1500000000001,6
20.21,410.0,-566.8100000000001,6
20.21,410.0,-552.47,6
20.21,410.0,-538.13,6
20.21,430.0,-609.83,6
20.21,430.0,-595.49,6
20.21,430.0,-581.1500000000001,6
20.21,430.0,-566.8100000000001,6
20.21,430.0,-552.47,6
20.21,430.0,-538.13,6
20.21,450.0,-609.83,6
20.21,450.0,-595.49,6
20.21,450.0,-581.1500000000001,6
20.21,450.0,-566.8100000000001,6
20.21,450.0,-552.47,6
20.21,450.0,-538.13,6
20.21,470.0,-609.83,6
20.21,470.0,-595.49,6
20.21,470.0,-581.1500000000001,6
20.21,470.0,-566.8100000000001,6
20.21,470.0,-552.47,6
20.21,470.0,-538.13,6
20.21,490.0,-609.83,6
20.21,490.0,-595.49,6
20.21,490.0,-581.1500000000001,6
20.21,490.0,-566.8100000000001,6
20.21,490.0,-552.47,6
20.21,490.0,-538.13,6
20.21,510.0,-609.83,6
20.21,510.0,-595.49,6
20.21,510.0,-581.1500000000001,6
20.21,510.0,-566.8100000000001,6
20.21,510.0,-552.47,6
20.21,510.0,-538.13,6
20.21,510.0,-523.7900000000001,6
20.21,530.0,-609.83,6
20.21,530.0,-595.49,6
20.21,530.0,-581.1500000000001,6
20.21,530.0,-566.8100000000001,6
20.21,530.0,-552.47,6
20.21,530.0,-538.13,6
20.21,530.0,-523.7900000000001,6
20.21,550.0,-609.83,6
