X,Y,Z,formation
12.63125,6.25,-38.918750000000045,1.0
12.63125,6.25,-29.956250000000068,1.0
12.63125,6.25,-20.99375000000009,1.0
12.63125,6.25,-12.03125,1.0
12.63125,6.25,-3.0687500000000227,1.0
12.63125,6.25,5.8937499999999545,1.0
12.63125,6.25,14.856249999999932,1.0
12.63125,6.25,23.81874999999991,1.0
12.63125,6.25,32.78125,1.0
12.63125,6.25,41.74374999999998,1.0
12.63125,6.25,50.706249999999955,1.0
12.63125,6.25,59.66874999999993,1.0
12.63125,6.25,68.63124999999991,1.0
12.63125,6.25,77.59374999999989,1.0
12.63125,6.25,86.55624999999998,1.0
12.63125,6.25,95.51875,1.0
12.63125,18.75,-38.918750000000045,1.0
12.63125,18.75,-29.956250000000068,1.0
12.63125,18.75,-20.99375000000009,1.0
12.63125,18.75,-12.03125,1.0
12.63125,18.75,-3.0687500000000227,1.0
12.63125,18.75,5.8937499999999545,1.0
12.63125,18.75,14.856249999999932,1.0
12.63125,18.75,23.81874999999991,1.0
12.63125,18.75,32.78125,1.0
12.63125,18.75,41.74374999999998,1.0
12.63125,18.75,50.706249999999955,1.0
12.63125,18.75,59.66874999999993,1.0
12.63125,18.75,68.63124999999991,1.0
12.63125,18.75,77.59374999999989,1.0
12.63125,18.75,86.55624999999998,1.0
12.63125,18.75,95.51875,1.0
12.63125,31.25,-38.918750000000045,1.0
12.63125,31.25,-29.956250000000068,1.0
12.63125,31.25,-20.99375000000009,1.0
12.63125,31.25,-12.03125,1.0
12.63125,31.25,-3.0687500000000227,1.0
12.63125,31.25,5.8937499999999545,1.0
12.63125,31.25,14.856249999999932,1.0
12.63125,31.25,23.81874999999991,1.0
12.63125,31.25,32.78125,1.0
12.63125,31.25,41.74374999999998,1.0
12.63125,31.25,50.706249999999955,1.0
12.63125,31.25,59.66874999999993,1.0
12.63125,31.25,68.63124999999991,1.0
12.63125,31.25,77.59374999999989,1.0
12.63125,31.25,86.55624999999998,1.0
12.63125,31.25,95.51875,1.0
12.63125,43.75,-38.918750000000045,1.0
12.63125,43.75,-29.956250000000068,1.0
12.63125,43.75,-20.99375000000009,1.0
12.63125,43.75,-12.03125,1.0
12.63125,43.75,-3.0687500000000227,1.0
12.63125,43.75,5.8937499999999545,1.0
12.63125,43.75,14.856249999999932,1.0
12.63125,43.75,23.81874999999991,1.0
12.63125,43.75,32.78125,1.0
12.63125,43.75,41.74374999999998,1.0
12.63125,43.75,50.706249999999955,1.0
12.63125,43.75,59.66874999999993,1.0
12.63125,43.75,68.63124999999991,1.0
12.63125,43.75,77.59374999999989,1.0
12.63125,43.75,86.55624999999998,1.0
12.63125,43.75,95.51875,1.0
12.63125,56.25,-38.918750000000045,1.0
12.63125,56.25,-29.956250000000068,1.0
12.63125,56.25,-20.99375000000009,1.0
12.63125,56.25,-12.03125,1.0
12.63125,56.25,-3.0687500000000227,1.0
12.63125,56.25,5.8937499999999545,1.0
12.63125,56.25,14.856249999999932,1.0
12.63125,56.25,23.81874999999991,1.0
12.63125,56.25,32.78125,1.0
12.63125,56.25,41.74374999999998,1.0
12.63125,56.25,50.706249999999955,1.0
12.63125,56.25,59.66874999999993,1.0
12.63125,56.25,68.63124999999991,1.0
12.63125,56.25,77.59374999999989,1.0
12.63125,56.25,86.55624999999998,1.0
12.63125,56.25,95.51875,1.0
12.63125,68.75,-38.918750000000045,1.0
12.63125,68.75,-29.956250000000068,1.0
12.63125,68.75,-20.99375000000009,1.0
12.63125,68.75,-12.03125,1.0
12.63125,68.75,-3.0687500000000227,1.0
12.63125,68.75,5.8937499999999545,1.0
12.63125,68.75,14.856249999999932,1.0
12.63125,68.75,23.81874999999991,1.0
12.63125,68.75,32.78125,1.0
12.63125,68.75,41.74374999999998,1.0
12.63125,68.75,50.706249999999955,1.0
12.63125,68.75,59.66874999999993,1.0
12.63125,68.75,68.63124999999991,1.0
12.63125,68.75,77.59374999999989,1.0
12.63125,68.75,86.55624999999998,1.0
12.63125,68.75,95.51875,1.0
12.63125,81.25,-38.918750000000045,1.0
12.63125,81.25,-29.956250000000068,1.0
12.63125,81.25,-20.99375000000009,1.0
12.63125,81.25,-12.03125,1.0
12.63125,81.25,-3.0687500000000227,1.0
12.63125,81.25,5.8937499999999545,1.0
12.63125,81.25,14.856249999999932,1.0
12.63125,81.25,23.81874999999991,1.0
12.63125,81.25,32.78125,1.0
12.63125,81.25,41.74374999999998,1.0
12.63125,81.25,50.706249999999955,1.0
12.63125,81.25,59.66874999999993,1.0
12.63125,81.25,68.63124999999991,1.0
12.63125,81.25,77.59374999999989,1.0
12.63125,81.25,86.55624999999998,1.0
12.63125,81.25,95.51875,1.0
12.63125,93.75,-29.956250000000068,1.0
12.63125,93.75,-20.99375000000009,1.0
12.63125,93.75,-12.03125,1.0
12.63125,93.75,-3.0687500000000227,1.0
12.63125,93.75,5.8937499999999545,1.0
12.63125,93.75,14.856249999999932,1.0
12.63125,93.75,23.81874999999991,1.0
12.63125,93.75,32.78125,1.0
12.63125,93.75,41.74374999999998,1.0
12.63125,93.75,50.706249999999955,1.0
12.63125,93.75,59.66874999999993,1.0
12.63125,93.75,68.63124999999991,1.0
12.63125,93.75,77.59374999999989,1.0
12.63125,93.75,86.55624999999998,1.0
12.63125,93.75,95.51875,1.0
12.63125,106.25,-29.956250000000068,1.0
12.63125,106.25,-20.99375000000009,1.0
12.63125,106.25,-12.03125,1.0
12.63125,106.25,-3.0687500000000227,1.0
12.63125,106.25,5.8937499999999545,1.0
12.63125,106.25,14.856249999999932,1.0
12.63125,106.25,23.81874999999991,1.0
