X,Y,Z,grade,borehole
1758.2700000000002,350.0,-566.8100000000001,0.4323800097734377,1
1758.2700000000002,350.0,-552.47,0.4326334130508423,1
1758.2700000000002,350.0,-538.13,0.4329273312973284,1
1758.2700000000002,350.0,-523.7900000000001,0.4332620909633317,1
1758.2700000000002,350.0,-509.4500000000001,0.4336372741198715,1
1758.2700000000002,350.0,-495.11,0.4340516613760224,1
1758.2700000000002,350.0,-480.77,0.4345032029455041,1
1758.2700000000002,350.0,-466.43000000000006,0.4349890224209036,1
1758.2700000000002,350.0,-452.09,0.4355054557921725,1
1758.2700000000002,350.0,-437.75,0.4360481257044809,1
1758.2700000000002,350.0,-423.41,0.4366120481147736,1
1758.2700000000002,350.0,-409.0700000000001,0.4371917656790135,1
1758.2700000000002,350.0,-394.73,0.4377814997319112,1
1758.2700000000002,350.0,-380.39,0.4383753109537128,1
1758.2700000000002,350.0,-366.05,0.4389672580421298,1
1758.2700000000002,350.0,-351.71000000000004,0.4395515440999548,1
1758.2700000000002,350.0,-337.37,0.4401226420301677,1
1758.2700000000002,350.0,-323.03000000000003,0.4406753928450769,1
1758.2700000000002,350.0,-308.69,0.4412050741111535,1
1758.2700000000002,350.0,-294.35,0.4417074393009959,1
1758.2700000000002,350.0,-280.01,0.442178732072954,1
747.7700000000001,150.0,-394.73,0.4285970834422641,10
747.7700000000001,150.0,-380.39,0.4292867530967955,10
747.7700000000001,150.0,-366.05,0.4302017107858489,10
747.7700000000001,150.0,-351.71000000000004,0.4313783371677676,10
747.7700000000001,150.0,-337.37,0.4328523848408376,10
747.7700000000001,150.0,-323.03000000000003,0.4346556432097084,10
747.7700000000001,150.0,-308.69,0.4368121798245109,10
747.7700000000001,150.0,-294.35,0.4393350999611668,10
747.7700000000001,150.0,-280.01,0.4422245625711207,10
747.7700000000001,150.0,-265.67,0.4454668539498526,10
747.7700000000001,150.0,-251.33,0.4490330633221585,10
747.7700000000001,150.0,-236.99,0.4528752288543527,10
747.7700000000001,150.0,-222.65,0.4569185811193668,10
747.7700000000001,150.0,-208.31,0.4610508415900626,10
747.7700000000001,150.0,-193.97,0.4651125498175769,10
747.7700000000001,150.0,-179.63,0.4688944913269057,10
747.7700000000001,150.0,-165.28999999999996,0.47214796147201,10
747.7700000000001,150.0,-150.95,0.4746102955525277,10
747.7700000000001,150.0,-136.61,0.4760427584165486,10
747.7700000000001,150.0,-122.26999999999998,0.4762726101364617,10
747.7700000000001,150.0,-107.93,0.475228207087438,10
747.7700000000001,150.0,-93.59000000000005,0.4729567749529709,10
747.7700000000001,150.0,-79.25,0.4696190700610799,10
303.15,490.0,-366.05,0.434230006999111,11
303.15,490.0,-351.71000000000004,0.4343582932140551,11
303.15,490.0,-337.37,0.4344891063042347,11
303.15,490.0,-323.03000000000003,0.4346210697690807,11
303.15,490.0,-308.69,0.4347527173731923,11
303.15,490.0,-294.35,0.4348825198615362,11
303.15,490.0,-280.01,0.4350089153359245,11
303.15,490.0,-265.67,0.4351303424099646,11
303.15,490.0,-251.33,0.4352452750583334,11
303.15,490.0,-236.99,0.4353522579238259,11
303.15,490.0,-222.65,0.4354499407571248,11
303.15,490.0,-208.31,0.4355371106502536,11
303.15,490.0,-193.97,0.4356127207900607,11
303.15,490.0,-179.63,0.4356759146006284,11
303.15,490.0,-165.28999999999996,0.4357260443547806,11
303.15,490.0,-150.95,0.4357626835997441,11
303.15,490.0,-136.61,0.4357856330412433,11
303.15,490.0,-122.26999999999998,0.4357949198418689,11
303.15,490.0,-107.93,0.4357907905912479,11
303.15,490.0,-93.59000000000005,0.435773698477002,11
303.15,490.0,-79.25,0.4357442854104018,11
1515.75,350.0,-509.4500000000001,0.4330679309016125,12
1515.75,350.0,-495.11,0.4333137155294272,12
1515.75,350.0,-480.77,0.4335917556125172,12
1515.75,350.0,-466.43000000000006,0.4339023855394432,12
1515.75,350.0,-452.09,0.4342453445301362,12
1515.75,350.0,-437.75,0.4346196941720034,12
1515.75,350.0,-423.41,0.4350237537517314,12
1515.75,350.0,-409.0700000000001,0.4354550603880701,12
1515.75,350.0,-394.73,0.4359103601192907,12
1515.75,350.0,-380.39,0.4363856345132287,12
1515.75,350.0,-366.05,0.436876165109947,12
1515.75,350.0,-351.71000000000004,0.4373766352354269,12
1515.75,350.0,-337.37,0.4378812656912741,12
