X,Y,Z,formation
5,0,-110,topo
44,0,-135,topo
116,0,-159,topo
166,0,-180,topo
203,0,-194,topo
251,0,-207,topo
302,0,-213,topo
305,0,-218,topo
335,0,-237,topo
378,0,-263,topo
415,0,-285,topo
444,0,-296,topo
469,0,-275,topo
517,0,-259,topo
563,0,-254,topo
614,0,-244,topo
644,0,-240,topo
707,0,-177,topo
734,0,-151,topo
773,0,-122,topo
801,0,-101,topo
840,0,-78,topo
893,0,-51,topo
932,0,-27,topo
967,0,-23,topo
1020,0,-21,topo
1056,0,-21,topo
1094,0,-16,topo
1135,0,-16,topo
1180,0,-11,topo
1195,0,-3,topo
1207,0,0,topo
1217,0,-17,topo
1235,0,-44,topo
1251,0,-72,topo
1260,0,-95,topo
1272,0,-112,topo
1288,0,-126,topo
1307,0,-140,topo
0,0,-957,BazhuluFm
52,0,-843,BazhuluFm
83,0,-768,BazhuluFm
111,0,-711,BazhuluFm
140,0,-638,BazhuluFm
168,0,-585,BazhuluFm
191,0,-524,BazhuluFm
222,0,-463,BazhuluFm
253,0,-401,BazhuluFm
283,0,-354,BazhuluFm
309,0,-303,BazhuluFm
330,0,-258,BazhuluFm
606,0,-1247,UpperHuakaizuoFm
614,0,-1207,UpperHuakaizuoFm
622,0,-1156,UpperHuakaizuoFm
646,0,-1090,UpperHuakaizuoFm
666,0,-1023,UpperHuakaizuoFm
687,0,-961,UpperHuakaizuoFm
709,0,-907,UpperHuakaizuoFm
721,0,-859,UpperHuakaizuoFm
723,0,-815,UpperHuakaizuoFm
730,0,-754,UpperHuakaizuoFm
725,0,-699,UpperHuakaizuoFm
735,0,-654,UpperHuakaizuoFm
779,0,-548,UpperHuakaizuoFm
796,0,-470,UpperHuakaizuoFm
812,0,-391,UpperHuakaizuoFm
831,0,-324,UpperHuakaizuoFm
845,0,-252,UpperHuakaizuoFm
871,0,-182,UpperHuakaizuoFm
882,0,-120,UpperHuakaizuoFm
895,0,-92,UpperHuakaizuoFm
905,0,-58,UpperHuakaizuoFm
275,0,-1219,LowerHuakaizuoFm
293,0,-1173,LowerHuakaizuoFm
308,0,-1124,LowerHuakaizuoFm
345,0,-1028,LowerHuakaizuoFm
380,0,-967,LowerHuakaizuoFm
407,0,-891,LowerHuakaizuoFm
434,0,-819,LowerHuakaizuoFm
443,0,-775,LowerHuakaizuoFm
468,0,-704,LowerHuakaizuoFm
483,0,-652,LowerHuakaizuoFm
498,0,-602,LowerHuakaizuoFm
511,0,-551,LowerHuakaizuoFm
536,0,-498,LowerHuakaizuoFm
559,0,-453,LowerHuakaizuoFm
574,0,-405,LowerHuakaizuoFm
587,0,-365,LowerHuakaizuoFm
591,0,-336,LowerHuakaizuoFm
605,0,-331,LowerHuakaizuoFm
630,0,-333,LowerHuakaizuoFm
639,0,-356,LowerHuakaizuoFm
653,0,-377,LowerHuakaizuoFm
666,0,-402,LowerHuakaizuoFm
675,0,-446,LowerHuakaizuoFm
675,0,-483,LowerHuakaizuoFm
675,0,-520,LowerHuakaizuoFm
673,0,-554,LowerHuakaizuoFm
683,0,-591,LowerHuakaizuoFm
683,0,-635,LowerHuakaizuoFm
670,0,-694,LowerHuakaizuoFm
662,0,-723,LowerHuakaizuoFm
643,0,-764,LowerHuakaizuoFm
631,0,-811,LowerHuakaizuoFm
613,0,-873,LowerHuakaizuoFm
604,0,-923,LowerHuakaizuoFm
587,0,-977,LowerHuakaizuoFm
572,0,-1025,LowerHuakaizuoFm
551,0,-1083,LowerHuakaizuoFm
537,0,-1139,LowerHuakaizuoFm
530,0,-1176,LowerHuakaizuoFm
514,0,-1217,LowerHuakaizuoFm
622,0,-1181,Bazhulu2Fm
660,0,-1156,Bazhulu2Fm
710,0,-1117,Bazhulu2Fm
743,0,-1076,Bazhulu2Fm
786,0,-1019,Bazhulu2Fm
814,0,-963,Bazhulu2Fm
850,0,-912,Bazhulu2Fm
904,0,-873,Bazhulu2Fm
961,0,-854,Bazhulu2Fm
1023,0,-854,Bazhulu2Fm
1054,0,-863,Bazhulu2Fm
1090,0,-887,Bazhulu2Fm
1125,0,-921,Bazhulu2Fm
1157,0,-960,Bazhulu2Fm
1183,0,-993,Bazhulu2Fm
1228,0,-1030,Bazhulu2Fm
1239,0,-1051,Bazhulu2Fm
1270,0,-1084,Bazhulu2Fm
1303,0,-1115,Bazhulu2Fm
698,0,-1252,UpperHuakaizuo2Fm
739,0,-1222,UpperHuakaizuo2Fm
779,0,-1212,UpperHuakaizuo2Fm
806,0,-1178,UpperHuakaizuo2Fm
845,0,-1148,UpperHuakaizuo2Fm
893,0,-1119,UpperHuakaizuo2Fm
939,0,-1088,UpperHuakaizuo2Fm
992,0,-1097,UpperHuakaizuo2Fm
1059,0,-1110,UpperHuakaizuo2Fm
1104,0,-1135,UpperHuakaizuo2Fm
1150,0,-1171,UpperHuakaizuo2Fm
1200,0,-1189,UpperHuakaizuo2Fm
1224,0,-1213,UpperHuakaizuo2Fm
1267,0,-1227,UpperHuakaizuo2Fm
1300,0,-1257,UpperHuakaizuo2Fm
