X,Y,Z,formation
692.71,335,-172.189999999999,topo
326.75,145,-224.469999999999,topo
457.45,465,-224.469999999999,topo
771.13,365,-146.049999999999,topo
379.03,175,-250.609999999999,topo
588.15,475,-198.33,topo
535.87,225,-250.609999999999,topo
483.59,175,-250.609999999999,topo
823.41,325,-93.7699999999999,topo
248.33,365,-198.33,topo
274.47,205,-224.469999999999,topo
640.43,205,-198.33,topo
771.13,475,-146.049999999999,topo
718.85,55,-146.049999999999,topo
300.61,455,-224.469999999999,topo
196.05,275,-198.33,topo
379.03,425,-224.469999999999,topo
379.03,75,-250.609999999999,topo
588.15,105,-224.469999999999,topo
379.03,45,-250.609999999999,topo
823.41,315,-93.7699999999999,topo
718.85,325,-172.189999999999,topo
509.73,275,-250.609999999999,topo
535.87,135,-250.609999999999,topo
457.45,255,-250.609999999999,topo
640.43,455,-198.33,topo
222.19,95,-198.33,topo
274.47,325,-224.469999999999,topo
352.89,25,-224.469999999999,topo
457.45,85,-276.749999999999,topo
640.43,45,-224.469999999999,topo
326.75,145,-1243.93,LowerHuakaizuoFm
379.03,175,-1243.93,LowerHuakaizuoFm
483.59,175,-1139.37,LowerHuakaizuoFm
379.03,75,-1243.93,LowerHuakaizuoFm
588.15,105,-904.11,LowerHuakaizuoFm
379.03,45,-1243.93,LowerHuakaizuoFm
535.87,135,-1034.81,LowerHuakaizuoFm
352.89,25,-1243.93,LowerHuakaizuoFm
457.45,85,-1243.93,LowerHuakaizuoFm
640.43,45,-747.27,LowerHuakaizuoFm
326.75,145,-250.609999999999,BazhuluFm
13.07,215,-930.25,BazhuluFm
39.21,305,-877.97,BazhuluFm
248.33,365,-407.449999999999,BazhuluFm
274.47,205,-355.17,BazhuluFm
300.61,455,-276.749999999999,BazhuluFm
196.05,275,-512.01,BazhuluFm
39.21,255,-877.97,BazhuluFm
222.19,95,-459.729999999999,BazhuluFm
274.47,325,-355.17,BazhuluFm
13.07,145,-930.25,BazhuluFm
849.55,295,-250.609999999999,UpperHuakaizuoFm
692.71,335,-877.97,UpperHuakaizuoFm
326.75,145,-1139.37,UpperHuakaizuoFm
457.45,465,-1243.93,UpperHuakaizuoFm
849.55,95,-224.469999999999,UpperHuakaizuoFm
771.13,365,-564.29,UpperHuakaizuoFm
13.07,215,-1243.93,UpperHuakaizuoFm
379.03,175,-1087.09,UpperHuakaizuoFm
588.15,475,-1191.65,UpperHuakaizuoFm
39.21,305,-1243.93,UpperHuakaizuoFm
535.87,225,-1243.93,UpperHuakaizuoFm
483.59,175,-1243.93,UpperHuakaizuoFm
823.41,325,-355.17,UpperHuakaizuoFm
248.33,365,-1243.93,UpperHuakaizuoFm
274.47,205,-1243.93,UpperHuakaizuoFm
640.43,205,-1087.09,UpperHuakaizuoFm
849.55,115,-250.609999999999,UpperHuakaizuoFm
771.13,475,-564.29,UpperHuakaizuoFm
718.85,55,-851.829999999999,UpperHuakaizuoFm
300.61,455,-1243.93,UpperHuakaizuoFm
875.69,325,-172.189999999999,UpperHuakaizuoFm
196.05,275,-1243.93,UpperHuakaizuoFm
39.21,255,-1243.93,UpperHuakaizuoFm
379.03,425,-1243.93,UpperHuakaizuoFm
379.03,75,-956.39,UpperHuakaizuoFm
588.15,105,-1243.93,UpperHuakaizuoFm
379.03,45,-956.39,UpperHuakaizuoFm
823.41,315,-355.17,UpperHuakaizuoFm
718.85,325,-773.41,UpperHuakaizuoFm
509.73,275,-1243.93,UpperHuakaizuoFm
535.87,135,-1243.93,UpperHuakaizuoFm
457.45,255,-1243.93,UpperHuakaizuoFm
640.43,455,-1034.81,UpperHuakaizuoFm
222.19,95,-1243.93,UpperHuakaizuoFm
274.47,325,-1243.93,UpperHuakaizuoFm
352.89,25,-1008.67,UpperHuakaizuoFm
823.41,15,-355.17,UpperHuakaizuoFm
13.07,145,-1243.93,UpperHuakaizuoFm
457.45,85,-747.27,UpperHuakaizuoFm
640.43,45,-1087.09,UpperHuakaizuoFm
849.55,295,-1008.67,Bazhulu2Fm
1084.81,135,-904.11,Bazhulu2Fm
692.71,335,-1139.37,Bazhulu2Fm
849.55,95,-930.25,Bazhulu2Fm
1137.09,355,-1034.81,Bazhulu2Fm
771.13,365,-1087.09,Bazhulu2Fm
901.83,135,-904.11,Bazhulu2Fm
588.15,475,-1243.93,Bazhulu2Fm
1215.51,225,-1060.95,Bazhulu2Fm
1267.79,75,-1060.95,Bazhulu2Fm
1006.39,405,-1034.81,Bazhulu2Fm
823.41,325,-1034.81,Bazhulu2Fm
1267.79,285,-1113.23,Bazhulu2Fm
1241.65,315,-1113.23,Bazhulu2Fm
1163.23,415,-1087.09,Bazhulu2Fm
640.43,205,-1165.51,Bazhulu2Fm
849.55,115,-930.25,Bazhulu2Fm
771.13,475,-1139.37,Bazhulu2Fm
718.85,55,-1087.09,Bazhulu2Fm
1163.23,415,-1087.09,Bazhulu2Fm
875.69,325,-1008.67,Bazhulu2Fm
954.11,5,-851.829999999999,Bazhulu2Fm
1241.65,485,-1165.51,Bazhulu2Fm
1137.09,225,-982.53,Bazhulu2Fm
954.11,345,-982.53,Bazhulu2Fm
823.41,315,-1034.81,Bazhulu2Fm
718.85,325,-1113.23,Bazhulu2Fm
640.43,455,-1243.93,Bazhulu2Fm
1241.65,105,-1060.95,Bazhulu2Fm
1032.53,135,-877.97,Bazhulu2Fm
1241.65,195,-1060.95,Bazhulu2Fm
1241.65,105,-1060.95,Bazhulu2Fm
1293.93,425,-1191.65,Bazhulu2Fm
1058.67,385,-1034.81,Bazhulu2Fm
823.41,15,-930.25,Bazhulu2Fm
640.43,45,-1165.51,Bazhulu2Fm
849.55,295,-1191.65,UpperHuakaizuo2Fm
1084.81,135,-1113.23,UpperHuakaizuo2Fm
692.71,335,-1243.93,UpperHuakaizuo2Fm
849.55,95,-1139.37,UpperHuakaizuo2Fm
1137.09,355,-1217.79,UpperHuakaizuo2Fm
