X,Y,Z,dip,azimuth,polarity,formation
5,0,-110,0,90,1,topo
116,0,-159,0,90,1,topo
203,0,-194,0,90,1,topo
302,0,-213,0,90,1,topo
335,0,-237,0,90,1,topo
415,0,-285,0,90,1,topo
469,0,-275,0,90,1,topo
563,0,-254,0,90,1,topo
644,0,-240,0,90,1,topo
734,0,-151,0,90,1,topo
801,0,-101,0,90,1,topo
893,0,-51,0,90,1,topo
967,0,-23,0,90,1,topo
1056,0,-21,0,90,1,topo
1135,0,-16,0,90,1,topo
1195,0,-3,0,90,1,topo
1217,0,-17,0,90,1,topo
1251,0,-72,0,90,1,topo
1272,0,-112,0,90,1,topo
1307,0,-140,0,90,1,topo
0,0,-957,-70,90,1,BazhuluFm
83,0,-768,-70,90,1,BazhuluFm
140,0,-638,-70,90,1,BazhuluFm
191,0,-524,-70,90,1,BazhuluFm
253,0,-401,-70,90,1,BazhuluFm
309,0,-303,-70,90,1,BazhuluFm
330,0,-258,-70,90,1,BazhuluFm
606,0,-1247,-70,90,.4,UpperHuakaizuoFm
622,0,-1156,-70,90,.4,UpperHuakaizuoFm
666,0,-1023,-70,90,1,UpperHuakaizuoFm
709,0,-907,-70,90,.4,UpperHuakaizuoFm
723,0,-815,-70,90,1,UpperHuakaizuoFm
725,0,-699,-70,90,1,UpperHuakaizuoFm
779,0,-548,-70,90,1,UpperHuakaizuoFm
812,0,-391,-70,90,1,UpperHuakaizuoFm
845,0,-252,-70,90,1,UpperHuakaizuoFm
882,0,-120,-70,90,1,UpperHuakaizuoFm
905,0,-58,-70,90,1,UpperHuakaizuoFm
275,0,-1219,110,90,1,LowerHuakaizuoFm
308,0,-1124,110,90,1,LowerHuakaizuoFm
380,0,-967,110,90,1,LowerHuakaizuoFm
434,0,-819,110,90,1,LowerHuakaizuoFm
468,0,-704,110,90,1,LowerHuakaizuoFm
498,0,-602,110,90,1,LowerHuakaizuoFm
536,0,-498,110,90,1,LowerHuakaizuoFm
574,0,-405,110,90,1,LowerHuakaizuoFm
591,0,-336,180,90,1,LowerHuakaizuoFm
630,0,-333,180,90,1,LowerHuakaizuoFm
653,0,-377,-110,90,1,LowerHuakaizuoFm
675,0,-446,-70,90,1,LowerHuakaizuoFm
675,0,-520,-70,90,1,LowerHuakaizuoFm
683,0,-591,-70,90,1,LowerHuakaizuoFm
670,0,-694,-70,90,1,LowerHuakaizuoFm
643,0,-764,-70,90,1,LowerHuakaizuoFm
613,0,-873,-70,90,1,LowerHuakaizuoFm
587,0,-977,-70,90,1,LowerHuakaizuoFm
551,0,-1083,-70,90,1,LowerHuakaizuoFm
530,0,-1176,-70,90,1,LowerHuakaizuoFm
514,0,-1217,-70,90,1,LowerHuakaizuoFm
622,0,-1181,-60,90,1,Bazhulu2Fm
710,0,-1117,-50,90,1,Bazhulu2Fm
786,0,-1019,-40,90,1,Bazhulu2Fm
850,0,-912,-30,90,1,Bazhulu2Fm
961,0,-854,0,90,1,Bazhulu2Fm
1054,0,-863,30,90,1,Bazhulu2Fm
1125,0,-921,40,90,1,Bazhulu2Fm
1183,0,-993,50,90,1,Bazhulu2Fm
1239,0,-1051,60,90,1,Bazhulu2Fm
1303,0,-1115,60,90,1,Bazhulu2Fm
698,0,-1252,-60,90,1,UpperHuakaizuo2Fm
779,0,-1212,-40,90,1,UpperHuakaizuo2Fm
845,0,-1148,-20,90,1,UpperHuakaizuo2Fm
939,0,-1088,0,90,1,UpperHuakaizuo2Fm
1059,0,-1110,20,90,1,UpperHuakaizuo2Fm
1150,0,-1171,40,90,1,UpperHuakaizuo2Fm
1224,0,-1213,50,90,1,UpperHuakaizuo2Fm
1300,0,-1257,60,90,1,UpperHuakaizuo2Fm
