,X,Y,Z,grade,borehole
0,849.5500000000002,15.0,-224.4699999999999,2.0428890425568866,1.0
10,274.47,495.0,-1139.3700000000001,2.043264420177814,2.0
20,274.47,495.0,-877.97,2.0432714554001126,2.0
30,274.47,495.0,-616.5699999999999,2.0432920853326846,2.0
40,248.33000000000004,475.0,-1243.93,2.043270802836696,3.0
50,248.33000000000004,475.0,-982.53,2.0432585006725756,3.0
60,248.33000000000004,475.0,-721.13,2.043281526553636,3.0
70,248.33000000000004,475.0,-459.7299999999999,2.0432685765564935,3.0
80,169.91000000000003,465.0,-1034.81,2.043264822574711,4.0
90,169.91000000000003,465.0,-773.41,2.0432737991878938,4.0
100,379.03000000000003,335.0,-1165.51,2.043182062172696,5.0
110,379.03000000000003,335.0,-904.11,2.043179290220166,5.0
120,379.03000000000003,335.0,-642.7099999999999,2.0433045723932377,5.0
130,379.03000000000003,335.0,-381.30999999999995,2.043184564514638,5.0
140,640.4300000000002,365.0,-1008.6700000000001,2.0432648130372275,6.0
150,640.4300000000002,365.0,-747.27,2.043631732769292,6.0
160,640.4300000000002,365.0,-485.8699999999999,2.0436137276756883,6.0
170,640.4300000000002,365.0,-224.4699999999999,2.0431607772739673,6.0
180,91.49000000000001,275.0,-1008.6700000000001,2.0432323831732937,7.0
190,692.7100000000002,375.0,-956.3900000000001,2.0433733902394127,8.0
200,692.7100000000002,375.0,-694.99,2.043764901354406,8.0
210,692.7100000000002,375.0,-433.5899999999999,2.0435869223782883,8.0
220,744.9900000000001,25.0,-616.5699999999999,2.0485682166032904,9.0
230,744.9900000000001,25.0,-355.16999999999996,2.0429049686511553,9.0
240,562.0100000000001,285.0,-1191.65,2.0431396083496463,10.0
250,562.0100000000001,285.0,-930.25,2.0431601832038573,10.0
260,562.0100000000001,285.0,-668.85,2.0436643339512295,10.0
270,562.0100000000001,285.0,-407.44999999999993,2.0433613614849895,10.0
280,823.4100000000002,185.0,-276.7499999999999,2.043495237519897,11.0
290,692.7100000000002,325.0,-877.97,2.0435156466701896,12.0
300,692.7100000000002,325.0,-616.5699999999999,2.0439690326943087,12.0
310,692.7100000000002,325.0,-355.16999999999996,2.04346605104579,12.0
320,640.4300000000002,215.0,-1034.81,2.0430181195754393,13.0
330,640.4300000000002,215.0,-773.41,2.043846762392587,13.0
340,640.4300000000002,215.0,-512.01,2.0440639482886005,13.0
350,640.4300000000002,215.0,-250.6099999999999,2.0429556627549523,13.0
360,614.2900000000002,225.0,-1008.6700000000001,2.0430104966752283,14.0
370,614.2900000000002,225.0,-747.27,2.0438065753414048,14.0
380,614.2900000000002,225.0,-485.8699999999999,2.0438113761611074,14.0
