X,Y,Z,grade_value,grade
648,0,-251,2.04175410628744,Cu grade
651,0,-270,2.04622021016314,Cu grade
664,0,-276,2.04489981713407,Cu grade
655,0,-264,2.04686146358522,Cu grade
657,0,-298,2.04127217103933,Cu grade
665,0,-298,2.04754195036266,Cu grade
664,0,-330,2.04510222046408,Cu grade
675,0,-331,2.04385177914323,Cu grade
675,0,-353,2.04161473933833,Cu grade
681,0,-369,2.04305138972491,Cu grade
678,0,-387,2.04355719266714,Cu grade
692,0,-400,2.0409619815705,Cu grade
683,0,-373,2.04286398566726,Cu grade
685,0,-419,2.04029092955629,Cu grade
694,0,-430,2.04058505211059,Cu grade
687,0,-457,2.0486905101521,Cu grade
684,0,-485,2.04977661801795,Cu grade
680,0,-514,2.04357480019635,Cu grade
675,0,-540,2.04104160010497,Cu grade
672,0,-562,2.04518742256169,Cu grade
679,0,-587,2.04674411435166,Cu grade
678,0,-605,2.04826169187053,Cu grade
686,0,-634,2.04950666681158,Cu grade
682,0,-638,2.04858112330448,Cu grade
694,0,-658,2.04811768809879,Cu grade
689,0,-671,2.0432534806512,Cu grade
689,0,-692,2.04772883150591,Cu grade
696,0,-703,2.04825633606606,Cu grade
689,0,-721,2.04000562861163,Cu grade
692,0,-734,2.04330832182898,Cu grade
697,0,-728,2.04070495778695,Cu grade
691,0,-752,2.04033928914712,Cu grade
681,0,-752,2.04502432991055,Cu grade
691,0,-760,2.04972820563037,Cu grade
684,0,-778,2.04892886647027,Cu grade
679,0,-794,2.04262483166085,Cu grade
676,0,-811,2.04771429626576,Cu grade
670,0,-829,2.0466686458574,Cu grade
663,0,-843,2.04080440869952,Cu grade
679,0,-276,2.04146126631771,Cu grade
675,0,-275,2.04956077803129,Cu grade
685,0,-294,2.0434452671184,Cu grade
688,0,-294,2.04396361398381,Cu grade
696,0,-308,2.04958391214633,Cu grade
699,0,-322,2.04625910662341,Cu grade
706,0,-337,2.04560487670746,Cu grade
703,0,-350,2.04948421324559,Cu grade
706,0,-362,2.04607212868033,Cu grade
709,0,-378,2.0450573913789,Cu grade
711,0,-397,2.04062107292448,Cu grade
712,0,-413,2.04170704374296,Cu grade
715,0,-430,2.04344462460098,Cu grade
715,0,-450,2.04492655597358,Cu grade
715,0,-469,2.04953668070989,Cu grade
728,0,-279,2.0429082909018,Cu grade
728,0,-296,2.04204951332732,Cu grade
728,0,-322,2.04916843496352,Cu grade
733,0,-316,2.04754266281878,Cu grade
733,0,-347,2.0409758567681,Cu grade
733,0,-339,2.04515698163217,Cu grade
733,0,-365,2.04197265788954,Cu grade
758,0,-547,2.04910990582895,Cu grade
758,0,-530,2.04785502235297,Cu grade
754,0,-513,2.04271368819713,Cu grade
758,0,-497,2.04236973536847,Cu grade
752,0,-487,2.04011664038175,Cu grade
753,0,-467,2.04688574697976,Cu grade
752,0,-436,2.04984462127694,Cu grade
752,0,-427,2.04047937888783,Cu grade
750,0,-405,2.04884079982176,Cu grade
750,0,-397,2.04090639257083,Cu grade
750,0,-377,2.04088747342981,Cu grade
776,0,-279,2.04150485956528,Cu grade
776,0,-313,2.04998539396865,Cu grade
779,0,-302,2.04892515311945,Cu grade
777,0,-338,2.04150718288671,Cu grade
780,0,-347,2.04197666772146,Cu grade
781,0,-333,2.04572613303335,Cu grade
783,0,-367,2.04275850076449,Cu grade
773,0,-386,2.04774206283204,Cu grade
786,0,-388,2.04765227210709,Cu grade
787,0,-416,2.04866640497074,Cu grade
771,0,-403,2.04989751600605,Cu grade
786,0,-426,2.04076358739295,Cu grade
777,0,-439,2.04515539074472,Cu grade
785,0,-396,2.043752002054,Cu grade
799,0,-430,2.04331149360015,Cu grade
781,0,-456,2.04615813480604,Cu grade
788,0,-449,2.04612474123552,Cu grade
777,0,-454,2.04860226112375,Cu grade
776,0,-475,2.04327605352725,Cu grade
786,0,-467,2.04266224077708,Cu grade
786,0,-486,2.04789456691182,Cu grade
780,0,-502,2.0417428146061,Cu grade
778,0,-523,2.04672387109608,Cu grade
779,0,-496,2.04416931939252,Cu grade
789,0,-466,2.04143643789776,Cu grade
784,0,-505,2.04110519575831,Cu grade
