X,Y,Z,dip,azimuth,polarity,formation
5,0,-110,0,90,1,topo
44,0,-135,0,90,1,topo
116,0,-159,0,90,1,topo
166,0,-180,0,90,1,topo
203,0,-194,0,90,1,topo
251,0,-207,0,90,1,topo
302,0,-213,0,90,1,topo
305,0,-218,0,90,1,topo
335,0,-237,0,90,1,topo
378,0,-263,0,90,1,topo
415,0,-285,0,90,1,topo
444,0,-296,0,90,1,topo
469,0,-275,0,90,1,topo
517,0,-259,0,90,1,topo
563,0,-254,0,90,1,topo
614,0,-244,0,90,1,topo
644,0,-240,0,90,1,topo
707,0,-177,0,90,1,topo
734,0,-151,0,90,1,topo
773,0,-122,0,90,1,topo
801,0,-101,0,90,1,topo
840,0,-78,0,90,1,topo
893,0,-51,0,90,1,topo
932,0,-27,0,90,1,topo
967,0,-23,0,90,1,topo
1020,0,-21,0,90,1,topo
1056,0,-21,0,90,1,topo
1094,0,-16,0,90,1,topo
1135,0,-16,0,90,1,topo
1180,0,-11,0,90,1,topo
1195,0,-3,0,90,1,topo
1207,0,0,0,90,1,topo
1217,0,-17,0,90,1,topo
1235,0,-44,0,90,1,topo
1251,0,-72,0,90,1,topo
1260,0,-95,0,90,1,topo
1272,0,-112,0,90,1,topo
1288,0,-126,0,90,1,topo
1307,0,-140,0,90,1,topo
0,0,-957,0,90,1,BazhuluFm
52,0,-843,0,90,1,BazhuluFm
83,0,-768,0,90,1,BazhuluFm
111,0,-711,0,90,1,BazhuluFm
140,0,-638,0,90,1,BazhuluFm
168,0,-585,0,90,1,BazhuluFm
191,0,-524,0,90,1,BazhuluFm
222,0,-463,0,90,1,BazhuluFm
253,0,-401,0,90,1,BazhuluFm
283,0,-354,0,90,1,BazhuluFm
309,0,-303,0,90,1,BazhuluFm
330,0,-258,0,90,1,BazhuluFm
606,0,-1247,0,90,1,UpperHuakaizuoFm
614,0,-1207,0,90,1,UpperHuakaizuoFm
622,0,-1156,0,90,1,UpperHuakaizuoFm
646,0,-1090,0,90,1,UpperHuakaizuoFm
666,0,-1023,0,90,1,UpperHuakaizuoFm
687,0,-961,0,90,1,UpperHuakaizuoFm
709,0,-907,0,90,1,UpperHuakaizuoFm
721,0,-859,0,90,1,UpperHuakaizuoFm
723,0,-815,0,90,1,UpperHuakaizuoFm
730,0,-754,0,90,1,UpperHuakaizuoFm
725,0,-699,0,90,1,UpperHuakaizuoFm
735,0,-654,0,90,1,UpperHuakaizuoFm
779,0,-548,0,90,1,UpperHuakaizuoFm
796,0,-470,0,90,1,UpperHuakaizuoFm
812,0,-391,0,90,1,UpperHuakaizuoFm
831,0,-324,0,90,1,UpperHuakaizuoFm
845,0,-252,0,90,1,UpperHuakaizuoFm
871,0,-182,0,90,1,UpperHuakaizuoFm
882,0,-120,0,90,1,UpperHuakaizuoFm
895,0,-92,0,90,1,UpperHuakaizuoFm
905,0,-58,0,90,1,UpperHuakaizuoFm
275,0,-1219,0,90,1,LowerHuakaizuoFm
293,0,-1173,0,90,1,LowerHuakaizuoFm
308,0,-1124,0,90,1,LowerHuakaizuoFm
345,0,-1028,0,90,1,LowerHuakaizuoFm
380,0,-967,0,90,1,LowerHuakaizuoFm
407,0,-891,0,90,1,LowerHuakaizuoFm
434,0,-819,0,90,1,LowerHuakaizuoFm
443,0,-775,0,90,1,LowerHuakaizuoFm
468,0,-704,0,90,1,LowerHuakaizuoFm
483,0,-652,0,90,1,LowerHuakaizuoFm
498,0,-602,0,90,1,LowerHuakaizuoFm
511,0,-551,0,90,1,LowerHuakaizuoFm
536,0,-498,0,90,1,LowerHuakaizuoFm
559,0,-453,0,90,1,LowerHuakaizuoFm
574,0,-405,0,90,1,LowerHuakaizuoFm
587,0,-365,0,90,1,LowerHuakaizuoFm
591,0,-336,0,90,1,LowerHuakaizuoFm
605,0,-331,0,90,1,LowerHuakaizuoFm
630,0,-333,0,90,1,LowerHuakaizuoFm
639,0,-356,0,90,1,LowerHuakaizuoFm
653,0,-377,0,90,1,LowerHuakaizuoFm
666,0,-402,0,90,1,LowerHuakaizuoFm
675,0,-446,0,90,1,LowerHuakaizuoFm
675,0,-483,0,90,1,LowerHuakaizuoFm
675,0,-520,0,90,1,LowerHuakaizuoFm
673,0,-554,0,90,1,LowerHuakaizuoFm
683,0,-591,0,90,1,LowerHuakaizuoFm
683,0,-635,0,90,1,LowerHuakaizuoFm
670,0,-694,0,90,1,LowerHuakaizuoFm
662,0,-723,0,90,1,LowerHuakaizuoFm
643,0,-764,0,90,1,LowerHuakaizuoFm
631,0,-811,0,90,1,LowerHuakaizuoFm
613,0,-873,0,90,1,LowerHuakaizuoFm
604,0,-923,0,90,1,LowerHuakaizuoFm
587,0,-977,0,90,1,LowerHuakaizuoFm
