X,Y,Z,formation
744,0,-1387,LowerHuakaizuoFm
762,0,-1341,LowerHuakaizuoFm
777,0,-1292,LowerHuakaizuoFm
814,0,-1196,LowerHuakaizuoFm
849,0,-1135,LowerHuakaizuoFm
876,0,-1059,LowerHuakaizuoFm
903,0,-987,LowerHuakaizuoFm
912,0,-943,LowerHuakaizuoFm
937,0,-872,LowerHuakaizuoFm
952,0,-820,LowerHuakaizuoFm
967,0,-770,LowerHuakaizuoFm
980,0,-719,LowerHuakaizuoFm
1005,0,-666,LowerHuakaizuoFm
1028,0,-621,LowerHuakaizuoFm
1043,0,-573,LowerHuakaizuoFm
1056,0,-533,LowerHuakaizuoFm
1060,0,-504,LowerHuakaizuoFm
1074,0,-499,LowerHuakaizuoFm
1099,0,-501,LowerHuakaizuoFm
1108,0,-524,LowerHuakaizuoFm
1122,0,-545,LowerHuakaizuoFm
1135,0,-570,LowerHuakaizuoFm
1144,0,-614,LowerHuakaizuoFm
1144,0,-651,LowerHuakaizuoFm
1144,0,-688,LowerHuakaizuoFm
1142,0,-722,LowerHuakaizuoFm
1152,0,-759,LowerHuakaizuoFm
1152,0,-803,LowerHuakaizuoFm
1139,0,-862,LowerHuakaizuoFm
1131,0,-891,LowerHuakaizuoFm
1112,0,-932,LowerHuakaizuoFm
1100,0,-979,LowerHuakaizuoFm
1082,0,-1041,LowerHuakaizuoFm
1073,0,-1091,LowerHuakaizuoFm
1056,0,-1145,LowerHuakaizuoFm
1041,0,-1193,LowerHuakaizuoFm
1020,0,-1251,LowerHuakaizuoFm
1006,0,-1307,LowerHuakaizuoFm
999,0,-1344,LowerHuakaizuoFm
983,0,-1385,LowerHuakaizuoFm
