X,Y,Z,formation
1075,0,-1415,UpperHuakaizuoFm
1083,0,-1375,UpperHuakaizuoFm
1091,0,-1324,UpperHuakaizuoFm
1115,0,-1258,UpperHuakaizuoFm
1135,0,-1191,UpperHuakaizuoFm
1156,0,-1129,UpperHuakaizuoFm
1178,0,-1075,UpperHuakaizuoFm
1190,0,-1027,UpperHuakaizuoFm
1192,0,-983,UpperHuakaizuoFm
1199,0,-922,UpperHuakaizuoFm
1194,0,-867,UpperHuakaizuoFm
1204,0,-822,UpperHuakaizuoFm
1248,0,-716,UpperHuakaizuoFm
1265,0,-638,UpperHuakaizuoFm
1281,0,-559,UpperHuakaizuoFm
1300,0,-492,UpperHuakaizuoFm
1314,0,-420,UpperHuakaizuoFm
1340,0,-350,UpperHuakaizuoFm
1351,0,-288,UpperHuakaizuoFm
1364,0,-260,UpperHuakaizuoFm
1374,0,-226,UpperHuakaizuoFm
