X,Y,Z,formation
474,0,-278,topo
513,0,-303,topo
585,0,-327,topo
635,0,-348,topo
672,0,-362,topo
720,0,-375,topo
771,0,-381,topo
774,0,-386,topo
804,0,-405,topo
847,0,-431,topo
884,0,-453,topo
913,0,-464,topo
938,0,-443,topo
986,0,-427,topo
1032,0,-422,topo
1083,0,-412,topo
1113,0,-408,topo
1176,0,-345,topo
1203,0,-319,topo
1242,0,-290,topo
1270,0,-269,topo
1309,0,-246,topo
1362,0,-219,topo
1401,0,-195,topo
1436,0,-191,topo
1489,0,-189,topo
1525,0,-189,topo
1563,0,-184,topo
1604,0,-184,topo
1649,0,-179,topo
1664,0,-171,topo
1676,0,-168,topo
1686,0,-185,topo
1704,0,-212,topo
1720,0,-240,topo
1729,0,-263,topo
1741,0,-280,topo
1757,0,-294,topo
1776,0,-308,topo
469,0,-1125,BazhuluFm
521,0,-1011,BazhuluFm
552,0,-936,BazhuluFm
580,0,-879,BazhuluFm
609,0,-806,BazhuluFm
637,0,-753,BazhuluFm
660,0,-692,BazhuluFm
691,0,-631,BazhuluFm
722,0,-569,BazhuluFm
752,0,-522,BazhuluFm
778,0,-471,BazhuluFm
799,0,-426,BazhuluFm
1075,0,-1415,UpperHuakaizuoFm
1083,0,-1375,UpperHuakaizuoFm
1091,0,-1324,UpperHuakaizuoFm
1115,0,-1258,UpperHuakaizuoFm
1135,0,-1191,UpperHuakaizuoFm
1156,0,-1129,UpperHuakaizuoFm
1178,0,-1075,UpperHuakaizuoFm
1190,0,-1027,UpperHuakaizuoFm
1192,0,-983,UpperHuakaizuoFm
1199,0,-922,UpperHuakaizuoFm
1194,0,-867,UpperHuakaizuoFm
1204,0,-822,UpperHuakaizuoFm
1248,0,-716,UpperHuakaizuoFm
1265,0,-638,UpperHuakaizuoFm
1281,0,-559,UpperHuakaizuoFm
1300,0,-492,UpperHuakaizuoFm
1314,0,-420,UpperHuakaizuoFm
1340,0,-350,UpperHuakaizuoFm
1351,0,-288,UpperHuakaizuoFm
1364,0,-260,UpperHuakaizuoFm
1374,0,-226,UpperHuakaizuoFm
744,0,-1387,LowerHuakaizuoFm
762,0,-1341,LowerHuakaizuoFm
777,0,-1292,LowerHuakaizuoFm
814,0,-1196,LowerHuakaizuoFm
849,0,-1135,LowerHuakaizuoFm
876,0,-1059,LowerHuakaizuoFm
903,0,-987,LowerHuakaizuoFm
912,0,-943,LowerHuakaizuoFm
937,0,-872,LowerHuakaizuoFm
952,0,-820,LowerHuakaizuoFm
967,0,-770,LowerHuakaizuoFm
980,0,-719,LowerHuakaizuoFm
1005,0,-666,LowerHuakaizuoFm
1028,0,-621,LowerHuakaizuoFm
1043,0,-573,LowerHuakaizuoFm
1056,0,-533,LowerHuakaizuoFm
1060,0,-504,LowerHuakaizuoFm
1074,0,-499,LowerHuakaizuoFm
1099,0,-501,LowerHuakaizuoFm
1108,0,-524,LowerHuakaizuoFm
1122,0,-545,LowerHuakaizuoFm
1135,0,-570,LowerHuakaizuoFm
1144,0,-614,LowerHuakaizuoFm
1144,0,-651,LowerHuakaizuoFm
1144,0,-688,LowerHuakaizuoFm
1142,0,-722,LowerHuakaizuoFm
1152,0,-759,LowerHuakaizuoFm
1152,0,-803,LowerHuakaizuoFm
1139,0,-862,LowerHuakaizuoFm
1131,0,-891,LowerHuakaizuoFm
1112,0,-932,LowerHuakaizuoFm
1100,0,-979,LowerHuakaizuoFm
1082,0,-1041,LowerHuakaizuoFm
1073,0,-1091,LowerHuakaizuoFm
1056,0,-1145,LowerHuakaizuoFm
1041,0,-1193,LowerHuakaizuoFm
1020,0,-1251,LowerHuakaizuoFm
1006,0,-1307,LowerHuakaizuoFm
999,0,-1344,LowerHuakaizuoFm
983,0,-1385,LowerHuakaizuoFm
1091,0,-1349,Bazhulu2Fm
1129,0,-1324,Bazhulu2Fm
1179,0,-1285,Bazhulu2Fm
1212,0,-1244,Bazhulu2Fm
1255,0,-1187,Bazhulu2Fm
1283,0,-1131,Bazhulu2Fm
1319,0,-1080,Bazhulu2Fm
1373,0,-1041,Bazhulu2Fm
1430,0,-1022,Bazhulu2Fm
1492,0,-1022,Bazhulu2Fm
1523,0,-1031,Bazhulu2Fm
1559,0,-1055,Bazhulu2Fm
1594,0,-1089,Bazhulu2Fm
1626,0,-1128,Bazhulu2Fm
1652,0,-1161,Bazhulu2Fm
1697,0,-1198,Bazhulu2Fm
1708,0,-1219,Bazhulu2Fm
1739,0,-1252,Bazhulu2Fm
1772,0,-1283,Bazhulu2Fm
1167,0,-1420,UpperHuakaizuo2Fm
1208,0,-1390,UpperHuakaizuo2Fm
1248,0,-1380,UpperHuakaizuo2Fm
1275,0,-1346,UpperHuakaizuo2Fm
1314,0,-1316,UpperHuakaizuo2Fm
1362,0,-1287,UpperHuakaizuo2Fm
1408,0,-1256,UpperHuakaizuo2Fm
1461,0,-1265,UpperHuakaizuo2Fm
1528,0,-1278,UpperHuakaizuo2Fm
1573,0,-1303,UpperHuakaizuo2Fm
1619,0,-1339,UpperHuakaizuo2Fm
1669,0,-1357,UpperHuakaizuo2Fm
1693,0,-1381,UpperHuakaizuo2Fm
1736,0,-1395,UpperHuakaizuo2Fm
1769,0,-1425,UpperHuakaizuo2Fm
