X,Y,Z,formation
474,0,-278,topo
513,0,-303,topo
585,0,-327,topo
635,0,-348,topo
672,0,-362,topo
720,0,-375,topo
771,0,-381,topo
774,0,-386,topo
804,0,-405,topo
847,0,-431,topo
884,0,-453,topo
913,0,-464,topo
938,0,-443,topo
986,0,-427,topo
1032,0,-422,topo
1083,0,-412,topo
1113,0,-408,topo
1176,0,-345,topo
1203,0,-319,topo
1242,0,-290,topo
1270,0,-269,topo
1309,0,-246,topo
1362,0,-219,topo
1401,0,-195,topo
1436,0,-191,topo
1489,0,-189,topo
1525,0,-189,topo
1563,0,-184,topo
1604,0,-184,topo
1649,0,-179,topo
1664,0,-171,topo
1676,0,-168,topo
1686,0,-185,topo
1704,0,-212,topo
1720,0,-240,topo
1729,0,-263,topo
1741,0,-280,topo
1757,0,-294,topo
1776,0,-308,topo
