X,Y,Z,formation
13.07,5.0,-1243.93,4.0
13.07,5.0,-1217.79,4.0
13.07,5.0,-1191.65,4.0
13.07,5.0,-1165.51,4.0
13.07,5.0,-1139.3700000000001,4.0
13.07,5.0,-1113.23,4.0
13.07,5.0,-1087.0900000000001,4.0
13.07,5.0,-1060.95,4.0
13.07,5.0,-1034.81,4.0
13.07,5.0,-1008.6700000000001,4.0
13.07,5.0,-982.53,4.0
13.07,5.0,-956.3900000000001,4.0
13.07,5.0,-930.25,4.0
13.07,15.0,-1243.93,4.0
13.07,15.0,-1217.79,4.0
13.07,15.0,-1191.65,4.0
13.07,15.0,-1165.51,4.0
13.07,15.0,-1139.3700000000001,4.0
13.07,15.0,-1113.23,4.0
13.07,15.0,-1087.0900000000001,4.0
13.07,15.0,-1060.95,4.0
13.07,15.0,-1034.81,4.0
13.07,15.0,-1008.6700000000001,4.0
13.07,15.0,-982.53,4.0
13.07,15.0,-956.3900000000001,4.0
13.07,15.0,-930.25,4.0
13.07,25.0,-1243.93,4.0
13.07,25.0,-1217.79,4.0
13.07,25.0,-1191.65,4.0
13.07,25.0,-1165.51,4.0
13.07,25.0,-1139.3700000000001,4.0
13.07,25.0,-1113.23,4.0
13.07,25.0,-1087.0900000000001,4.0
13.07,25.0,-1060.95,4.0
13.07,25.0,-1034.81,4.0
13.07,25.0,-1008.6700000000001,4.0
13.07,25.0,-982.53,4.0
13.07,25.0,-956.3900000000001,4.0
13.07,25.0,-930.25,4.0
13.07,35.0,-1243.93,4.0
13.07,35.0,-1217.79,4.0
13.07,35.0,-1191.65,4.0
13.07,35.0,-1165.51,4.0
13.07,35.0,-1139.3700000000001,4.0
13.07,35.0,-1113.23,4.0
13.07,35.0,-1087.0900000000001,4.0
13.07,35.0,-1060.95,4.0
13.07,35.0,-1034.81,4.0
13.07,35.0,-1008.6700000000001,4.0
13.07,35.0,-982.53,4.0
13.07,35.0,-956.3900000000001,4.0
13.07,35.0,-930.25,4.0
13.07,45.0,-1243.93,4.0
13.07,45.0,-1217.79,4.0
13.07,45.0,-1191.65,4.0
13.07,45.0,-1165.51,4.0
13.07,45.0,-1139.3700000000001,4.0
13.07,45.0,-1113.23,4.0
13.07,45.0,-1087.0900000000001,4.0
13.07,45.0,-1060.95,4.0
13.07,45.0,-1034.81,4.0
13.07,45.0,-1008.6700000000001,4.0
13.07,45.0,-982.53,4.0
13.07,45.0,-956.3900000000001,4.0
13.07,45.0,-930.25,4.0
13.07,55.0,-1243.93,4.0
13.07,55.0,-1217.79,4.0
13.07,55.0,-1191.65,4.0
13.07,55.0,-1165.51,4.0
13.07,55.0,-1139.3700000000001,4.0
13.07,55.0,-1113.23,4.0
13.07,55.0,-1087.0900000000001,4.0
13.07,55.0,-1060.95,4.0
13.07,55.0,-1034.81,4.0
13.07,55.0,-1008.6700000000001,4.0
13.07,55.0,-982.53,4.0
13.07,55.0,-956.3900000000001,4.0
13.07,55.0,-930.25,4.0
13.07,65.0,-1243.93,4.0
13.07,65.0,-1217.79,4.0
13.07,65.0,-1191.65,4.0
13.07,65.0,-1165.51,4.0
13.07,65.0,-1139.3700000000001,4.0
13.07,65.0,-1113.23,4.0
13.07,65.0,-1087.0900000000001,4.0
13.07,65.0,-1060.95,4.0
13.07,65.0,-1034.81,4.0
13.07,65.0,-1008.6700000000001,4.0
13.07,65.0,-982.53,4.0
13.07,65.0,-956.3900000000001,4.0
13.07,65.0,-930.25,4.0
13.07,75.0,-1243.93,4.0
13.07,75.0,-1217.79,4.0
13.07,75.0,-1191.65,4.0
13.07,75.0,-1165.51,4.0
13.07,75.0,-1139.3700000000001,4.0
13.07,75.0,-1113.23,4.0
13.07,75.0,-1087.0900000000001,4.0
13.07,75.0,-1060.95,4.0
13.07,75.0,-1034.81,4.0
13.07,75.0,-1008.6700000000001,4.0
13.07,75.0,-982.53,4.0
13.07,75.0,-956.3900000000001,4.0
13.07,75.0,-930.25,4.0
13.07,85.0,-1243.93,4.0
13.07,85.0,-1217.79,4.0
13.07,85.0,-1191.65,4.0
13.07,85.0,-1165.51,4.0
13.07,85.0,-1139.3700000000001,4.0
13.07,85.0,-1113.23,4.0
13.07,85.0,-1087.0900000000001,4.0
13.07,85.0,-1060.95,4.0
13.07,85.0,-1034.81,4.0
13.07,85.0,-1008.6700000000001,4.0
13.07,85.0,-982.53,4.0
13.07,85.0,-956.3900000000001,4.0
13.07,85.0,-930.25,4.0
13.07,95.0,-1243.93,4.0
13.07,95.0,-1217.79,4.0
13.07,95.0,-1191.65,4.0
13.07,95.0,-1165.51,4.0
13.07,95.0,-1139.3700000000001,4.0
13.07,95.0,-1113.23,4.0
13.07,95.0,-1087.0900000000001,4.0
13.07,95.0,-1060.95,4.0
13.07,95.0,-1034.81,4.0
13.07,95.0,-1008.6700000000001,4.0
13.07,95.0,-982.53,4.0
13.07,95.0,-956.3900000000001,4.0
13.07,95.0,-930.25,4.0
13.07,105.0,-1243.93,4.0
13.07,105.0,-1217.79,4.0
13.07,105.0,-1191.65,4.0
13.07,105.0,-1165.51,4.0
13.07,105.0,-1139.3700000000001,4.0
13.07,105.0,-1113.23,4.0
13.07,105.0,-1087.0900000000001,4.0
13.07,105.0,-1060.95,4.0
13.07,105.0,-1034.81,4.0
13.07,105.0,-1008.6700000000001,4.0
13.07,105.0,-982.53,4.0
13.07,105.0,-956.3900000000001,4.0
13.07,115.0,-1243.93,4.0
13.07,115.0,-1217.79,4.0
13.07,115.0,-1191.65,4.0
13.07,115.0,-1165.51,4.0
13.07,115.0,-1139.3700000000001,4.0
13.07,115.0,-1113.23,4.0
13.07,115.0,-1087.0900000000001,4.0
13.07,115.0,-1060.95,4.0
13.07,115.0,-1034.81,4.0
13.07,115.0,-1008.6700000000001,4.0
13.07,115.0,-982.53,4.0
13.07,115.0,-956.3900000000001,4.0
13.07,125.0,-1243.93,4.0
13.07,125.0,-1217.79,4.0
13.07,125.0,-1191.65,4.0
13.07,125.0,-1165.51,4.0
13.07,125.0,-1139.3700000000001,4.0
13.07,125.0,-1113.23,4.0
13.07,125.0,-1087.0900000000001,4.0
13.07,125.0,-1060.95,4.0
13.07,125.0,-1034.81,4.0
13.07,125.0,-1008.6700000000001,4.0
13.07,125.0,-982.53,4.0
13.07,125.0,-956.3900000000001,4.0
13.07,135.0,-1243.93,4.0
13.07,135.0,-1217.79,4.0
13.07,135.0,-1191.65,4.0
13.07,135.0,-1165.51,4.0
13.07,135.0,-1139.3700000000001,4.0
13.07,135.0,-1113.23,4.0
13.07,135.0,-1087.0900000000001,4.0
