X,Y,Z,formation
588.1500000000001,95.0,-1243.93,6.0
588.1500000000001,105.0,-1243.93,6.0
588.1500000000001,115.0,-1243.93,6.0
588.1500000000001,125.0,-1243.93,6.0
588.1500000000001,135.0,-1243.93,6.0
588.1500000000001,145.0,-1243.93,6.0
588.1500000000001,155.0,-1243.93,6.0
588.1500000000001,165.0,-1243.93,6.0
588.1500000000001,175.0,-1243.93,6.0
588.1500000000001,185.0,-1243.93,6.0
588.1500000000001,195.0,-1243.93,6.0
588.1500000000001,205.0,-1243.93,6.0
588.1500000000001,215.0,-1243.93,6.0
588.1500000000001,225.0,-1243.93,6.0
588.1500000000001,235.0,-1243.93,6.0
588.1500000000001,245.0,-1243.93,6.0
588.1500000000001,255.0,-1243.93,6.0
588.1500000000001,265.0,-1243.93,6.0
614.2900000000002,35.0,-1243.93,6.0
614.2900000000002,45.0,-1243.93,6.0
614.2900000000002,55.0,-1243.93,6.0
614.2900000000002,65.0,-1243.93,6.0
614.2900000000002,75.0,-1243.93,6.0
614.2900000000002,75.0,-1217.79,6.0
614.2900000000002,85.0,-1243.93,6.0
614.2900000000002,85.0,-1217.79,6.0
614.2900000000002,95.0,-1243.93,6.0
614.2900000000002,95.0,-1217.79,6.0
614.2900000000002,105.0,-1243.93,6.0
614.2900000000002,105.0,-1217.79,6.0
614.2900000000002,115.0,-1243.93,6.0
614.2900000000002,115.0,-1217.79,6.0
614.2900000000002,125.0,-1243.93,6.0
614.2900000000002,125.0,-1217.79,6.0
614.2900000000002,135.0,-1243.93,6.0
614.2900000000002,135.0,-1217.79,6.0
614.2900000000002,145.0,-1243.93,6.0
614.2900000000002,145.0,-1217.79,6.0
614.2900000000002,155.0,-1243.93,6.0
614.2900000000002,155.0,-1217.79,6.0
614.2900000000002,165.0,-1243.93,6.0
614.2900000000002,165.0,-1217.79,6.0
614.2900000000002,175.0,-1243.93,6.0
614.2900000000002,175.0,-1217.79,6.0
614.2900000000002,185.0,-1243.93,6.0
614.2900000000002,185.0,-1217.79,6.0
614.2900000000002,195.0,-1243.93,6.0
614.2900000000002,195.0,-1217.79,6.0
614.2900000000002,205.0,-1243.93,6.0
614.2900000000002,205.0,-1217.79,6.0
614.2900000000002,215.0,-1243.93,6.0
614.2900000000002,215.0,-1217.79,6.0
