X,Y,Z,formation
0,0,-45,topo
36,0,-45,topo
59,0,-40,topo
110,0,-39,topo
204,0,-42,topo
259,0,-51,topo
321,0,-51,topo
384,0,-56,topo
435,0,-59,topo
473,0,-57,topo
519,0,-57,topo
564,0,-64,topo
611,0,-68,topo
682,0,-66,topo
733,0,-65,topo
803,0,-65,topo
856,0,-66,topo
915,0,-64,topo
964,0,-60,topo
998,0,-52,topo
1057,0,-52,topo
1086,0,-55,topo
1115,0,-60,topo
1163,0,-60,topo
1207,0,-56,topo
1292,0,-54,topo
1339,0,-51,topo
1420,0,-54,topo
1503,0,-62,topo
1554,0,-61,topo
1626,0,-62,topo
1702,0,-67,topo
1780,0,-69,topo
1785,0,-68,topo
1843,0,-62,topo
1876,0,-61,topo
1912,0,-62,topo
794,0,-244,talvivaarashales
795,0,-231,talvivaarashales
799,0,-230,talvivaarashales
820,0,-235,talvivaarashales
862,0,-261,talvivaarashales
889,0,-285,talvivaarashales
921,0,-305,talvivaarashales
942,0,-314,talvivaarashales
957,0,-314,talvivaarashales
957,0,-299,talvivaarashales
932,0,-263,talvivaarashales
898,0,-230,talvivaarashales
859,0,-197,talvivaarashales
845,0,-180,talvivaarashales
843,0,-154,talvivaarashales
864,0,-139,talvivaarashales
888,0,-158,talvivaarashales
904,0,-182,talvivaarashales
926,0,-195,talvivaarashales
966,0,-191,talvivaarashales
1013,0,-190,talvivaarashales
1063,0,-185,talvivaarashales
1112,0,-172,talvivaarashales
1166,0,-161,talvivaarashales
1213,0,-152,talvivaarashales
1268,0,-152,talvivaarashales
1346,0,-160,talvivaarashales
1426,0,-165,talvivaarashales
1491,0,-162,talvivaarashales
1517,0,-158,talvivaarashales
1523,0,-149,talvivaarashales
1480,0,-146,talvivaarashales
1413,0,-146,talvivaarashales
1361,0,-141,talvivaarashales
1305,0,-129,talvivaarashales
1261,0,-119,talvivaarashales
1220,0,-110,talvivaarashales
1185,0,-106,talvivaarashales
1148,0,-106,talvivaarashales
1119,0,-112,talvivaarashales
1086,0,-116,talvivaarashales
1060,0,-119,talvivaarashales
1036,0,-117,talvivaarashales
1009,0,-97,talvivaarashales
984,0,-82,talvivaarashales
959,0,-63,talvivaarashales
1108,0,-15,metaturbiticgreywackeshale
1125,0,-35,metaturbiticgreywackeshale
1159,0,-68,metaturbiticgreywackeshale
1213,0,-87,metaturbiticgreywackeshale
1287,0,-108,metaturbiticgreywackeshale
1332,0,-111,metaturbiticgreywackeshale
1386,0,-117,metaturbiticgreywackeshale
1450,0,-116,metaturbiticgreywackeshale
1517,0,-113,metaturbiticgreywackeshale
1566,0,-104,metaturbiticgreywackeshale
1604,0,-103,metaturbiticgreywackeshale
1652,0,-91,metaturbiticgreywackeshale
1687,0,-79,metaturbiticgreywackeshale
1713,0,-59,metaturbiticgreywackeshale
1739,0,-43,metaturbiticgreywackeshale
1761,0,-41,metaturbiticgreywackeshale
1784,0,-48,metaturbiticgreywackeshale
1806,0,-60,metaturbiticgreywackeshale
1850,0,-81,metaturbiticgreywackeshale
1895,0,-102,metaturbiticgreywackeshale
1928,0,-118,metaturbiticgreywackeshale
1949,0,-126,metaturbiticgreywackeshale
957,0,-37,sulfidic-graphiticmetawacke&shale
987,0,-62,sulfidic-graphiticmetawacke&shale
1013,0,-76,sulfidic-graphiticmetawacke&shale
1057,0,-90,sulfidic-graphiticmetawacke&shale
1106,0,-97,sulfidic-graphiticmetawacke&shale
1158,0,-98,sulfidic-graphiticmetawacke&shale
1195,0,-105,sulfidic-graphiticmetawacke&shale
