X,Y,Z,formation
60,255,-44.5,topo
140,455,-44.5,topo
1900,225,-62.5,topo
500,265,-53.5,topo
1900,435,-53.5,topo
1540,175,-53.5,topo
860,235,-53.5,topo
980,445,-53.5,topo
1740,395,-53.5,topo
860,345,-53.5,topo
1020,105,-53.5,topo
180,125,-35.5,topo
1820,495,-53.5,topo
260,355,-44.5,topo
1980,205,-53.5,topo
140,355,-44.5,topo
860,375,-53.5,topo
1660,205,-62.5,topo
540,495,-53.5,topo
1380,45,-44.5,topo
20,135,-35.5,topo
580,305,-53.5,topo
500,175,-53.5,topo
780,365,-53.5,topo
1140,485,-53.5,topo
220,35,-35.5,topo
20,275,-44.5,topo
1900,495,-53.5,topo
620,245,-62.5,topo
1660,435,-53.5,topo
140,105,-35.5,topo
1140,45,-53.5,topo
1820,395,-53.5,topo
1420,275,-53.5,topo
20,255,-44.5,topo
1420,335,-53.5,topo
1140,475,-53.5,topo
380,195,-53.5,topo
1580,45,-53.5,topo
1860,405,-53.5,topo
500,165,-53.5,topo
420,415,-53.5,topo
860,205,-62.5,topo
1380,75,-44.5,topo
1260,485,-53.5,topo
1980,95,-53.5,topo
1220,305,-53.5,topo
860,455,-53.5,topo
1460,5,-53.5,topo
300,145,-44.5,topo
420,465,-53.5,topo
940,215,-53.5,topo
900,185,-53.5,topo
180,135,-35.5,topo
1980,495,-53.5,topo
1260,475,-53.5,topo
1620,285,-53.5,topo
500,215,-53.5,topo
1220,445,-53.5,topo
60,245,-35.5,topo
540,145,-53.5,topo
260,235,-44.5,topo
1740,415,-53.5,topo
420,85,-53.5,topo
500,375,-53.5,topo
1660,205,-62.5,topo
1180,215,-53.5,topo
940,275,-53.5,topo
340,325,-44.5,topo
1900,25,-53.5,topo
340,275,-44.5,topo
260,135,-44.5,topo
820,35,-62.5,topo
940,155,-53.5,topo
220,25,-35.5,topo
1340,285,-53.5,topo
1380,5,-44.5,topo
860,365,-53.5,topo
500,125,-53.5,topo
60,55,-35.5,topo
820,335,-53.5,topo
820,365,-53.5,topo
1580,275,-53.5,topo
860,245,-53.5,topo
1020,485,-53.5,topo
1460,385,-53.5,topo
