X,Y,Z,dip,azimuth,polarity,formation,section
0,0,-45,0,90,1,topo,grades
59,0,-40,0,90,1,topo,grades
204,0,-42,0,90,1,topo,grades
321,0,-51,0,90,1,topo,grades
435,0,-59,0,90,1,topo,grades
519,0,-57,0,90,1,topo,grades
611,0,-68,0,90,1,topo,grades
733,0,-65,0,90,1,topo,grades
856,0,-66,0,90,1,topo,grades
964,0,-60,0,90,1,topo,grades
1057,0,-52,0,90,1,topo,grades
1115,0,-60,0,90,1,topo,grades
1207,0,-56,0,90,1,topo,grades
1339,0,-51,0,90,1,topo,grades
1503,0,-62,0,90,1,topo,grades
1626,0,-62,0,90,1,topo,grades
1780,0,-69,0,90,1,topo,grades
1843,0,-62,0,90,1,topo,grades
1912,0,-62,0,90,1,topo,grades
794,0,-244,40,90,1,talvivaarashales,grades
799,0,-230,50,90,1,talvivaarashales,grades
862,0,-261,50,90,1,talvivaarashales,grades
921,0,-305,50,90,1,talvivaarashales,grades
957,0,-314,-130,90,1,talvivaarashales,grades
932,0,-263,-120,90,1,talvivaarashales,grades
859,0,-197,-120,90,1,talvivaarashales,grades
843,0,-154,-30,90,1,talvivaarashales,grades
888,0,-158,30,90,1,talvivaarashales,grades
926,0,-195,40,90,1,talvivaarashales,grades
1013,0,-190,-30,90,1,talvivaarashales,grades
1112,0,-172,0,90,1,talvivaarashales,grades
1213,0,-152,0,90,1,talvivaarashales,grades
1346,0,-160,0,90,1,talvivaarashales,grades
1491,0,-162,0,90,1,talvivaarashales,grades
1523,0,-149,-170,90,1,talvivaarashales,grades
1413,0,-146,-170,90,1,talvivaarashales,grades
1305,0,-129,-180,90,1,talvivaarashales,grades
1220,0,-110,-180,90,1,talvivaarashales,grades
1148,0,-106,-180,90,1,talvivaarashales,grades
1086,0,-116,-180,90,1,talvivaarashales,grades
1036,0,-117,-140,90,1,talvivaarashales,grades
984,0,-82,-150,90,1,talvivaarashales,grades
959,0,-63,-150,90,1,talvivaarashales,grades
1108,0,-15,40,90,1,metaturbiticgreywackeshale,grades
1159,0,-68,30,90,1,metaturbiticgreywackeshale,grades
1287,0,-108,20,90,1,metaturbiticgreywackeshale,grades
1386,0,-117,10,90,1,metaturbiticgreywackeshale,grades
1517,0,-113,0,90,1,metaturbiticgreywackeshale,grades
1604,0,-103,-10,90,1,metaturbiticgreywackeshale,grades
1687,0,-79,-20,90,1,metaturbiticgreywackeshale,grades
1739,0,-43,-30,90,1,metaturbiticgreywackeshale,grades
1784,0,-48,40,90,1,metaturbiticgreywackeshale,grades
1850,0,-81,40,90,1,metaturbiticgreywackeshale,grades
1928,0,-118,40,90,1,metaturbiticgreywackeshale,grades
957,0,-37,40,90,1,sulfidic-graphiticmetawacke&shale,grades
1013,0,-76,30,90,1,sulfidic-graphiticmetawacke&shale,grades
1106,0,-97,20,90,1,sulfidic-graphiticmetawacke&shale,grades
1195,0,-105,20,90,1,sulfidic-graphiticmetawacke&shale,grades
1261,0,-117,10,90,1,sulfidic-graphiticmetawacke&shale,grades
1336,0,-137,10,90,1,sulfidic-graphiticmetawacke&shale,grades
1454,0,-145,0,90,1,sulfidic-graphiticmetawacke&shale,grades
1550,0,-145,0,90,1,sulfidic-graphiticmetawacke&shale,grades
1663,0,-146,-20,90,1,sulfidic-graphiticmetawacke&shale,grades
1723,0,-115,-10,90,1,sulfidic-graphiticmetawacke&shale,grades
1809,0,-109,10,90,1,sulfidic-graphiticmetawacke&shale,grades
1871,0,-150,30,90,1,sulfidic-graphiticmetawacke&shale,grades
1924,0,-180,40,90,1,sulfidic-graphiticmetawacke&shale,grades
608,0,-59,80,90,1,footwall_quartzwacke,grades
655,0,-118,80,90,1,footwall_quartzwacke,grades
712,0,-183,80,90,1,footwall_quartzwacke,grades
807,0,-264,60,90,1,footwall_quartzwacke,grades
910,0,-334,30,90,1,footwall_quartzwacke,grades
1123,0,-352,10,90,1,footwall_quartzwacke,grades
1449,0,-357,-20,90,1,footwall_quartzwacke,grades
1687,0,-293,-30,90,1,footwall_quartzwacke,grades
1895,0,-293,0,90,1,footwall_quartzwacke,grades
485,0,-20,50,90,1,micaschist,grades
512,0,-70,50,90,1,micaschist,grades
592,0,-120,50,90,1,micaschist,grades
660,0,-184,50,90,1,micaschist,grades
740,0,-257,60,90,1,micaschist,grades
766,0,-284,70,90,1,micaschist,grades
412,0,0,80,90,1,quartzite,grades
441,0,-71,80,90,1,quartzite,grades
472,0,-133,80,90,1,quartzite,grades
509,0,-207,80,90,1,quartzite,grades
546,0,-274,80,90,1,quartzite,grades
251,0,-4,80,90,1,arkosite,grades
279,0,-72,80,90,1,arkosite,grades
316,0,-149,80,90,1,arkosite,grades
369,0,-243,80,90,1,arkosite,grades
108,0,-6,70,90,1,quartzite2,grades
130,0,-66,80,90,1,quartzite2,grades
145,0,-149,85,90,1,quartzite2,grades
3,0,-119,180,90,1,lowererosion,grades
50,0,-138,180,90,1,lowererosion,grades
228,0,-186,180,90,1,lowererosion,grades
576,0,-254,180,90,1,lowererosion,grades
852,0,-327,180,90,1,lowererosion,grades
1019,0,-347,180,90,1,lowererosion,grades
1244,0,-331,180,90,1,lowererosion,grades
1470,0,-272,180,90,1,lowererosion,grades
1686,0,-234,180,90,1,lowererosion,grades
1863,0,-213,180,90,1,lowererosion,grades
1990,0,-213,180,90,1,lowererosion,grades
