X,Y,Z,grade_value,grade
698,0,-72,0.072784315771095,over0.07%Ni
699,0,-101,0.0884481494772477,over0.07%Ni
706,0,-116,0.0715600363797308,over0.07%Ni
722,0,-133,0.0855286699370361,over0.07%Ni
732,0,-153,0.0765470768061723,over0.07%Ni
740,0,-166,0.07777653628461,over0.07%Ni
751,0,-183,0.0876684110622602,over0.07%Ni
787,0,-200,0.0753733465102919,over0.07%Ni
833,0,-214,0.0723766141311767,over0.07%Ni
850,0,-225,0.0856243869832545,over0.07%Ni
880,0,-251,0.0764570821701474,over0.07%Ni
905,0,-276,0.089954563643764,over0.07%Ni
925,0,-289,0.0856175171383311,over0.07%Ni
942,0,-302,0.0769896463109325,over0.07%Ni
887,0,-247,0.0791186691980268,over0.07%Ni
866,0,-223,0.0760137170751779,over0.07%Ni
836,0,-183,0.081402349183356,over0.07%Ni
824,0,-162,0.0774628296141339,over0.07%Ni
795,0,-130,0.0847458137768406,over0.07%Ni
839,0,-147,0.0851208320041023,over0.07%Ni
848,0,-155,0.0789234942863841,over0.07%Ni
859,0,-145,0.0847134673994501,over0.07%Ni
858,0,-121,0.0889973154562725,over0.07%Ni
862,0,-101,0.0733099959627967,over0.07%Ni
879,0,-129,0.0712508268092343,over0.07%Ni
893,0,-149,0.0745380257878704,over0.07%Ni
907,0,-179,0.080587156524884,over0.07%Ni
932,0,-186,0.0768304738441248,over0.07%Ni
985,0,-182,0.0852775342304021,over0.07%Ni
1050,0,-188,0.0896567765775606,over0.07%Ni
1097,0,-172,0.0868847016921759,over0.07%Ni
1150,0,-164,0.0803500949654513,over0.07%Ni
1211,0,-154,0.083454096516714,over0.07%Ni
1259,0,-155,0.0779431364547515,over0.07%Ni
1315,0,-158,0.0711663441725051,over0.07%Ni
1362,0,-159,0.0768124927544819,over0.07%Ni
1430,0,-156,0.0723740334636436,over0.07%Ni
1503,0,-152,0.0742709728839804,over0.07%Ni
1426,0,-151,0.0867796833093687,over0.07%Ni
1374,0,-159,0.0730700734256782,over0.07%Ni
1496,0,-152,0.0827671336522074,over0.07%Ni
1521,0,-150,0.0847269481535764,over0.07%Ni
1181,0,-106,0.0741832488629136,over0.07%Ni
1170,0,-112,0.0882376979874271,over0.07%Ni
1135,0,-118,0.0748974765171599,over0.07%Ni
1110,0,-120,0.0756556988866131,over0.07%Ni
1070,0,-124,0.0888087116461976,over0.07%Ni
1110,0,-117,0.0808492798743208,over0.07%Ni
1149,0,-107,0.0788819494553664,over0.07%Ni
1193,0,-108,0.0766896883966993,over0.07%Ni
917,0,-72,0.0865702610599487,over0.07%Ni
927,0,-88,0.0858043241775647,over0.07%Ni
940,0,-100,0.0859116048013877,over0.07%Ni
935,0,-84,0.0712626526629907,over0.07%Ni
929,0,-71,0.0831028686406928,over0.07%Ni
916,0,-88,0.0726628445424088,over0.07%Ni
930,0,-100,0.085673543170905,over0.07%Ni
953,0,-118,0.0863272243414196,over0.07%Ni
940,0,-84,0.0722158601647221,over0.07%Ni
915,0,-69,0.0764774206799874,over0.07%Ni
741,0,-115,0.0882157525782857,over0.07%Ni
725,0,-75,0.0832741492061089,over0.07%Ni
763,0,-82,0.0780440545066636,over0.07%Ni
790,0,-106,0.0780402119064201,over0.07%Ni
760,0,-74,0.0757402357597457,over0.07%Ni
800,0,-80,0.0894993316204476,over0.07%Ni
819,0,-69,0.0785081312593964,over0.07%Ni
820,0,-88,0.0811880552948344,over0.07%Ni
841,0,-119,0.0716071616400171,over0.07%Ni
855,0,-136,0.0854604864356994,over0.07%Ni
851,0,-94,0.0874228102463276,over0.07%Ni
877,0,-79,0.0864596887425329,over0.07%Ni
901,0,-116,0.0713179119071214,over0.07%Ni
849,0,-83,0.0815169714232481,over0.07%Ni
833,0,-97,0.0842172872069097,over0.07%Ni
891,0,-72,0.0895037239312217,over0.07%Ni
929,0,-148,0.0859228958632051,over0.07%Ni
918,0,-164,0.0765865776004134,over0.07%Ni
910,0,-146,0.0813559428578559,over0.07%Ni
936,0,-168,0.0711672995455132,over0.07%Ni
977,0,-168,0.0772988122401042,over0.07%Ni
1057,0,-172,0.0863030568526109,over0.07%Ni
1088,0,-173,0.0876939990781607,over0.07%Ni
1028,0,-186,0.0738915696287057,over0.07%Ni
749,0,-117,0.0769033559852467,over0.07%Ni
796,0,-153,0.085234751225707,over0.07%Ni
807,0,-187,0.0762100175758945,over0.07%Ni
824,0,-168,0.0835454784428455,over0.07%Ni
782,0,-168,0.0822017218230684,over0.07%Ni
760,0,-159,0.0888660466578705,over0.07%Ni
724,0,-119,0.0772320388587371,over0.07%Ni
712,0,-85,0.086720293555998,over0.07%Ni
760,0,-78,0.0734616717300772,over0.07%Ni
799,0,-105,0.08806801102554,over0.07%Ni
817,0,-98,0.0836009033105505,over0.07%Ni
817,0,-121,0.0761796138647296,over0.07%Ni
782,0,-84,0.0727935778026554,over0.07%Ni
805,0,-87,0.0726221888756293,over0.07%Ni
673,0,-89,0.0575841688818956,under0.07%Ni
640,0,-78,0.063630873824224,under0.07%Ni
658,0,-104,0.0632037747355737,under0.07%Ni
682,0,-92,0.0575491790887562,under0.07%Ni
683,0,-72,0.0528085079682125,under0.07%Ni
652,0,-72,0.0511619378278919,under0.07%Ni
689,0,-124,0.0529185976892394,under0.07%Ni
