X,Y,Z,grade_value,grade
767,0,-620,0.07278431577109502,over0.07%Ni
768,0,-649,0.08844814947724777,over0.07%Ni
775,0,-664,0.0715600363797308,over0.07%Ni
791,0,-681,0.08552866993703617,over0.07%Ni
801,0,-701,0.07654707680617234,over0.07%Ni
809,0,-714,0.07777653628461004,over0.07%Ni
820,0,-731,0.08766841106226028,over0.07%Ni
856,0,-748,0.07537334651029197,over0.07%Ni
902,0,-762,0.0723766141311767,over0.07%Ni
919,0,-773,0.0856243869832545,over0.07%Ni
949,0,-799,0.07645708217014745,over0.07%Ni
974,0,-824,0.08995456364376406,over0.07%Ni
994,0,-837,0.08561751713833113,over0.07%Ni
1011,0,-850,0.07698964631093258,over0.07%Ni
956,0,-795,0.07911866919802682,over0.07%Ni
935,0,-771,0.07601371707517791,over0.07%Ni
905,0,-731,0.08140234918335605,over0.07%Ni
893,0,-710,0.07746282961413399,over0.07%Ni
864,0,-678,0.08474581377684064,over0.07%Ni
908,0,-695,0.08512083200410236,over0.07%Ni
917,0,-703,0.07892349428638418,over0.07%Ni
928,0,-693,0.08471346739945018,over0.07%Ni
927,0,-669,0.08899731545627254,over0.07%Ni
931,0,-649,0.07330999596279676,over0.07%Ni
948,0,-677,0.0712508268092343,over0.07%Ni
962,0,-697,0.07453802578787043,over0.07%Ni
976,0,-727,0.08058715652488409,over0.07%Ni
1001,0,-734,0.07683047384412485,over0.07%Ni
1054,0,-730,0.08527753423040217,over0.07%Ni
1119,0,-736,0.08965677657756069,over0.07%Ni
1166,0,-720,0.08688470169217594,over0.07%Ni
1219,0,-712,0.08035009496545131,over0.07%Ni
1280,0,-702,0.08345409651671408,over0.07%Ni
1328,0,-703,0.07794313645475152,over0.07%Ni
1384,0,-706,0.07116634417250511,over0.07%Ni
1431,0,-707,0.07681249275448192,over0.07%Ni
1499,0,-704,0.07237403346364367,over0.07%Ni
1572,0,-700,0.0742709728839804,over0.07%Ni
1495,0,-699,0.08677968330936876,over0.07%Ni
1443,0,-707,0.07307007342567828,over0.07%Ni
1565,0,-700,0.08276713365220748,over0.07%Ni
1590,0,-698,0.08472694815357647,over0.07%Ni
1250,0,-654,0.07418324886291365,over0.07%Ni
1239,0,-660,0.08823769798742716,over0.07%Ni
1204,0,-666,0.0748974765171599,over0.07%Ni
1179,0,-668,0.0756556988866131,over0.07%Ni
1139,0,-672,0.08880871164619769,over0.07%Ni
1179,0,-665,0.08084927987432086,over0.07%Ni
1218,0,-655,0.07888194945536647,over0.07%Ni
1262,0,-656,0.07668968839669933,over0.07%Ni
986,0,-620,0.0865702610599487,over0.07%Ni
996,0,-636,0.08580432417756473,over0.07%Ni
1009,0,-648,0.08591160480138778,over0.07%Ni
1004,0,-632,0.07126265266299076,over0.07%Ni
998,0,-619,0.08310286864069287,over0.07%Ni
985,0,-636,0.07266284454240884,over0.07%Ni
999,0,-648,0.08567354317090506,over0.07%Ni
1022,0,-666,0.0863272243414196,over0.07%Ni
1009,0,-632,0.07221586016472217,over0.07%Ni
984,0,-617,0.07647742067998747,over0.07%Ni
810,0,-663,0.08821575257828579,over0.07%Ni
794,0,-623,0.08327414920610895,over0.07%Ni
832,0,-630,0.07804405450666368,over0.07%Ni
859,0,-654,0.07804021190642016,over0.07%Ni
829,0,-622,0.07574023575974574,over0.07%Ni
869,0,-628,0.08949933162044768,over0.07%Ni
888,0,-617,0.07850813125939643,over0.07%Ni
889,0,-636,0.08118805529483449,over0.07%Ni
910,0,-667,0.07160716164001718,over0.07%Ni
924,0,-684,0.08546048643569949,over0.07%Ni
920,0,-642,0.08742281024632768,over0.07%Ni
946,0,-627,0.0864596887425329,over0.07%Ni
970,0,-664,0.0713179119071214,over0.07%Ni
918,0,-631,0.08151697142324817,over0.07%Ni
902,0,-645,0.08421728720690977,over0.07%Ni
960,0,-620,0.08950372393122179,over0.07%Ni
998,0,-696,0.08592289586320516,over0.07%Ni
987,0,-712,0.07658657760041346,over0.07%Ni
979,0,-694,0.08135594285785598,over0.07%Ni
1005,0,-716,0.07116729954551322,over0.07%Ni
1046,0,-716,0.07729881224010426,over0.07%Ni
1126,0,-720,0.08630305685261093,over0.07%Ni
1157,0,-721,0.08769399907816079,over0.07%Ni
1097,0,-734,0.07389156962870572,over0.07%Ni
818,0,-665,0.07690335598524677,over0.07%Ni
865,0,-701,0.08523475122570705,over0.07%Ni
876,0,-735,0.0762100175758945,over0.07%Ni
893,0,-716,0.08354547844284552,over0.07%Ni
851,0,-716,0.08220172182306848,over0.07%Ni
829,0,-707,0.08886604665787054,over0.07%Ni
793,0,-667,0.07723203885873714,over0.07%Ni
781,0,-633,0.08672029355599808,over0.07%Ni
829,0,-626,0.07346167173007723,over0.07%Ni
868,0,-653,0.08806801102554,over0.07%Ni
886,0,-646,0.08360090331055059,over0.07%Ni
886,0,-669,0.07617961386472964,over0.07%Ni
851,0,-632,0.07279357780265548,over0.07%Ni
874,0,-635,0.07262218887562935,over0.07%Ni
