X,Y,Z,grade_value,grade
742,0,-637,0.0575841688818956,under0.07%Ni
709,0,-626,0.06363087382422408,under0.07%Ni
727,0,-652,0.06320377473557372,under0.07%Ni
751,0,-640,0.05754917908875625,under0.07%Ni
752,0,-620,0.05280850796821252,under0.07%Ni
721,0,-620,0.0511619378278919,under0.07%Ni
758,0,-672,0.05291859768923948,under0.07%Ni
767,0,-693,0.06761322940139601,under0.07%Ni
785,0,-700,0.06372033483639059,under0.07%Ni
767,0,-703,0.05874336865758561,under0.07%Ni
794,0,-725,0.050682455373627894,under0.07%Ni
798,0,-719,0.050328646038098446,under0.07%Ni
814,0,-742,0.06031207796818041,under0.07%Ni
835,0,-764,0.05832507221414339,under0.07%Ni
838,0,-752,0.06683086991594006,under0.07%Ni
849,0,-774,0.05912042925907901,under0.07%Ni
859,0,-790,0.05217514824210294,under0.07%Ni
859,0,-759,0.06426935564736633,under0.07%Ni
881,0,-765,0.06399750099785405,under0.07%Ni
892,0,-780,0.06003129921819468,under0.07%Ni
908,0,-773,0.05290055357522733,under0.07%Ni
920,0,-795,0.05516000170660982,under0.07%Ni
939,0,-795,0.053704032735062704,under0.07%Ni
939,0,-814,0.06675460868598417,under0.07%Ni
969,0,-827,0.05189463685396976,under0.07%Ni
953,0,-814,0.06840413672894816,under0.07%Ni
972,0,-834,0.06797637368337713,under0.07%Ni
993,0,-850,0.05563939286255832,under0.07%Ni
1005,0,-862,0.061123120798134735,under0.07%Ni
1019,0,-855,0.06179410149471021,under0.07%Ni
1001,0,-824,0.06413326824319547,under0.07%Ni
986,0,-818,0.05831785745734033,under0.07%Ni
961,0,-794,0.06463868312780241,under0.07%Ni
939,0,-763,0.056278430898479996,under0.07%Ni
920,0,-744,0.06022888368985691,under0.07%Ni
903,0,-722,0.06863987974244347,under0.07%Ni
895,0,-697,0.06166933721252487,under0.07%Ni
905,0,-707,0.054382621536669735,under0.07%Ni
939,0,-718,0.05840922004697273,under0.07%Ni
939,0,-707,0.0523928941057353,under0.07%Ni
872,0,-618,0.06162544234841795,under0.07%Ni
861,0,-618,0.06325982721741445,under0.07%Ni
866,0,-622,0.05749451090089069,under0.07%Ni
875,0,-631,0.053948518322316334,under0.07%Ni
876,0,-621,0.05231999274236928,under0.07%Ni
869,0,-623,0.0675835580446852,under0.07%Ni
970,0,-613,0.053437975592942076,under0.07%Ni
973,0,-637,0.0541734719095815,under0.07%Ni
978,0,-633,0.05633613281847635,under0.07%Ni
994,0,-664,0.06589682229775033,under0.07%Ni
994,0,-658,0.050891528461052785,under0.07%Ni
1016,0,-676,0.05898987727129995,under0.07%Ni
1026,0,-688,0.06418171078976427,under0.07%Ni
1034,0,-661,0.05882628716393899,under0.07%Ni
1023,0,-632,0.053436521472220375,under0.07%Ni
1006,0,-612,0.056481439843319936,under0.07%Ni
1025,0,-611,0.058347806087617256,under0.07%Ni
1048,0,-644,0.05541416733227952,under0.07%Ni
1059,0,-678,0.06519674089141421,under0.07%Ni
1057,0,-653,0.06368152183172086,under0.07%Ni
1059,0,-684,0.05363243960448929,under0.07%Ni
1098,0,-677,0.062187539556882235,under0.07%Ni
1078,0,-668,0.06893631974494221,under0.07%Ni
1083,0,-696,0.06545508062828366,under0.07%Ni
1120,0,-699,0.060159334456728004,under0.07%Ni
1126,0,-681,0.06546449621828618,under0.07%Ni
1106,0,-686,0.058675778925480634,under0.07%Ni
1118,0,-703,0.05676662856976897,under0.07%Ni
1152,0,-697,0.06439255698752457,under0.07%Ni
1150,0,-683,0.06386784861906823,under0.07%Ni
1135,0,-698,0.06753670139894438,under0.07%Ni
1170,0,-696,0.0663340771273536,under0.07%Ni
1215,0,-699,0.05910873869625513,under0.07%Ni
1222,0,-680,0.05177237728946722,under0.07%Ni
1197,0,-687,0.06519755765317066,under0.07%Ni
1231,0,-677,0.06822304320153469,under0.07%Ni
1252,0,-672,0.06224446670039112,under0.07%Ni
1284,0,-670,0.05731819196629821,under0.07%Ni
1316,0,-671,0.06763348427412916,under0.07%Ni
1348,0,-680,0.05221832377280588,under0.07%Ni
1378,0,-687,0.06464495393109927,under0.07%Ni
1411,0,-689,0.057294750732096805,under0.07%Ni
1359,0,-700,0.06721763575280838,under0.07%Ni
1299,0,-700,0.05551253638819872,under0.07%Ni
1272,0,-693,0.05203039951803392,under0.07%Ni
1319,0,-685,0.06448468482865806,under0.07%Ni
1328,0,-672,0.06672157356259459,under0.07%Ni
1269,0,-682,0.05838832942521119,under0.07%Ni
1200,0,-682,0.057599192303380266,under0.07%Ni
1192,0,-692,0.0671576635304256,under0.07%Ni
1244,0,-695,0.061333001820221195,under0.07%Ni
