X,Y,Z,dip,azimuth,polarity,formation,section
0,0,-45,0,90,1,topo,grades
36,0,-45,0,90,1,topo,grades
59,0,-40,0,90,1,topo,grades
110,0,-39,0,90,1,topo,grades
204,0,-42,0,90,1,topo,grades
259,0,-51,0,90,1,topo,grades
321,0,-51,0,90,1,topo,grades
384,0,-56,0,90,1,topo,grades
435,0,-59,0,90,1,topo,grades
473,0,-57,0,90,1,topo,grades
519,0,-57,0,90,1,topo,grades
564,0,-64,0,90,1,topo,grades
611,0,-68,0,90,1,topo,grades
682,0,-66,0,90,1,topo,grades
733,0,-65,0,90,1,topo,grades
803,0,-65,0,90,1,topo,grades
856,0,-66,0,90,1,topo,grades
915,0,-64,0,90,1,topo,grades
964,0,-60,0,90,1,topo,grades
998,0,-52,0,90,1,topo,grades
1057,0,-52,0,90,1,topo,grades
1086,0,-55,0,90,1,topo,grades
1115,0,-60,0,90,1,topo,grades
1163,0,-60,0,90,1,topo,grades
1207,0,-56,0,90,1,topo,grades
1292,0,-54,0,90,1,topo,grades
1339,0,-51,0,90,1,topo,grades
1420,0,-54,0,90,1,topo,grades
1503,0,-62,0,90,1,topo,grades
1554,0,-61,0,90,1,topo,grades
1626,0,-62,0,90,1,topo,grades
1702,0,-67,0,90,1,topo,grades
1780,0,-69,0,90,1,topo,grades
1785,0,-68,0,90,1,topo,grades
1843,0,-62,0,90,1,topo,grades
1876,0,-61,0,90,1,topo,grades
1912,0,-62,0,90,1,topo,grades
794,0,-244,0,90,1,talvivaarashales,grades
795,0,-231,0,90,1,talvivaarashales,grades
799,0,-230,0,90,1,talvivaarashales,grades
820,0,-235,0,90,1,talvivaarashales,grades
862,0,-261,0,90,1,talvivaarashales,grades
889,0,-285,0,90,1,talvivaarashales,grades
921,0,-305,0,90,1,talvivaarashales,grades
942,0,-314,0,90,1,talvivaarashales,grades
957,0,-314,0,90,1,talvivaarashales,grades
957,0,-299,0,90,1,talvivaarashales,grades
932,0,-263,0,90,1,talvivaarashales,grades
898,0,-230,0,90,1,talvivaarashales,grades
859,0,-197,0,90,1,talvivaarashales,grades
845,0,-180,0,90,1,talvivaarashales,grades
843,0,-154,0,90,1,talvivaarashales,grades
864,0,-139,0,90,1,talvivaarashales,grades
888,0,-158,0,90,1,talvivaarashales,grades
904,0,-182,0,90,1,talvivaarashales,grades
926,0,-195,0,90,1,talvivaarashales,grades
966,0,-191,0,90,1,talvivaarashales,grades
1013,0,-190,0,90,1,talvivaarashales,grades
1063,0,-185,0,90,1,talvivaarashales,grades
1112,0,-172,0,90,1,talvivaarashales,grades
1166,0,-161,0,90,1,talvivaarashales,grades
1213,0,-152,0,90,1,talvivaarashales,grades
1268,0,-152,0,90,1,talvivaarashales,grades
1346,0,-160,0,90,1,talvivaarashales,grades
1426,0,-165,0,90,1,talvivaarashales,grades
1491,0,-162,0,90,1,talvivaarashales,grades
1517,0,-158,0,90,1,talvivaarashales,grades
1523,0,-149,0,90,1,talvivaarashales,grades
1480,0,-146,0,90,1,talvivaarashales,grades
1413,0,-146,0,90,1,talvivaarashales,grades
1361,0,-141,0,90,1,talvivaarashales,grades
1305,0,-129,0,90,1,talvivaarashales,grades
1261,0,-119,0,90,1,talvivaarashales,grades
1220,0,-110,0,90,1,talvivaarashales,grades
1185,0,-106,0,90,1,talvivaarashales,grades
1148,0,-106,0,90,1,talvivaarashales,grades
1119,0,-112,0,90,1,talvivaarashales,grades
1086,0,-116,0,90,1,talvivaarashales,grades
1060,0,-119,0,90,1,talvivaarashales,grades
1036,0,-117,0,90,1,talvivaarashales,grades
1009,0,-97,0,90,1,talvivaarashales,grades
984,0,-82,0,90,1,talvivaarashales,grades
959,0,-63,0,90,1,talvivaarashales,grades
1108,0,-15,0,90,1,metaturbitic-greywacke&shale,grades
1125,0,-35,0,90,1,metaturbitic-greywacke&shale,grades
1159,0,-68,0,90,1,metaturbitic-greywacke&shale,grades
1213,0,-87,0,90,1,metaturbitic-greywacke&shale,grades
1287,0,-108,0,90,1,metaturbitic-greywacke&shale,grades
1332,0,-111,0,90,1,metaturbitic-greywacke&shale,grades
1386,0,-117,0,90,1,metaturbitic-greywacke&shale,grades
1450,0,-116,0,90,1,metaturbitic-greywacke&shale,grades
1517,0,-113,0,90,1,metaturbitic-greywacke&shale,grades
1566,0,-104,0,90,1,metaturbitic-greywacke&shale,grades
1604,0,-103,0,90,1,metaturbitic-greywacke&shale,grades
1652,0,-91,0,90,1,metaturbitic-greywacke&shale,grades
1687,0,-79,0,90,1,metaturbitic-greywacke&shale,grades
1713,0,-59,0,90,1,metaturbitic-greywacke&shale,grades
1739,0,-43,0,90,1,metaturbitic-greywacke&shale,grades
1761,0,-41,0,90,1,metaturbitic-greywacke&shale,grades
1784,0,-48,0,90,1,metaturbitic-greywacke&shale,grades
1806,0,-60,0,90,1,metaturbitic-greywacke&shale,grades
1850,0,-81,0,90,1,metaturbitic-greywacke&shale,grades
1895,0,-102,0,90,1,metaturbitic-greywacke&shale,grades
1928,0,-118,0,90,1,metaturbitic-greywacke&shale,grades
1949,0,-126,0,90,1,metaturbitic-greywacke&shale,grades
957,0,-37,0,90,1,sulfidic-graphiticmetawacke&shale,grades
987,0,-62,0,90,1,sulfidic-graphiticmetawacke&shale,grades
1013,0,-76,0,90,1,sulfidic-graphiticmetawacke&shale,grades
1057,0,-90,0,90,1,sulfidic-graphiticmetawacke&shale,grades
1106,0,-97,0,90,1,sulfidic-graphiticmetawacke&shale,grades
1158,0,-98,0,90,1,sulfidic-graphiticmetawacke&shale,grades
1195,0,-105,0,90,1,sulfidic-graphiticmetawacke&shale,grades
1240,0,-117,0,90,1,sulfidic-graphiticmetawacke&shale,grades
1261,0,-117,0,90,1,sulfidic-graphiticmetawacke&shale,grades
