X,Y,Z,formation,section
0,0,-45,topo,grades
36,0,-45,topo,grades
59,0,-40,topo,grades
110,0,-39,topo,grades
204,0,-42,topo,grades
259,0,-51,topo,grades
321,0,-51,topo,grades
384,0,-56,topo,grades
435,0,-59,topo,grades
473,0,-57,topo,grades
519,0,-57,topo,grades
564,0,-64,topo,grades
611,0,-68,topo,grades
682,0,-66,topo,grades
733,0,-65,topo,grades
803,0,-65,topo,grades
856,0,-66,topo,grades
915,0,-64,topo,grades
964,0,-60,topo,grades
998,0,-52,topo,grades
1057,0,-52,topo,grades
1086,0,-55,topo,grades
1115,0,-60,topo,grades
1163,0,-60,topo,grades
1207,0,-56,topo,grades
1292,0,-54,topo,grades
1339,0,-51,topo,grades
1420,0,-54,topo,grades
1503,0,-62,topo,grades
1554,0,-61,topo,grades
1626,0,-62,topo,grades
1702,0,-67,topo,grades
1780,0,-69,topo,grades
1785,0,-68,topo,grades
1843,0,-62,topo,grades
1876,0,-61,topo,grades
1912,0,-62,topo,grades
794,0,-244,talvivaarashales,grades
795,0,-231,talvivaarashales,grades
799,0,-230,talvivaarashales,grades
820,0,-235,talvivaarashales,grades
862,0,-261,talvivaarashales,grades
889,0,-285,talvivaarashales,grades
921,0,-305,talvivaarashales,grades
942,0,-314,talvivaarashales,grades
957,0,-314,talvivaarashales,grades
957,0,-299,talvivaarashales,grades
932,0,-263,talvivaarashales,grades
898,0,-230,talvivaarashales,grades
859,0,-197,talvivaarashales,grades
845,0,-180,talvivaarashales,grades
843,0,-154,talvivaarashales,grades
864,0,-139,talvivaarashales,grades
888,0,-158,talvivaarashales,grades
904,0,-182,talvivaarashales,grades
926,0,-195,talvivaarashales,grades
966,0,-191,talvivaarashales,grades
1013,0,-190,talvivaarashales,grades
1063,0,-185,talvivaarashales,grades
1112,0,-172,talvivaarashales,grades
1166,0,-161,talvivaarashales,grades
1213,0,-152,talvivaarashales,grades
1268,0,-152,talvivaarashales,grades
1346,0,-160,talvivaarashales,grades
1426,0,-165,talvivaarashales,grades
1491,0,-162,talvivaarashales,grades
1517,0,-158,talvivaarashales,grades
1523,0,-149,talvivaarashales,grades
1480,0,-146,talvivaarashales,grades
1413,0,-146,talvivaarashales,grades
1361,0,-141,talvivaarashales,grades
1305,0,-129,talvivaarashales,grades
1261,0,-119,talvivaarashales,grades
1220,0,-110,talvivaarashales,grades
1185,0,-106,talvivaarashales,grades
1148,0,-106,talvivaarashales,grades
1119,0,-112,talvivaarashales,grades
1086,0,-116,talvivaarashales,grades
1060,0,-119,talvivaarashales,grades
1036,0,-117,talvivaarashales,grades
1009,0,-97,talvivaarashales,grades
984,0,-82,talvivaarashales,grades
959,0,-63,talvivaarashales,grades
1108,0,-15,metaturbitic-greywacke&shale,grades
1125,0,-35,metaturbitic-greywacke&shale,grades
1159,0,-68,metaturbitic-greywacke&shale,grades
1213,0,-87,metaturbitic-greywacke&shale,grades
1287,0,-108,metaturbitic-greywacke&shale,grades
1332,0,-111,metaturbitic-greywacke&shale,grades
1386,0,-117,metaturbitic-greywacke&shale,grades
1450,0,-116,metaturbitic-greywacke&shale,grades
1517,0,-113,metaturbitic-greywacke&shale,grades
1566,0,-104,metaturbitic-greywacke&shale,grades
1604,0,-103,metaturbitic-greywacke&shale,grades
1652,0,-91,metaturbitic-greywacke&shale,grades
1687,0,-79,metaturbitic-greywacke&shale,grades
1713,0,-59,metaturbitic-greywacke&shale,grades
1739,0,-43,metaturbitic-greywacke&shale,grades
1761,0,-41,metaturbitic-greywacke&shale,grades
1784,0,-48,metaturbitic-greywacke&shale,grades
1806,0,-60,metaturbitic-greywacke&shale,grades
1850,0,-81,metaturbitic-greywacke&shale,grades
1895,0,-102,metaturbitic-greywacke&shale,grades
1928,0,-118,metaturbitic-greywacke&shale,grades
1949,0,-126,metaturbitic-greywacke&shale,grades
957,0,-37,sulfidic-graphiticmetawacke&shale,grades
987,0,-62,sulfidic-graphiticmetawacke&shale,grades
1013,0,-76,sulfidic-graphiticmetawacke&shale,grades
1057,0,-90,sulfidic-graphiticmetawacke&shale,grades
1106,0,-97,sulfidic-graphiticmetawacke&shale,grades
1158,0,-98,sulfidic-graphiticmetawacke&shale,grades
1195,0,-105,sulfidic-graphiticmetawacke&shale,grades
1240,0,-117,sulfidic-graphiticmetawacke&shale,grades
1261,0,-117,sulfidic-graphiticmetawacke&shale,grades
1289,0,-128,sulfidic-graphiticmetawacke&shale,grades
1336,0,-137,sulfidic-graphiticmetawacke&shale,grades
1388,0,-145,sulfidic-graphiticmetawacke&shale,grades
1454,0,-145,sulfidic-graphiticmetawacke&shale,grades
1493,0,-144,sulfidic-graphiticmetawacke&shale,grades
1550,0,-145,sulfidic-graphiticmetawacke&shale,grades
1600,0,-151,sulfidic-graphiticmetawacke&shale,grades
1663,0,-146,sulfidic-graphiticmetawacke&shale,grades
1686,0,-134,sulfidic-graphiticmetawacke&shale,grades
1723,0,-115,sulfidic-graphiticmetawacke&shale,grades
1758,0,-109,sulfidic-graphiticmetawacke&shale,grades
1809,0,-109,sulfidic-graphiticmetawacke&shale,grades
1836,0,-131,sulfidic-graphiticmetawacke&shale,grades
1871,0,-150,sulfidic-graphiticmetawacke&shale,grades
1901,0,-167,sulfidic-graphiticmetawacke&shale,grades
1924,0,-180,sulfidic-graphiticmetawacke&shale,grades
608,0,-59,footwall_quartzwacke,grades
638,0,-87,footwall_quartzwacke,grades
655,0,-118,footwall_quartzwacke,grades
682,0,-149,footwall_quartzwacke,grades
712,0,-183,footwall_quartzwacke,grades
764,0,-219,footwall_quartzwacke,grades
807,0,-264,footwall_quartzwacke,grades
857,0,-306,footwall_quartzwacke,grades
910,0,-334,footwall_quartzwacke,grades
1001,0,-346,footwall_quartzwacke,grades
1123,0,-352,footwall_quartzwacke,grades
1272,0,-358,footwall_quartzwacke,grades
1449,0,-357,footwall_quartzwacke,grades
1587,0,-335,footwall_quartzwacke,grades
1687,0,-293,footwall_quartzwacke,grades
1801,0,-273,footwall_quartzwacke,grades
1895,0,-293,footwall_quartzwacke,grades
140,0,-28,metapyroxenite-gabbrosill,grades
159,0,-53,metapyroxenite-gabbrosill,grades
159,0,-70,metapyroxenite-gabbrosill,grades
164,0,-86,metapyroxenite-gabbrosill,grades
173,0,-107,metapyroxenite-gabbrosill,grades
173,0,-133,metapyroxenite-gabbrosill,grades
173,0,-161,metapyroxenite-gabbrosill,grades
177,0,-182,metapyroxenite-gabbrosill,grades
210,0,-186,metapyroxenite-gabbrosill,grades
218,0,-171,metapyroxenite-gabbrosill,grades
217,0,-144,metapyroxenite-gabbrosill,grades
211,0,-110,metapyroxenite-gabbrosill,grades
199,0,-87,metapyroxenite-gabbrosill,grades
179,0,-54,metapyroxenite-gabbrosill,grades
166,0,-26,metapyroxenite-gabbrosill,grades
485,0,-20,micaschist,grades
502,0,-40,micaschist,grades
512,0,-70,micaschist,grades
538,0,-92,micaschist,grades
592,0,-120,micaschist,grades
627,0,-153,micaschist,grades
660,0,-184,micaschist,grades
696,0,-218,micaschist,grades
740,0,-257,micaschist,grades
766,0,-284,micaschist,grades
412,0,0,quartzite,grades
434,0,-35,quartzite,grades
441,0,-71,quartzite,grades
454,0,-90,quartzite,grades
472,0,-133,quartzite,grades
489,0,-165,quartzite,grades
509,0,-207,quartzite,grades
527,0,-238,quartzite,grades
546,0,-274,quartzite,grades
251,0,-4,arkosite,grades
268,0,-37,arkosite,grades
279,0,-72,arkosite,grades
297,0,-115,arkosite,grades
316,0,-149,arkosite,grades
338,0,-193,arkosite,grades
369,0,-243,arkosite,grades
108,0,-6,quartzite2,grades
129,0,-36,quartzite2,grades
130,0,-66,quartzite2,grades
118,0,-103,quartzite2,grades
105,0,-149,quartzite2,grades
