X,Y,Z,formation,section
677,0,-607,footwall_quartzwacke,grades
707,0,-635,footwall_quartzwacke,grades
724,0,-666,footwall_quartzwacke,grades
751,0,-697,footwall_quartzwacke,grades
781,0,-731,footwall_quartzwacke,grades
833,0,-767,footwall_quartzwacke,grades
876,0,-812,footwall_quartzwacke,grades
926,0,-854,footwall_quartzwacke,grades
979,0,-882,footwall_quartzwacke,grades
1070,0,-894,footwall_quartzwacke,grades
1192,0,-900,footwall_quartzwacke,grades
1341,0,-906,footwall_quartzwacke,grades
1518,0,-905,footwall_quartzwacke,grades
1656,0,-883,footwall_quartzwacke,grades
1756,0,-841,footwall_quartzwacke,grades
1870,0,-821,footwall_quartzwacke,grades
1964,0,-841,footwall_quartzwacke,grades
