X,Y,Z,formation,section
3,0,-119,lowererosion,grades
50,0,-138,lowererosion,grades
139,0,-162,lowererosion,grades
228,0,-186,lowererosion,grades
412,0,-223,lowererosion,grades
576,0,-254,lowererosion,grades
696,0,-282,lowererosion,grades
852,0,-327,lowererosion,grades
915,0,-335,lowererosion,grades
1019,0,-347,lowererosion,grades
1111,0,-347,lowererosion,grades
1244,0,-331,lowererosion,grades
1351,0,-304,lowererosion,grades
1470,0,-272,lowererosion,grades
1564,0,-254,lowererosion,grades
1686,0,-234,lowererosion,grades
1776,0,-216,lowererosion,grades
1863,0,-213,lowererosion,grades
1927,0,-213,lowererosion,grades
1990,0,-213,lowererosion,grades
