X,Y,Z,formation,section
209,0,-576,metapyroxenite-gabbrosill,grades
228,0,-601,metapyroxenite-gabbrosill,grades
228,0,-618,metapyroxenite-gabbrosill,grades
233,0,-634,metapyroxenite-gabbrosill,grades
242,0,-655,metapyroxenite-gabbrosill,grades
242,0,-681,metapyroxenite-gabbrosill,grades
242,0,-709,metapyroxenite-gabbrosill,grades
246,0,-730,metapyroxenite-gabbrosill,grades
279,0,-734,metapyroxenite-gabbrosill,grades
287,0,-719,metapyroxenite-gabbrosill,grades
286,0,-692,metapyroxenite-gabbrosill,grades
280,0,-658,metapyroxenite-gabbrosill,grades
268,0,-635,metapyroxenite-gabbrosill,grades
248,0,-602,metapyroxenite-gabbrosill,grades
235,0,-574,metapyroxenite-gabbrosill,grades
