X,Y,Z,formation,section
1177,0,-563,metaturbitic-greywacke&shale,grades
1194,0,-583,metaturbitic-greywacke&shale,grades
1228,0,-616,metaturbitic-greywacke&shale,grades
1282,0,-635,metaturbitic-greywacke&shale,grades
1356,0,-656,metaturbitic-greywacke&shale,grades
1401,0,-659,metaturbitic-greywacke&shale,grades
1455,0,-665,metaturbitic-greywacke&shale,grades
1519,0,-664,metaturbitic-greywacke&shale,grades
1586,0,-661,metaturbitic-greywacke&shale,grades
1635,0,-652,metaturbitic-greywacke&shale,grades
1673,0,-651,metaturbitic-greywacke&shale,grades
1721,0,-639,metaturbitic-greywacke&shale,grades
1756,0,-627,metaturbitic-greywacke&shale,grades
1782,0,-607,metaturbitic-greywacke&shale,grades
1808,0,-591,metaturbitic-greywacke&shale,grades
1830,0,-589,metaturbitic-greywacke&shale,grades
1853,0,-596,metaturbitic-greywacke&shale,grades
1875,0,-608,metaturbitic-greywacke&shale,grades
1919,0,-629,metaturbitic-greywacke&shale,grades
1964,0,-650,metaturbitic-greywacke&shale,grades
1997,0,-666,metaturbitic-greywacke&shale,grades
2018,0,-674,metaturbitic-greywacke&shale,grades
