X,Y,Z,formation,section
1026,0,-585,sulfidic-graphiticmetawacke&shale,grades
1056,0,-610,sulfidic-graphiticmetawacke&shale,grades
1082,0,-624,sulfidic-graphiticmetawacke&shale,grades
1126,0,-638,sulfidic-graphiticmetawacke&shale,grades
1175,0,-645,sulfidic-graphiticmetawacke&shale,grades
1227,0,-646,sulfidic-graphiticmetawacke&shale,grades
1264,0,-653,sulfidic-graphiticmetawacke&shale,grades
1309,0,-665,sulfidic-graphiticmetawacke&shale,grades
1330,0,-665,sulfidic-graphiticmetawacke&shale,grades
1358,0,-676,sulfidic-graphiticmetawacke&shale,grades
1405,0,-685,sulfidic-graphiticmetawacke&shale,grades
1457,0,-693,sulfidic-graphiticmetawacke&shale,grades
1523,0,-693,sulfidic-graphiticmetawacke&shale,grades
1562,0,-692,sulfidic-graphiticmetawacke&shale,grades
1619,0,-693,sulfidic-graphiticmetawacke&shale,grades
1669,0,-699,sulfidic-graphiticmetawacke&shale,grades
1732,0,-694,sulfidic-graphiticmetawacke&shale,grades
1755,0,-682,sulfidic-graphiticmetawacke&shale,grades
1792,0,-663,sulfidic-graphiticmetawacke&shale,grades
1827,0,-657,sulfidic-graphiticmetawacke&shale,grades
1878,0,-657,sulfidic-graphiticmetawacke&shale,grades
1905,0,-679,sulfidic-graphiticmetawacke&shale,grades
1940,0,-698,sulfidic-graphiticmetawacke&shale,grades
1970,0,-715,sulfidic-graphiticmetawacke&shale,grades
1993,0,-728,sulfidic-graphiticmetawacke&shale,grades
