X,Y,Z,formation,section
863,0,-792,talvivaarashales,grades
864,0,-779,talvivaarashales,grades
868,0,-778,talvivaarashales,grades
889,0,-783,talvivaarashales,grades
931,0,-809,talvivaarashales,grades
958,0,-833,talvivaarashales,grades
990,0,-853,talvivaarashales,grades
1011,0,-862,talvivaarashales,grades
1026,0,-862,talvivaarashales,grades
1026,0,-847,talvivaarashales,grades
1001,0,-811,talvivaarashales,grades
967,0,-778,talvivaarashales,grades
928,0,-745,talvivaarashales,grades
914,0,-728,talvivaarashales,grades
912,0,-702,talvivaarashales,grades
933,0,-687,talvivaarashales,grades
957,0,-706,talvivaarashales,grades
973,0,-730,talvivaarashales,grades
995,0,-743,talvivaarashales,grades
1035,0,-739,talvivaarashales,grades
1082,0,-738,talvivaarashales,grades
1132,0,-733,talvivaarashales,grades
1181,0,-720,talvivaarashales,grades
1235,0,-709,talvivaarashales,grades
1282,0,-700,talvivaarashales,grades
1337,0,-700,talvivaarashales,grades
1415,0,-708,talvivaarashales,grades
1495,0,-713,talvivaarashales,grades
1560,0,-710,talvivaarashales,grades
1586,0,-706,talvivaarashales,grades
1592,0,-697,talvivaarashales,grades
1549,0,-694,talvivaarashales,grades
1482,0,-694,talvivaarashales,grades
1430,0,-689,talvivaarashales,grades
1374,0,-677,talvivaarashales,grades
1330,0,-667,talvivaarashales,grades
1289,0,-658,talvivaarashales,grades
1254,0,-654,talvivaarashales,grades
1217,0,-654,talvivaarashales,grades
1188,0,-660,talvivaarashales,grades
1155,0,-664,talvivaarashales,grades
1129,0,-667,talvivaarashales,grades
1105,0,-665,talvivaarashales,grades
1078,0,-645,talvivaarashales,grades
1053,0,-630,talvivaarashales,grades
1028,0,-611,talvivaarashales,grades
