X,Y,Z,formation,section
69,0,-593,topo,grades
105,0,-593,topo,grades
128,0,-588,topo,grades
179,0,-587,topo,grades
273,0,-590,topo,grades
328,0,-599,topo,grades
390,0,-599,topo,grades
453,0,-604,topo,grades
504,0,-607,topo,grades
542,0,-605,topo,grades
588,0,-605,topo,grades
633,0,-612,topo,grades
680,0,-616,topo,grades
751,0,-614,topo,grades
802,0,-613,topo,grades
872,0,-613,topo,grades
925,0,-614,topo,grades
984,0,-612,topo,grades
1033,0,-608,topo,grades
1067,0,-600,topo,grades
1126,0,-600,topo,grades
1155,0,-603,topo,grades
1184,0,-608,topo,grades
1232,0,-608,topo,grades
1276,0,-604,topo,grades
1361,0,-602,topo,grades
1408,0,-599,topo,grades
1489,0,-602,topo,grades
1572,0,-610,topo,grades
1623,0,-609,topo,grades
1695,0,-610,topo,grades
1771,0,-615,topo,grades
1849,0,-617,topo,grades
1854,0,-616,topo,grades
1912,0,-610,topo,grades
1945,0,-609,topo,grades
1981,0,-610,topo,grades
