X,Y,Z,formation
20.0,5.0,-116.5,11.0
20.0,5.0,-107.5,11.0
20.0,5.0,-98.5,11.0
20.0,5.0,-89.5,11.0
20.0,5.0,-80.5,11.0
20.0,5.0,-71.5,11.0
20.0,5.0,-62.5,11.0
20.0,5.0,-53.5,11.0
20.0,15.0,-116.5,11.0
20.0,15.0,-107.5,11.0
20.0,15.0,-98.5,11.0
20.0,15.0,-89.5,11.0
20.0,15.0,-80.5,11.0
20.0,15.0,-71.5,11.0
20.0,15.0,-62.5,11.0
20.0,15.0,-53.5,11.0
20.0,25.0,-125.5,11.0
20.0,25.0,-116.5,11.0
20.0,25.0,-107.5,11.0
20.0,25.0,-98.5,11.0
20.0,25.0,-89.5,11.0
20.0,25.0,-80.5,11.0
20.0,25.0,-71.5,11.0
20.0,25.0,-62.5,11.0
20.0,25.0,-53.5,11.0
20.0,35.0,-125.5,11.0
20.0,35.0,-116.5,11.0
20.0,35.0,-107.5,11.0
20.0,35.0,-98.5,11.0
20.0,35.0,-89.5,11.0
20.0,35.0,-80.5,11.0
20.0,35.0,-71.5,11.0
20.0,35.0,-62.5,11.0
20.0,35.0,-53.5,11.0
20.0,45.0,-125.5,11.0
20.0,45.0,-116.5,11.0
20.0,45.0,-107.5,11.0
20.0,45.0,-98.5,11.0
20.0,45.0,-89.5,11.0
20.0,45.0,-80.5,11.0
20.0,45.0,-71.5,11.0
20.0,45.0,-62.5,11.0
20.0,45.0,-53.5,11.0
20.0,55.0,-125.5,11.0
20.0,55.0,-116.5,11.0
20.0,55.0,-107.5,11.0
20.0,55.0,-98.5,11.0
20.0,55.0,-89.5,11.0
20.0,55.0,-80.5,11.0
20.0,55.0,-71.5,11.0
20.0,55.0,-62.5,11.0
20.0,55.0,-53.5,11.0
20.0,55.0,-44.5,11.0
20.0,65.0,-125.5,11.0
20.0,65.0,-116.5,11.0
20.0,65.0,-107.5,11.0
20.0,65.0,-98.5,11.0
20.0,65.0,-89.5,11.0
20.0,65.0,-80.5,11.0
20.0,65.0,-71.5,11.0
20.0,65.0,-62.5,11.0
20.0,65.0,-53.5,11.0
20.0,65.0,-44.5,11.0
20.0,75.0,-125.5,11.0
20.0,75.0,-116.5,11.0
20.0,75.0,-107.5,11.0
20.0,75.0,-98.5,11.0
20.0,75.0,-89.5,11.0
20.0,75.0,-80.5,11.0
20.0,75.0,-71.5,11.0
20.0,75.0,-62.5,11.0
20.0,75.0,-53.5,11.0
20.0,75.0,-44.5,11.0
20.0,85.0,-125.5,11.0
20.0,85.0,-116.5,11.0
20.0,85.0,-107.5,11.0
20.0,85.0,-98.5,11.0
20.0,85.0,-89.5,11.0
20.0,85.0,-80.5,11.0
20.0,85.0,-71.5,11.0
20.0,85.0,-62.5,11.0
20.0,85.0,-53.5,11.0
20.0,85.0,-44.5,11.0
20.0,95.0,-125.5,11.0
20.0,95.0,-116.5,11.0
20.0,95.0,-107.5,11.0
20.0,95.0,-98.5,11.0
20.0,95.0,-89.5,11.0
20.0,95.0,-80.5,11.0
20.0,95.0,-71.5,11.0
20.0,95.0,-62.5,11.0
20.0,95.0,-53.5,11.0
20.0,95.0,-44.5,11.0
20.0,105.0,-125.5,11.0
20.0,105.0,-116.5,11.0
20.0,105.0,-107.5,11.0
20.0,105.0,-98.5,11.0
20.0,105.0,-89.5,11.0
20.0,105.0,-80.5,11.0
20.0,105.0,-71.5,11.0
20.0,105.0,-62.5,11.0
20.0,105.0,-53.5,11.0
20.0,105.0,-44.5,11.0
20.0,115.0,-125.5,11.0
20.0,115.0,-116.5,11.0
20.0,115.0,-107.5,11.0
20.0,115.0,-98.5,11.0
20.0,115.0,-89.5,11.0
20.0,115.0,-80.5,11.0
20.0,115.0,-71.5,11.0
20.0,115.0,-62.5,11.0
20.0,115.0,-53.5,11.0
20.0,115.0,-44.5,11.0
20.0,125.0,-125.5,11.0
20.0,125.0,-116.5,11.0
20.0,125.0,-107.5,11.0
20.0,125.0,-98.5,11.0
20.0,125.0,-89.5,11.0
20.0,125.0,-80.5,11.0
20.0,125.0,-71.5,11.0
20.0,125.0,-62.5,11.0
20.0,125.0,-53.5,11.0
20.0,125.0,-44.5,11.0
20.0,135.0,-125.5,11.0
20.0,135.0,-116.5,11.0
20.0,135.0,-107.5,11.0
20.0,135.0,-98.5,11.0
20.0,135.0,-89.5,11.0
20.0,135.0,-80.5,11.0
20.0,135.0,-71.5,11.0
20.0,135.0,-62.5,11.0
20.0,135.0,-53.5,11.0
20.0,135.0,-44.5,11.0
20.0,145.0,-125.5,11.0
20.0,145.0,-116.5,11.0
20.0,145.0,-107.5,11.0
20.0,145.0,-98.5,11.0
20.0,145.0,-89.5,11.0
20.0,145.0,-80.5,11.0
20.0,145.0,-71.5,11.0
20.0,145.0,-62.5,11.0
20.0,145.0,-53.5,11.0
20.0,145.0,-44.5,11.0
20.0,155.0,-125.5,11.0
20.0,155.0,-116.5,11.0
20.0,155.0,-107.5,11.0
20.0,155.0,-98.5,11.0
20.0,155.0,-89.5,11.0
20.0,155.0,-80.5,11.0
20.0,155.0,-71.5,11.0
20.0,155.0,-62.5,11.0
20.0,155.0,-53.5,11.0
20.0,155.0,-44.5,11.0
20.0,165.0,-134.5,11.0
20.0,165.0,-125.5,11.0
20.0,165.0,-116.5,11.0
20.0,165.0,-107.5,11.0
20.0,165.0,-98.5,11.0
20.0,165.0,-89.5,11.0
20.0,165.0,-80.5,11.0
20.0,165.0,-71.5,11.0
20.0,165.0,-62.5,11.0
20.0,165.0,-53.5,11.0
20.0,165.0,-44.5,11.0
20.0,175.0,-134.5,11.0
20.0,175.0,-125.5,11.0
20.0,175.0,-116.5,11.0
20.0,175.0,-107.5,11.0
20.0,175.0,-98.5,11.0
20.0,175.0,-89.5,11.0
20.0,175.0,-80.5,11.0
20.0,175.0,-71.5,11.0
20.0,175.0,-62.5,11.0
20.0,175.0,-53.5,11.0
20.0,175.0,-44.5,11.0
20.0,185.0,-134.5,11.0
20.0,185.0,-125.5,11.0
20.0,185.0,-116.5,11.0
20.0,185.0,-107.5,11.0
20.0,185.0,-98.5,11.0
20.0,185.0,-89.5,11.0
20.0,185.0,-80.5,11.0
20.0,185.0,-71.5,11.0
20.0,185.0,-62.5,11.0
20.0,185.0,-53.5,11.0
20.0,185.0,-44.5,11.0
20.0,195.0,-134.5,11.0
20.0,195.0,-125.5,11.0
20.0,195.0,-116.5,11.0
20.0,195.0,-107.5,11.0
20.0,195.0,-98.5,11.0
20.0,195.0,-89.5,11.0
20.0,195.0,-80.5,11.0
20.0,195.0,-71.5,11.0
20.0,195.0,-62.5,11.0
20.0,195.0,-53.5,11.0
20.0,195.0,-44.5,11.0
20.0,205.0,-134.5,11.0
20.0,205.0,-125.5,11.0
20.0,205.0,-116.5,11.0
20.0,205.0,-107.5,11.0
20.0,205.0,-98.5,11.0
20.0,205.0,-89.5,11.0
20.0,205.0,-80.5,11.0
20.0,205.0,-71.5,11.0
20.0,205.0,-62.5,11.0
20.0,205.0,-53.5,11.0
20.0,205.0,-44.5,11.0
20.0,215.0,-134.5,11.0
20.0,215.0,-125.5,11.0
20.0,215.0,-116.5,11.0
20.0,215.0,-107.5,11.0
20.0,215.0,-98.5,11.0
20.0,215.0,-89.5,11.0
