X,Y,Z,grade,borehole
830.0,107.5,-195.25,0.0670894714760426,1
830.0,107.5,-190.75,0.0675086637104222,1
830.0,107.5,-186.25,0.0679157163494563,1
830.0,107.5,-181.75,0.0683089577492452,1
830.0,107.5,-177.25,0.0686868198681712,1
830.0,107.5,-172.75,0.0690478336673782,1
830.0,107.5,-168.25,0.0693906226169658,1
830.0,107.5,-163.75,0.0697138960969697,1
830.0,107.5,-159.25,0.0700164444316765,1
830.0,107.5,-154.75,0.0702971370137104,1
830.0,107.5,-150.25,0.0705549244962142,1
830.0,107.5,-145.75,0.0707888454353192,1
830.0,107.5,-141.25,0.0709980371576559,1
830.0,107.5,-136.75,0.0711817501129612,1
830.0,107.5,-132.25,0.0713393646254609,1
830.0,107.5,-127.75,0.0714704088047936,1
830.0,107.5,-123.25,0.0715745763918149,1
830.0,107.5,-118.75,0.0716517434337813,1
830.0,107.5,-114.25,0.07170198283389,1
830.0,107.5,-109.75,0.071725575945559,1
830.0,107.5,-105.25,0.071723020462698,1
830.0,107.5,-100.75,0.0716950339115036,1
830.0,107.5,-96.25,0.0716425521227449,1
830.0,107.5,-91.75,0.0715667222043972,1
830.0,107.5,-87.25,0.0714688897727745,1
830.0,107.5,-82.75,0.071350580532302,1
830.0,107.5,-78.25,0.0712134766807019,1
830.0,107.5,-73.75,0.0710593889967107,1
830.0,107.5,-69.25,0.0708902257754536,1
830.0,107.5,-64.75,0.0707079599634915,1
690.0,152.5,-127.75,0.0640867152905611,10
690.0,152.5,-123.25,0.0642370243096401,10
690.0,152.5,-118.75,0.064376453479553,10
690.0,152.5,-114.25,0.064504727270006,10
690.0,152.5,-109.75,0.0646216806534413,10
690.0,152.5,-105.25,0.0647272597345051,10
690.0,152.5,-100.75,0.0648215204718968,10
690.0,152.5,-96.25,0.0649046254811037,10
690.0,152.5,-91.75,0.0649768389611265,10
690.0,152.5,-87.25,0.0650385198468692,10
690.0,152.5,-82.75,0.065090113349096,10
690.0,152.5,-78.25,0.0651321411009843,10
690.0,152.5,-73.75,0.0651651901809192,10
690.0,152.5,-69.25,0.0651899013211536,10
870.0,12.5,-267.25,0.063174700062356,11
870.0,12.5,-262.75,0.0636075193082546,11
870.0,12.5,-258.25,0.0635172980561736,11
870.0,12.5,-253.75,0.0631369022350381,11
