X,Y,Z,grade
570.0,2.5,-82.75,0.06173797106263625
570.0,2.5,-78.25,0.061769379326447216
570.0,2.5,-73.75,0.061782243039261074
570.0,2.5,-69.25,0.06177908570333767
570.0,7.5,-82.75,0.06172928905318991
570.0,7.5,-78.25,0.06176124904433635
570.0,7.5,-73.75,0.06177489820125255
570.0,7.5,-69.25,0.06177272705147617
570.0,12.5,-82.75,0.06171270148960775
570.0,12.5,-78.25,0.06174574166466379
570.0,12.5,-73.75,0.06176092292737982
570.0,12.5,-69.25,0.06176067178571515
570.0,17.5,-82.75,0.061689666285463726
570.0,17.5,-78.25,0.06172427027786821
570.0,17.5,-73.75,0.061741656781720736
570.0,17.5,-69.25,0.06174416084131705
570.0,22.5,-82.75,0.06166215251391169
570.0,22.5,-78.25,0.061698740853850284
570.0,22.5,-73.75,0.061718904775395184
570.0,22.5,-69.25,0.06172486523163398
570.0,22.5,-64.75,0.06171920969255811
570.0,27.5,-82.75,0.06163242787269071
570.0,27.5,-78.25,0.06167134420181517
570.0,27.5,-73.75,0.06169473861357597
570.0,27.5,-69.25,0.06170470082413595
570.0,27.5,-64.75,0.061703652494764984
570.0,32.5,-78.25,0.06164434311730403
570.0,32.5,-73.75,0.061671293637189574
570.0,32.5,-69.25,0.06168563909280844
570.0,32.5,-64.75,0.061689622903122826
570.0,37.5,-78.25,0.06161988528180482
570.0,37.5,-73.75,0.06165059073303187
570.0,37.5,-69.25,0.06166954118326929
570.0,37.5,-64.75,0.0616787963542414
570.0,42.5,-78.25,0.061599861352433366
570.0,42.5,-73.75,0.061634401757115626
570.0,42.5,-69.25,0.061658032648246666
570.0,42.5,-64.75,0.06167263047622108
570.0,47.5,-73.75,0.061624165258505066
570.0,47.5,-69.25,0.06165242523852161
570.0,47.5,-64.75,0.06167229361703068
570.0,52.5,-73.75,0.06162094971105353
570.0,52.5,-69.25,0.061653683165166666
570.0,52.5,-64.75,0.061678634078137756
570.0,57.5,-69.25,0.06166242565359272
570.0,57.5,-64.75,0.061692182687051386
570.0,62.5,-64.75,0.06171317919217715
590.0,2.5,-109.75,0.06122709080112468
590.0,2.5,-105.25,0.06144216178251073
590.0,2.5,-100.75,0.061623259406050096
590.0,2.5,-96.25,0.061766572503478855
590.0,2.5,-91.75,0.061869204828613016
590.0,2.5,-87.25,0.06192959675427133
590.0,2.5,-82.75,0.061947947538372294
590.0,2.5,-78.25,0.06192653484609303
590.0,2.5,-73.75,0.061869810894991425
590.0,2.5,-69.25,0.06178418811619322
590.0,7.5,-109.75,0.061208503655640976
590.0,7.5,-105.25,0.06142111088688784
590.0,7.5,-100.75,0.06160009918229664
590.0,7.5,-96.25,0.061741795619347804
590.0,7.5,-91.75,0.06184344494743926
590.0,7.5,-87.25,0.06190361291167282
590.0,7.5,-82.75,0.06192258444835629
590.0,7.5,-78.25,0.06190265913564163
590.0,7.5,-73.75,0.06184823170575096
590.0,7.5,-69.25,0.061765577943102654
590.0,12.5,-109.75,0.061173177361194285
590.0,12.5,-105.25,0.061381113885204494
590.0,12.5,-100.75,0.061556132857923426
590.0,12.5,-96.25,0.06169482075681119
590.0,12.5,-91.75,0.06179468334781407
590.0,12.5,-87.25,0.061854514811286454
590.0,12.5,-82.75,0.06187475214589364
590.0,12.5,-78.25,0.061857727623278826
590.0,12.5,-73.75,0.061807722059830726
590.0,12.5,-69.25,0.061730752161973844
590.0,17.5,-109.75,0.06112451668062455
590.0,17.5,-105.25,0.061326032021871
590.0,17.5,-100.75,0.06149565963360973
590.0,17.5,-96.25,0.061630336315748484
590.0,17.5,-91.75,0.06172791274755555
590.0,17.5,-87.25,0.06178747709001767
590.0,17.5,-82.75,0.06180965313734691
590.0,17.5,-78.25,0.061796799166742265
590.0,17.5,-73.75,0.06175302868567562
590.0,17.5,-69.25,0.061684001798161
590.0,22.5,-105.25,0.06126088561836985
590.0,22.5,-100.75,0.0614242290284295
590.0,22.5,-96.25,0.06155435043192622
590.0,22.5,-91.75,0.061649487174864404
590.0,22.5,-87.25,0.06170904492900967
590.0,22.5,-82.75,0.06173383514356448
590.0,22.5,-78.25,0.06172621835967673
590.0,22.5,-73.75,0.06169009341194356
590.0,22.5,-69.25,0.0616306964020105
590.0,27.5,-105.25,0.06119116250991156
590.0,27.5,-100.75,0.06134784950903677
590.0,27.5,-96.25,0.06147330568069373
590.0,27.5,-91.75,0.06156615754454667
590.0,27.5,-87.25,0.06162611503627606
590.0,27.5,-82.75,0.06165415065330362
590.0,27.5,-78.25,0.06165259209947927
590.0,27.5,-73.75,0.061625085381366365
590.0,27.5,-69.25,0.06157640519359889
590.0,32.5,-105.25,0.06112218244762112
590.0,32.5,-100.75,0.06127227813029593
590.0,32.5,-96.25,0.06139330289221414
590.0,32.5,-91.75,0.06148424462312446
590.0,32.5,-87.25,0.061545078474218355
590.0,32.5,-82.75,0.06157689469174966
590.0,32.5,-78.25,0.06158194940299763
590.0,32.5,-73.75,0.06156360913794368
590.0,32.5,-69.25,0.061526175856590065
590.0,37.5,-105.25,0.061058618210909806
590.0,37.5,-100.75,0.06120250343478652
590.0,37.5,-96.25,0.06131955563230877
590.0,37.5,-91.75,0.06140907718842391
590.0,37.5,-87.25,0.06147125585721937
590.0,37.5,-82.75,0.061507250496089606
590.0,37.5,-78.25,0.061519210089732504
590.0,37.5,-73.75,0.06151020731844675
590.0,37.5,-69.25,0.06148408038980157
590.0,42.5,-105.25,0.06100421092649408
590.0,42.5,-100.75,0.06114245584301086
590.0,42.5,-96.25,0.061256103821610515
590.0,42.5,-91.75,0.06134471629112958
590.0,42.5,-87.25,0.061408637776613643
590.0,42.5,-82.75,0.06144904906186207
590.0,42.5,-78.25,0.06146796397160248
590.0,42.5,-73.75,0.06146815847130407
590.0,42.5,-69.25,0.06145303026504869
590.0,47.5,-100.75,0.06109492051103895
590.0,47.5,-96.25,0.06120574886168986
590.0,47.5,-91.75,0.06129391522424686
590.0,47.5,-87.25,0.061359868941762596
590.0,47.5,-82.75,0.06140477342165528
590.0,47.5,-78.25,0.0614304886393919
590.0,47.5,-73.75,0.06143950062619665
590.0,47.5,-69.25,0.0614347987300468
590.0,52.5,-100.75,0.061061597965867
590.0,52.5,-96.25,0.06117014333653778
590.0,52.5,-91.75,0.06125823708202511
590.0,52.5,-87.25,0.06132638916621608
590.0,52.5,-82.75,0.06137571568692317
590.0,52.5,-78.25,0.0614079132097735
590.0,52.5,-73.75,0.06142519188018207
590.0,52.5,-69.25,0.06143016944719224
590.0,57.5,-100.75,0.06104325303900878
590.0,57.5,-96.25,0.06114996744383728
590.0,57.5,-91.75,0.06123825520732941
590.0,57.5,-87.25,0.0613086518507571
590.0,57.5,-82.75,0.061362205552895274
590.0,57.5,-78.25,0.06140044768109591
590.0,57.5,-73.75,0.06142533140789089
590.0,57.5,-69.25,0.06143914109112716
590.0,62.5,-96.25,0.06114513819579408
590.0,62.5,-91.75,0.06123377982262534
590.0,62.5,-87.25,0.06130636204676416
590.0,62.5,-82.75,0.06136385266421588
590.0,62.5,-78.25,0.06140762200952138
