X,Y,Z,formation,section
13,0,-25,topo,9
107,0,-123,topo,9
201,0,-209,topo,9
269,0,-297,topo,9
351,0,-322,topo,9
460,0,-334,topo,9
561,0,-325,topo,9
700,0,-266,topo,9
841,0,-210,topo,9
1004,0,-155,topo,9
1099,0,-135,topo,9
1123,0,-758,tuff,9
994,0,-640,tuff,9
946,0,-602,tuff,9
790,0,-497,tuff,9
659,0,-426,tuff,9
555,0,-334,tuff,9
587,0,-308,tuff,9
801,0,-195,tuff,9
957,0,-175,tuff,9
1113,0,-241,tuff,9
1141,0,-256,tuff,9
203,0,-1201,lstlens,9
205,0,-1152,lstlens,9
227,0,-1072,lstlens,9
246,0,-1037,lstlens,9
314,0,-953,lstlens,9
368,0,-948,lstlens,9
391,0,-965,lstlens,9
428,0,-1108,lstlens,9
431,0,-1189,lstlens,9
29,0,-1202,biomicritedolomite,9
48,0,-1140,biomicritedolomite,9
69,0,-1007,biomicritedolomite,9
82,0,-948,biomicritedolomite,9
138,0,-742,biomicritedolomite,9
153,0,-628,biomicritedolomite,9
167,0,-601,biomicritedolomite,9
200,0,-459,biomicritedolomite,9
229,0,-367,biomicritedolomite,9
265,0,-327,biomicritedolomite,9
496,0,-325,biomicritedolomite,9
638,0,-287,biomicritedolomite,9
720,0,-249,biomicritedolomite,9
935,0,-185,biomicritedolomite,9
989,0,-185,biomicritedolomite,9
1123,0,-233,biomicritedolomite,9
1150,0,-254,biomicritedolomite,9
195,0,-1180,alkalibasalt,9
165,0,-1105,alkalibasalt,9
156,0,-1011,alkalibasalt,9
154,0,-954,alkalibasalt,9
217,0,-756,alkalibasalt,9
319,0,-678,alkalibasalt,9
378,0,-652,alkalibasalt,9
522,0,-620,alkalibasalt,9
610,0,-652,alkalibasalt,9
625,0,-679,alkalibasalt,9
699,0,-752,alkalibasalt,9
795,0,-766,alkalibasalt,9
849,0,-772,alkalibasalt,9
979,0,-811,alkalibasalt,9
1051,0,-836,alkalibasalt,9
1099,0,-857,alkalibasalt,9
1141,0,-865,alkalibasalt,9
617,0,-1203,trachyandestictuff,9
618,0,-1175,trachyandestictuff,9
627,0,-1122,trachyandestictuff,9
671,0,-1054,trachyandestictuff,9
693,0,-1033,trachyandestictuff,9
782,0,-1018,trachyandestictuff,9
840,0,-1018,trachyandestictuff,9
978,0,-1048,trachyandestictuff,9
1041,0,-1070,trachyandestictuff,9
1118,0,-1104,trachyandestictuff,9
1138,0,-1109,trachyandestictuff,9
38.39732,250,-17.070924,topo,10
157.429012,250,-128.534016,topo,10
207.345528,250,-224.934528,topo,10
333.096751,250,-281.16816,topo,10
473.246969,250,-263.093064,topo,10
670.993167,250,-226.942872,topo,10
875.458896,250,-174.725928,topo,10
1085.684223,250,-106.442232,topo,10
1121.201744,250,-89.371308,topo,10
0,250,-519.156924,biomicritedolomite,10
27.838057,250,-484.010904,biomicritedolomite,10
86.39397,250,-387.610392,biomicritedolomite,10
117.111826,250,-350.456028,biomicritedolomite,10
186.227002,250,-284.180676,biomicritedolomite,10
