X,Y,Z,formation
149.5,234,-122.7,topo
655.5,234,-227.5,topo
126.5,30,-122.7,topo
517.5,42,-306.1,topo
908.5,78,-175.1,topo
586.5,90,-279.9,topo
563.5,318,-227.5,topo
264.5,438,-96.5,topo
379.5,18,-306.1,topo
34.5,42,-44.0999999999999,topo
57.5,462,-17.8999999999998,topo
425.5,534,-122.7,topo
218.5,354,-148.9,topo
402.5,66,-306.1,topo
540.5,306,-227.5,topo
494.5,90,-306.1,topo
632.5,102,-253.7,topo
678.5,234,-201.299999999999,topo
655.5,258,-227.5,topo
333.5,66,-306.1,topo
241.5,570,-70.2999999999999,topo
172.5,570,-44.0999999999999,topo
747.5,534,-70.2999999999999,topo
632.5,522,-96.5,topo
839.5,342,-148.9,topo
195.5,582,-70.2999999999999,topo
517.5,258,-253.7,topo
885.5,78,-175.1,topo
310.5,510,-96.5,topo
1092.5,342,-96.5,topo
356.5,546,-122.7,topo
563.5,522,-122.7,topo
402.5,54,-306.1,topo
839.5,246,-175.1,topo
678.5,510,-70.2999999999999,topo
149.5,18,-148.9,topo
724.5,114,-227.5,topo
356.5,510,-122.7,topo
80.5,186,-70.2999999999999,topo
770.5,222,-201.299999999999,topo
218.5,138,-227.5,topo
1115.5,102,-96.5,topo
34.5,366,-17.8999999999998,topo
678.5,306,-201.299999999999,topo
80.5,474,-17.8999999999998,topo
747.5,378,-148.9,topo
149.5,414,-44.0999999999999,topo
494.5,342,-227.5,topo
862.5,90,-175.1,topo
1115.5,66,-122.7,topo
333.5,30,-306.1,topo
770.5,222,-201.299999999999,topo
241.5,414,-96.5,topo
839.5,258,-175.1,topo
241.5,486,-70.2999999999999,topo
540.5,354,-201.299999999999,topo
839.5,42,-201.299999999999,topo
1069.5,186,-96.5,topo
34.5,534,8.29999999999995,topo
1069.5,126,-96.5,topo
540.5,258,-253.7,topo
80.5,246,-44.0999999999999,topo
448.5,342,-227.5,topo
1092.5,246,-96.5,topo
908.5,222,-148.9,topo
540.5,390,-175.1,topo
816.5,414,-122.7,topo
402.5,414,-148.9,topo
264.5,390,-122.7,topo
977.5,366,-96.5,topo
908.5,78,-541.9,tuff
839.5,342,-437.1,tuff
885.5,78,-541.9,tuff
1092.5,342,-620.5,tuff
839.5,246,-489.5,tuff
724.5,114,-410.9,tuff
770.5,222,-437.1,tuff
1115.5,102,-699.1,tuff
862.5,90,-515.7,tuff
1115.5,66,-725.3,tuff
770.5,222,-437.1,tuff
839.5,258,-489.5,tuff
839.5,42,-515.7,tuff
1069.5,186,-646.7,tuff
1069.5,126,-646.7,tuff
1092.5,246,-646.7,tuff
908.5,222,-515.7,tuff
977.5,366,-489.5,tuff
563.5,318,-1092.1,lstlens
379.5,18,-961.1,lstlens
402.5,66,-987.3,lstlens
540.5,306,-1039.7,lstlens
494.5,90,-1065.9,lstlens
333.5,66,-1013.5,lstlens
517.5,258,-1013.5,lstlens
402.5,54,-987.3,lstlens
494.5,342,-1039.7,lstlens
333.5,30,-961.1,lstlens
540.5,354,-1092.1,lstlens
540.5,258,-1039.7,lstlens
448.5,342,-987.3,lstlens
540.5,390,-1170.7,lstlens
402.5,414,-1170.7,lstlens
149.5,234,-306.1,biomicritedolomite
126.5,30,-751.5,biomicritedolomite
264.5,438,-175.1,biomicritedolomite
34.5,42,-1065.9,biomicritedolomite
218.5,354,-253.7,biomicritedolomite
241.5,570,-201.299999999999,biomicritedolomite
195.5,582,-1144.5,biomicritedolomite
310.5,510,-122.7,biomicritedolomite
1092.5,342,-253.7,biomicritedolomite
149.5,18,-620.5,biomicritedolomite
80.5,186,-410.9,biomicritedolomite
218.5,138,-279.9,biomicritedolomite
1115.5,102,-253.7,biomicritedolomite
34.5,366,-777.7,biomicritedolomite
149.5,414,-751.5,biomicritedolomite
1115.5,66,-227.5,biomicritedolomite
241.5,414,-201.299999999999,biomicritedolomite
241.5,486,-1039.7,biomicritedolomite
1069.5,186,-253.7,biomicritedolomite
1069.5,126,-227.5,biomicritedolomite
80.5,246,-384.7,biomicritedolomite
1092.5,246,-279.9,biomicritedolomite
908.5,222,-201.299999999999,biomicritedolomite
264.5,390,-201.299999999999,biomicritedolomite
977.5,366,-201.299999999999,biomicritedolomite
655.5,234,-594.3,alkalibasalt
517.5,42,-620.5,alkalibasalt
908.5,78,-751.5,alkalibasalt
586.5,90,-620.5,alkalibasalt
563.5,318,-594.3,alkalibasalt
379.5,18,-646.7,alkalibasalt
402.5,66,-646.7,alkalibasalt
540.5,306,-620.5,alkalibasalt
494.5,90,-620.5,alkalibasalt
632.5,102,-620.5,alkalibasalt
678.5,234,-594.3,alkalibasalt
655.5,258,-594.3,alkalibasalt
333.5,66,-672.9,alkalibasalt
172.5,570,-646.7,alkalibasalt
747.5,534,-358.5,alkalibasalt
632.5,522,-358.5,alkalibasalt
839.5,342,-594.3,alkalibasalt
517.5,258,-646.7,alkalibasalt
885.5,78,-751.5,alkalibasalt
1092.5,342,-699.1,alkalibasalt
563.5,522,-410.9,alkalibasalt
402.5,54,-646.7,alkalibasalt
839.5,246,-646.7,alkalibasalt
678.5,510,-384.7,alkalibasalt
724.5,114,-672.9,alkalibasalt
770.5,222,-620.5,alkalibasalt
218.5,138,-777.7,alkalibasalt
1115.5,102,-803.9,alkalibasalt
678.5,306,-568.1,alkalibasalt
747.5,378,-437.1,alkalibasalt
494.5,342,-646.7,alkalibasalt
862.5,90,-725.3,alkalibasalt
1115.5,66,-830.1,alkalibasalt
333.5,30,-646.7,alkalibasalt
770.5,222,-620.5,alkalibasalt
839.5,258,-646.7,alkalibasalt
540.5,354,-594.3,alkalibasalt
839.5,42,-751.5,alkalibasalt
1069.5,186,-751.5,alkalibasalt
1069.5,126,-777.7,alkalibasalt
540.5,258,-620.5,alkalibasalt
448.5,342,-672.9,alkalibasalt
1092.5,246,-725.3,alkalibasalt
908.5,222,-672.9,alkalibasalt
540.5,390,-541.9,alkalibasalt
816.5,414,-384.7,alkalibasalt
402.5,414,-1144.5,alkalibasalt
264.5,390,-1170.7,alkalibasalt
977.5,366,-594.3,alkalibasalt
885.5,78,-1039.7,trachyandestictuff
1092.5,342,-1039.7,trachyandestictuff
724.5,114,-1065.9,trachyandestictuff
1115.5,102,-1065.9,trachyandestictuff
862.5,90,-1039.7,trachyandestictuff
1115.5,66,-1092.1,trachyandestictuff
839.5,42,-1013.5,trachyandestictuff
1069.5,186,-1065.9,trachyandestictuff
1069.5,126,-1065.9,trachyandestictuff
1092.5,246,-1065.9,trachyandestictuff
908.5,222,-1170.7,trachyandestictuff
977.5,366,-1065.9,trachyandestictuff
