X,Y,Z,dip,azimuth,polarity,formation,section
0,0,0,40,90,1,topo,9
107,0,-123,40,90,1,topo,9
171,0,-184,40,90,1,topo,9
269,0,-297,40,90,1,topo,9
313,0,-320,0,90,1,topo,9
460,0,-334,0,90,1,topo,9
530,0,-334,0,90,1,topo,9
700,0,-266,-30,90,1,topo,9
784,0,-226,-20,90,1,topo,9
1004,0,-155,-10,90,1,topo,9
1076,0,-147,-10,90,1,topo,9
29,0,-1202,-100,90,1,biomicritedolomite,9
48,0,-1140,-90,90,1,biomicritedolomite,9
69,0,-1007,-80,90,1,biomicritedolomite,9
101,0,-866,-70,90,1,biomicritedolomite,9
138,0,-742,-60,90,1,biomicritedolomite,9
153,0,-628,-60,90,1,biomicritedolomite,9
179,0,-547,-60,90,1,biomicritedolomite,9
200,0,-459,-60,90,1,biomicritedolomite,9
229,0,-367,-60,90,1,biomicritedolomite,9
306,0,-305,0,90,1,biomicritedolomite,9
496,0,-325,0,90,1,biomicritedolomite,9
638,0,-287,-20,90,1,biomicritedolomite,9
781,0,-232,-20,90,1,biomicritedolomite,9
935,0,-185,-20,90,1,biomicritedolomite,9
1037,0,-198,30,90,1,biomicritedolomite,9
1150,0,-254,40,90,1,biomicritedolomite,9
1146,0,-775,30,90,1,tuff,9
1073,0,-719,30,90,1,tuff,9
994,0,-640,30,90,1,tuff,9
902,0,-570,30,90,1,tuff,9
790,0,-497,30,90,1,tuff,9
659,0,-426,30,90,1,tuff,9
582,0,-365,30,90,1,tuff,9
587,0,-308,180,90,1,tuff,9
707,0,-256,180,90,1,tuff,9
896,0,-171,180,90,1,tuff,9
1017,0,-191,180,90,1,tuff,9
1113,0,-241,180,90,1,tuff,9
1141,0,-256,180,90,1,tuff,9
190,0,-1150,-100,90,1,alkalibasalt,9
165,0,-1105,-100,90,1,alkalibasalt,9
156,0,-1011,-60,90,3.5,alkalibasalt,9
146,0,-897,-60,90,3.5,alkalibasalt,9
217,0,-756,-60,90,2.1,alkalibasalt,9
319,0,-678,-60,90,1,alkalibasalt,9
445,0,-627,-60,90,1,alkalibasalt,9
522,0,-620,0,90,1,alkalibasalt,9
610,0,-652,0,90,1,alkalibasalt,9
637,0,-719,0,90,1,alkalibasalt,9
699,0,-752,0,90,1,alkalibasalt,9
795,0,-766,0,90,1,alkalibasalt,9
904,0,-785,0,90,1,alkalibasalt,9
979,0,-811,0,90,1,alkalibasalt,9
1051,0,-836,0,90,1,alkalibasalt,9
1141,0,-865,0,90,1,alkalibasalt,9
203,0,-1201,130,90,.1,lstlens,9
205,0,-1152,130,90,.1,lstlens,9
227,0,-1072,130,90,.1,lstlens,9
272,0,-1005,130,90,.1,lstlens,9
314,0,-953,170,90,.1,lstlens,9
368,0,-948,190,90,.1,lstlens,9
411,0,-1023,-120,90,.1,lstlens,9
428,0,-1108,-100,90,.1,lstlens,9
431,0,-1189,-100,90,.1,lstlens,9
