,X,Y,Z,grade,borehole
0,816.5,414.0,-1197.9,198.676997407307,1.0
15,816.5,414.0,-834.9000000000001,195.91868613053842,1.0
30,816.5,414.0,-471.9,196.99116418620682,1.0
45,195.5,522.0,-1197.9,199.5830163923576,2.0
60,195.5,522.0,-399.29999999999995,211.51358441433462,2.0
75,356.5,522.0,-907.5,200.63193696626365,3.0
90,356.5,522.0,-544.5,211.58366028416887,3.0
105,356.5,522.0,-181.5,205.4732802359241,3.0
120,425.5,126.0,-907.5,194.62162393256122,4.0
135,425.5,126.0,-544.5,221.17589301013786,4.0
150,425.5,54.0,-1101.1000000000001,195.60087910078852,5.0
165,425.5,54.0,-738.1,196.47496806769968,5.0
180,425.5,54.0,-375.1,211.9568939854255,5.0
195,241.5,66.0,-907.5,196.11400809467614,6.0
210,241.5,66.0,-544.5,217.38337619957045,6.0
225,793.5,306.0,-1052.7,196.86912689594166,7.0
240,793.5,306.0,-689.7,195.98832918717702,7.0
255,241.5,186.0,-1101.1000000000001,195.25048075134282,8.0
270,241.5,186.0,-738.1,215.45346860379905,8.0
285,241.5,186.0,-375.1,221.44967282317114,8.0
300,954.5,210.0,-907.5,197.42789934839217,9.0
315,1069.5,258.0,-1076.9,199.34678320991625,10.0
330,1069.5,258.0,-713.9000000000001,198.54948133262425,10.0
345,126.5,234.0,-955.9000000000001,199.10333430771414,11.0
360,126.5,234.0,-592.9,227.3626759929441,11.0
375,1046.5,330.0,-980.1000000000001,198.79122864523575,12.0
390,1046.5,330.0,-617.1,198.31595674636083,12.0
405,425.5,282.0,-859.1,195.68185004999694,13.0
420,425.5,282.0,-496.1,233.70886273054876,13.0
435,701.5,162.0,-1076.9,195.8984901669929,14.0
450,701.5,162.0,-713.9000000000001,196.15433893195848,14.0
465,471.5,522.0,-1173.7,198.77161787875505,15.0
480,471.5,522.0,-810.7,199.7636245123181,15.0
495,471.5,522.0,-447.70000000000005,204.8257757907857,15.0
510,908.5,438.0,-834.9000000000001,196.9559060029548,16.0
525,908.5,438.0,-471.9,197.02940889167283,16.0
540,425.5,66.0,-1197.9,196.45419242740007,17.0
555,425.5,66.0,-834.9000000000001,194.7021868506107,17.0
570,425.5,66.0,-471.9,214.57690273667146,17.0
585,471.5,390.0,-1004.3000000000001,196.9700693799084,18.0
600,471.5,390.0,-641.3000000000001,209.48279115614716,18.0
615,471.5,390.0,-278.29999999999995,208.65925217993384,18.0
630,356.5,234.0,-931.7,195.0554406379398,19.0
645,356.5,234.0,-568.7,248.53326275547548,19.0
660,333.5,78.0,-1125.3000000000002,195.50788718727057,20.0
675,333.5,78.0,-762.3000000000001,198.854539567295,20.0
690,333.5,78.0,-399.29999999999995,216.70055647544058,20.0
705,172.5,354.0,-931.7,201.04289538388377,21.0
720,172.5,354.0,-568.7,228.78766501284255,21.0
