X,Y,Z,grade_value,grade,section
214,0,-1074,195.224671172042,clusterI,9
229,0,-1051,195.741239342962,clusterI,9
237,0,-1044,195.810232863209,clusterI,9
233,0,-1039,195.087100657992,clusterI,9
231,0,-1034,195.437935522059,clusterI,9
244,0,-1015,195.341580904273,clusterI,9
260,0,-999,195.360369361157,clusterI,9
256,0,-995,195.778980582311,clusterI,9
310,0,-1087,195.559020779102,clusterI,9
308,0,-1092,195.442241161786,clusterI,9
338,0,-1065,195.111063025937,clusterI,9
317,0,-1071,195.88328005103,clusterI,9
342,0,-1038,195.725878641308,clusterI,9
361,0,-1034,195.443581421029,clusterI,9
371,0,-1052,195.249827214875,clusterI,9
381,0,-1075,195.079048170112,clusterI,9
392,0,-1097,195.77869186981,clusterI,9
366,0,-1042,195.748220117729,clusterI,9
387,0,-962,195.866812910284,clusterI,9
408,0,-964,195.265930679875,clusterI,9
432,0,-949,195.312507500736,clusterI,9
430,0,-963,195.603186129806,clusterI,9
431,0,-949,195.278686065024,clusterI,9
458,0,-984,195.180227129633,clusterI,9
470,0,-983,195.918250290461,clusterI,9
478,0,-986,195.357916418781,clusterI,9
481,0,-1000,195.296558470543,clusterI,9
491,0,-1030,195.767888267404,clusterI,9
479,0,-1021,195.759039562302,clusterI,9
505,0,-1055,195.149947998659,clusterI,9
517,0,-1057,195.631866337245,clusterI,9
491,0,-1026,195.438323132315,clusterI,9
649,0,-931,195.507105800366,clusterI,9
629,0,-959,195.889915856541,clusterI,9
605,0,-991,195.111783997953,clusterI,9
614,0,-996,195.017002072061,clusterI,9
597,0,-1024,195.190771858175,clusterI,9
575,0,-1055,195.566558570126,clusterI,9
583,0,-1039,195.757016579545,clusterI,9
564,0,-1078,195.584209348393,clusterI,9
581,0,-1069,195.973865898843,clusterI,9
598,0,-1030,195.140819224851,clusterI,9
607,0,-1036,195.231651103396,clusterI,9
603,0,-1048,195.355720594681,clusterI,9
636,0,-1012,195.856327961599,clusterI,9
653,0,-972,195.65301994073,clusterI,9
632,0,-997,195.508058981338,clusterI,9
606,0,-1030,195.214907406567,clusterI,9
631,0,-1050,195.160437708776,clusterI,9
613,0,-1082,195.789569481908,clusterI,9
600,0,-1109,195.462528465643,clusterI,9
589,0,-1136,195.396366248073,clusterI,9
605,0,-1118,195.914591536852,clusterI,9
597,0,-1108,195.760940240567,clusterI,9
325,0,-680,195.478111069728,clusterI,9
299,0,-697,195.362426855644,clusterI,9
268,0,-710,195.449014288069,clusterI,9
295,0,-702,195.557330994851,clusterI,9
253,0,-739,195.37992733949,clusterI,9
235,0,-748,195.711262916594,clusterI,9
201,0,-782,195.550892438306,clusterI,9
246,0,-742,195.757645221138,clusterI,9
426,0,-663,195.814378950317,clusterI,9
479,0,-678,195.768231614993,clusterI,9
407,0,-687,195.449159655199,clusterI,9
452,0,-692,195.038041809874,clusterI,9
479,0,-682,195.171481817379,clusterI,9
498,0,-683,195.802406738424,clusterI,9
531,0,-711,195.564987779374,clusterI,9
558,0,-710,195.533795815823,clusterI,9
536,0,-710,195.758920795565,clusterI,9
676,0,-807,195.653489406201,clusterI,9
661,0,-793,195.134743564499,clusterI,9
663,0,-795,195.18941357806,clusterI,9
631,0,-777,195.495471117036,clusterI,9
625,0,-782,195.454391203891,clusterI,9
646,0,-787,195.17799872487,clusterI,9
764,0,-876,195.248077550392,clusterI,9
739,0,-865,195.521881459837,clusterI,9
664,0,-895,195.371676583236,clusterI,9
637,0,-916,195.655060492407,clusterI,9
593,0,-886,195.43018327197,clusterI,9
645,0,-854,195.038011203664,clusterI,9
672,0,-830,195.811461708658,clusterI,9
602,0,-842,195.596872581824,clusterI,9
559,0,-819,195.946537416747,clusterI,9
548,0,-807,195.400887179209,clusterI,9
593,0,-792,195.39813799813,clusterI,9
589,0,-810,195.567959951559,clusterI,9
586,0,-839,195.471675670122,clusterI,9
589,0,-811,195.793166380943,clusterI,9
581,0,-786,195.861821189823,clusterI,9
664,0,-831,195.943592693662,clusterI,9
639,0,-815,195.003317273489,clusterI,9
638,0,-877,195.666801886012,clusterI,9
672,0,-875,195.721429330785,clusterI,9
714,0,-860,195.207036612684,clusterI,9
672,0,-891,195.349490902288,clusterI,9
694,0,-855,195.291806234862,clusterI,9
611,0,-890,195.0050223344,clusterI,9
608,0,-882,195.531258677918,clusterI,9
183.347203,250,-1037.309676,195.856014203697,clusterI,10
188.146868,250,-1036.305504,195.250233343225,clusterI,10
231.343853,250,-1010.197032,195.88437373814,clusterI,10
238.063384,250,-1007.184516,195.82318979344,clusterI,10
244.782915,250,-987.101076,195.236150086112,clusterI,10
262.061709,250,-977.059356,195.174973388595,clusterI,10
299.499096,250,-935.888304,195.215691940746,clusterI,10
281.260369,250,-966.013464,195.376131956406,clusterI,10
301.418962,250,-922.834068,195.583431226111,clusterI,10
307.17856,250,-911.788176,195.442262591552,clusterI,10
321.577555,250,-913.79652,195.83328075096,clusterI,10
343.656014,250,-862.583748,195.510693243513,clusterI,10
355.17521,250,-870.617124,195.525528216556,clusterI,10
353.255344,250,-845.512824,195.247608241843,clusterI,10
390.692731,250,-810.366804,195.57176846889,clusterI,10
378.213602,250,-836.475276,195.000006761666,clusterI,10
409.891391,250,-813.37932,195.984061870583,clusterI,10
411.811257,250,-813.37932,195.036753260596,clusterI,10
437.729448,250,-790.283364,195.390568135789,clusterI,10
492.445629,250,-761.162376,195.745201542303,clusterI,10
428.130118,250,-757.145688,195.209276458612,clusterI,10
470.36717,250,-752.124828,195.544830567743,clusterI,10
498.205227,250,-731.037216,195.297132144822,clusterI,10
543.322078,250,-723.00384,195.260183675027,clusterI,10
527.96315,250,-716.978808,195.427736187291,clusterI,10
571.160135,250,-727.020528,195.517770984789,clusterI,10
586.519063,250,-718.987152,195.324088832878,clusterI,10
610.517388,250,-696.895368,195.875588264366,clusterI,10
650.834574,250,-739.070592,195.771607012742,clusterI,10
624.916383,250,-733.04556,195.249321202131,clusterI,10
666.193502,250,-775.220784,195.379211554909,clusterI,10
656.594172,250,-726.016356,195.001976482635,clusterI,10
719.94975,250,-740.074764,195.298787376726,clusterI,10
753.547405,250,-739.070592,195.970850233528,clusterI,10
702.670956,250,-760.158204,195.331123722343,clusterI,10
736.268611,250,-774.216612,195.259524910653,clusterI,10
743.948075,250,-768.19158,195.690189568632,clusterI,10
754.507338,250,-750.116484,195.233488131965,clusterI,10
809.223519,250,-784.258332,195.712485926866,clusterI,10
788.104993,250,-763.17072,195.014368908634,clusterI,10
807.303653,250,-790.283364,195.256696788586,clusterI,10
868.739365,250,-808.35846,195.409766798004,clusterI,10
801.544055,250,-781.245816,195.709148026214,clusterI,10
227.504121,250,-1178.897928,195.595820600229,clusterI,10
249.58258,250,-1152.789456,195.66691579008,clusterI,10
269.741173,250,-1133.710188,195.324449082175,clusterI,10
240.943183,250,-1151.785284,195.80193555691,clusterI,10
279.340503,250,-1099.56834,195.311249856336,clusterI,10
269.741173,250,-1072.455696,195.618634607359,clusterI,10
296.619297,250,-1058.397288,195.775754530678,clusterI,10
233.263719,250,-1109.61006,195.499165790865,clusterI,10
213.105126,250,-1156.806144,195.704707116655,clusterI,10
301.418962,250,-1058.397288,195.153323691447,clusterI,10
