X,Y,Z,grade_value,grade,section
214,0,-1074,195.224671172042,clusterI,9
229,0,-1051,195.741239342962,clusterI,9
233,0,-1039,195.087100657992,clusterI,9
231,0,-1034,195.437935522059,clusterI,9
260,0,-999,195.360369361157,clusterI,9
256,0,-995,195.778980582311,clusterI,9
308,0,-1092,195.442241161786,clusterI,9
338,0,-1065,195.111063025937,clusterI,9
342,0,-1038,195.725878641308,clusterI,9
361,0,-1034,195.443581421029,clusterI,9
381,0,-1075,195.079048170112,clusterI,9
392,0,-1097,195.77869186981,clusterI,9
387,0,-962,195.866812910284,clusterI,9
408,0,-964,195.265930679875,clusterI,9
430,0,-963,195.603186129806,clusterI,9
431,0,-949,195.278686065024,clusterI,9
470,0,-983,195.918250290461,clusterI,9
478,0,-986,195.357916418781,clusterI,9
491,0,-1030,195.767888267404,clusterI,9
479,0,-1021,195.759039562302,clusterI,9
517,0,-1057,195.631866337245,clusterI,9
491,0,-1026,195.438323132315,clusterI,9
629,0,-959,195.889915856541,clusterI,9
605,0,-991,195.111783997953,clusterI,9
597,0,-1024,195.190771858175,clusterI,9
575,0,-1055,195.566558570126,clusterI,9
564,0,-1078,195.584209348393,clusterI,9
581,0,-1069,195.973865898843,clusterI,9
607,0,-1036,195.231651103396,clusterI,9
603,0,-1048,195.355720594681,clusterI,9
653,0,-972,195.65301994073,clusterI,9
632,0,-997,195.508058981338,clusterI,9
631,0,-1050,195.160437708776,clusterI,9
613,0,-1082,195.789569481908,clusterI,9
589,0,-1136,195.396366248073,clusterI,9
605,0,-1118,195.914591536852,clusterI,9
325,0,-680,195.478111069728,clusterI,9
299,0,-697,195.362426855644,clusterI,9
295,0,-702,195.557330994851,clusterI,9
253,0,-739,195.37992733949,clusterI,9
201,0,-782,195.550892438306,clusterI,9
246,0,-742,195.757645221138,clusterI,9
479,0,-678,195.768231614993,clusterI,9
407,0,-687,195.449159655199,clusterI,9
479,0,-682,195.171481817379,clusterI,9
498,0,-683,195.802406738424,clusterI,9
558,0,-710,195.533795815823,clusterI,9
536,0,-710,195.758920795565,clusterI,9
661,0,-793,195.134743564499,clusterI,9
663,0,-795,195.18941357806,clusterI,9
625,0,-782,195.454391203891,clusterI,9
646,0,-787,195.17799872487,clusterI,9
739,0,-865,195.521881459837,clusterI,9
664,0,-895,195.371676583236,clusterI,9
593,0,-886,195.43018327197,clusterI,9
645,0,-854,195.038011203664,clusterI,9
602,0,-842,195.596872581824,clusterI,9
559,0,-819,195.946537416747,clusterI,9
593,0,-792,195.39813799813,clusterI,9
589,0,-810,195.567959951559,clusterI,9
589,0,-811,195.793166380943,clusterI,9
581,0,-786,195.861821189823,clusterI,9
639,0,-815,195.003317273489,clusterI,9
638,0,-877,195.666801886012,clusterI,9
714,0,-860,195.207036612684,clusterI,9
672,0,-891,195.349490902288,clusterI,9
611,0,-890,195.0050223344,clusterI,9
608,0,-882,195.531258677918,clusterI,9
188.146868,250,-1036.305504,195.250233343225,clusterI,10
231.343853,250,-1010.197032,195.88437373814,clusterI,10
244.782915,250,-987.101076,195.236150086112,clusterI,10
262.061709,250,-977.059356,195.174973388595,clusterI,10
281.260369,250,-966.013464,195.376131956406,clusterI,10
301.418962,250,-922.834068,195.583431226111,clusterI,10
321.577555,250,-913.79652,195.83328075096,clusterI,10
343.656014,250,-862.583748,195.510693243513,clusterI,10
353.255344,250,-845.512824,195.247608241843,clusterI,10
390.692731,250,-810.366804,195.57176846889,clusterI,10
409.891391,250,-813.37932,195.984061870583,clusterI,10
411.811257,250,-813.37932,195.036753260596,clusterI,10
492.445629,250,-761.162376,195.745201542303,clusterI,10
428.130118,250,-757.145688,195.209276458612,clusterI,10
498.205227,250,-731.037216,195.297132144822,clusterI,10
543.322078,250,-723.00384,195.260183675027,clusterI,10
571.160135,250,-727.020528,195.517770984789,clusterI,10
586.519063,250,-718.987152,195.324088832878,clusterI,10
650.834574,250,-739.070592,195.771607012742,clusterI,10
624.916383,250,-733.04556,195.249321202131,clusterI,10
656.594172,250,-726.016356,195.001976482635,clusterI,10
719.94975,250,-740.074764,195.298787376726,clusterI,10
702.670956,250,-760.158204,195.331123722343,clusterI,10
736.268611,250,-774.216612,195.259524910653,clusterI,10
754.507338,250,-750.116484,195.233488131965,clusterI,10
809.223519,250,-784.258332,195.712485926866,clusterI,10
807.303653,250,-790.283364,195.256696788586,clusterI,10
868.739365,250,-808.35846,195.409766798004,clusterI,10
227.504121,250,-1178.897928,195.595820600229,clusterI,10
249.58258,250,-1152.789456,195.66691579008,clusterI,10
240.943183,250,-1151.785284,195.80193555691,clusterI,10
279.340503,250,-1099.56834,195.311249856336,clusterI,10
296.619297,250,-1058.397288,195.775754530678,clusterI,10
233.263719,250,-1109.61006,195.499165790865,clusterI,10
301.418962,250,-1058.397288,195.153323691447,clusterI,10
310.058359,250,-1063.418148,195.742345887847,clusterI,10
363.814607,250,-984.08856,195.953421776242,clusterI,10
361.894741,250,-987.101076,195.388597066383,clusterI,10
386.852999,250,-956.975916,195.51495422438,clusterI,10
384.933133,250,-941.913336,195.142683228127,clusterI,10
422.37052,250,-876.642156,195.553158566362,clusterI,10
433.889716,250,-879.654672,195.66036002445,clusterI,10
482.846299,250,-905.763144,195.824420512054,clusterI,10
491.485696,250,-903.7548,195.677145249363,clusterI,10
508.76449,250,-924.842412,195.490757139194,clusterI,10
512.604222,250,-974.04684,195.76681350815,clusterI,10
551.961475,250,-974.04684,195.820734370644,clusterI,10
540.442279,250,-997.142796,195.842549506158,clusterI,10
592.278661,250,-997.142796,195.356572918255,clusterI,10
576.919733,250,-1030.280472,195.474769215429,clusterI,10
598.038259,250,-1055.384772,195.074098552666,clusterI,10
604.75779,250,-1044.33888,195.343316239872,clusterI,10
604.75779,250,-1056.388944,195.392680050832,clusterI,10
631.635914,250,-1112.622576,195.102771108517,clusterI,10
620.116718,250,-1049.35974,195.524461116203,clusterI,10
605.717723,250,-969.02598,195.641530156953,clusterI,10
566.36047,250,-935.888304,195.049717776362,clusterI,10
541.402212,250,-906.767316,195.213145951223,clusterI,10
626.836249,250,-946.934196,195.106189445456,clusterI,10
600.918058,250,-917.813208,195.931868854085,clusterI,10
534.682681,250,-862.583748,195.825895071285,clusterI,10
525.083351,250,-854.550372,195.1865426276,clusterI,10
559.640939,250,-768.19158,195.935023274374,clusterI,10
536.602547,250,-785.262504,195.20284891187,clusterI,10
592.278661,250,-763.17072,195.165497908811,clusterI,10
701.69472,500,-881.5954875,195.44248743752,clusterI,12
702.669296,500,-780.8417175,195.567251952541,clusterI,12
685.126928,500,-759.6834258,195.357141264319,clusterI,12
674.406592,500,-763.7135766,195.509778585946,clusterI,12
635.423552,500,-679.0804098,195.437456669256,clusterI,12
611.059152,500,-640.7939772,195.955454150184,clusterI,12
623.72864,500,-657.9221181,195.176080254086,clusterI,12
579.87272,500,-566.2361874,195.189466343728,clusterI,12
601.313392,500,-549.1080465,195.640974382088,clusterI,12
589.61848,500,-494.7010107,195.142469103842,clusterI,12
644.194736,500,-495.7085484,195.035879651117,clusterI,12
641.271008,500,-516.8668401,195.921706970043,clusterI,12
691.94896,500,-484.6256337,195.672285690463,clusterI,12
733.855728,500,-511.8291516,195.052409962535,clusterI,12
