X,Y,Z,grade_value,grade,section
895,0,-780,250.6828873051509,clusterII,10
867,0,-797,250.54413091753523,clusterII,10
833,0,-812,250.5712412006603,clusterII,10
779,0,-846,250.32624019798982,clusterII,10
820,0,-830,250.428009560039,clusterII,10
875,0,-805,250.97007462044195,clusterII,10
911,0,-771,250.09879850958004,clusterII,10
924,0,-766,250.70898203130506,clusterII,10
892,0,-768,250.05382139220964,clusterII,10
859,0,-796,250.5800078029687,clusterII,10
828,0,-814,250.26088583958105,clusterII,10
884,0,-794,250.9436316753278,clusterII,10
931,0,-760,250.1653193508818,clusterII,10
932,0,-768,250.4938616018526,clusterII,10
886,0,-791,250.10649472674115,clusterII,10
817,0,-826,250.7531937525071,clusterII,10
