X,Y,Z,grade_value,grade,section
756,0,-1302,195.2246711720426,clusterI,9
767,0,-1291,195.40463241746096,clusterI,9
771,0,-1279,195.74123934296293,clusterI,9
761,0,-1295,195.38778681908832,clusterI,9
779,0,-1272,195.81023286320922,clusterI,9
788,0,-1259,195.6266705910665,clusterI,9
775,0,-1267,195.0871006579929,clusterI,9
758,0,-1269,195.36831058818834,clusterI,9
773,0,-1262,195.43793552205986,clusterI,9
786,0,-1243,195.3415809042733,clusterI,9
799,0,-1233,195.4892568657767,clusterI,9
802,0,-1227,195.36036936115786,clusterI,9
780,0,-1235,195.2282851251038,clusterI,9
798,0,-1223,195.7789805823115,clusterI,9
805,0,-1224,195.35618768975394,clusterI,9
852,0,-1315,195.55902077910233,clusterI,9
865,0,-1302,195.05714604001886,clusterI,9
850,0,-1320,195.44224116178646,clusterI,9
863,0,-1298,195.29490244153217,clusterI,9
880,0,-1293,195.11106302593703,clusterI,9
876,0,-1287,195.76712382314489,clusterI,9
859,0,-1299,195.88328005103068,clusterI,9
874,0,-1277,195.08052794167548,clusterI,9
884,0,-1266,195.72587864130864,clusterI,9
883,0,-1278,195.53205267595064,clusterI,9
903,0,-1262,195.44358142102914,clusterI,9
903,0,-1273,195.22390944191332,clusterI,9
913,0,-1280,195.2498272148751,clusterI,9
917,0,-1291,195.99450574450486,clusterI,9
923,0,-1303,195.0790481701126,clusterI,9
935,0,-1313,195.1926727776823,clusterI,9
934,0,-1325,195.77869186981022,clusterI,9
924,0,-1291,195.95237570210605,clusterI,9
908,0,-1270,195.74822011772937,clusterI,9
949,0,-1191,195.9960306050529,clusterI,9
929,0,-1190,195.8668129102846,clusterI,9
946,0,-1184,195.58053837970158,clusterI,9
950,0,-1192,195.26593067987594,clusterI,9
952,0,-1197,195.36277044003128,clusterI,9
974,0,-1177,195.31250750073696,clusterI,9
941,0,-1184,195.52059135563462,clusterI,9
972,0,-1191,195.60318612980694,clusterI,9
998,0,-1199,195.12355504562487,clusterI,9
973,0,-1177,195.27868606502471,clusterI,9
1000,0,-1187,195.91671095163386,clusterI,9
1000,0,-1212,195.18022712963327,clusterI,9
1005,0,-1206,195.058739420818,clusterI,9
1012,0,-1211,195.91825029046194,clusterI,9
1010,0,-1225,195.7442666985249,clusterI,9
1020,0,-1214,195.35791641878143,clusterI,9
1023,0,-1242,195.3355704551786,clusterI,9
1023,0,-1228,195.29655847054337,clusterI,9
1041,0,-1252,195.4851837676891,clusterI,9
1033,0,-1258,195.7678882674043,clusterI,9
1017,0,-1228,195.96294534893184,clusterI,9
1021,0,-1249,195.75903956230204,clusterI,9
1039,0,-1275,195.39597655980128,clusterI,9
1047,0,-1283,195.14994799865914,clusterI,9
1053,0,-1296,195.07063272696303,clusterI,9
1059,0,-1285,195.63186633724558,clusterI,9
1053,0,-1268,195.6631677173732,clusterI,9
1033,0,-1254,195.43832313231565,clusterI,9
1070,0,-1293,195.29534790179858,clusterI,9
1191,0,-1159,195.50710580036693,clusterI,9
1187,0,-1165,195.15829904944718,clusterI,9
1171,0,-1187,195.88991585654168,clusterI,9
1154,0,-1206,195.9414683556423,clusterI,9
1147,0,-1219,195.11178399795335,clusterI,9
1162,0,-1198,195.37372136927075,clusterI,9
1156,0,-1224,195.01700207206164,clusterI,9
1139,0,-1240,195.36995349766363,clusterI,9
1139,0,-1252,195.1907718581755,clusterI,9
1132,0,-1257,195.70801241998603,clusterI,9
1117,0,-1283,195.5665585701268,clusterI,9
1138,0,-1236,195.6977804479275,clusterI,9
1125,0,-1267,195.7570165795451,clusterI,9
1113,0,-1275,195.76812981857807,clusterI,9
1106,0,-1306,195.5842093483939,clusterI,9
1105,0,-1328,195.73411574453758,clusterI,9
1123,0,-1297,195.97386589884337,clusterI,9
1133,0,-1292,195.67221477754077,clusterI,9
1140,0,-1258,195.1408192248511,clusterI,9
1128,0,-1292,195.8104388541803,clusterI,9
1149,0,-1264,195.23165110339667,clusterI,9
1163,0,-1243,195.9717229655764,clusterI,9
1145,0,-1276,195.35572059468151,clusterI,9
1162,0,-1261,195.91707368187772,clusterI,9
1178,0,-1240,195.8563279615994,clusterI,9
1193,0,-1220,195.4026457962209,clusterI,9
1195,0,-1200,195.65301994073016,clusterI,9
1181,0,-1215,195.60974673054767,clusterI,9
1174,0,-1225,195.50805898133873,clusterI,9
1151,0,-1241,195.30038883981058,clusterI,9
1148,0,-1258,195.2149074065674,clusterI,9
1165,0,-1221,195.18897725389343,clusterI,9
1173,0,-1278,195.16043770877653,clusterI,9
1161,0,-1297,195.3319467234545,clusterI,9
1155,0,-1310,195.78956948190873,clusterI,9
1148,0,-1324,195.72028177115882,clusterI,9
1142,0,-1337,195.46252846564394,clusterI,9
