X,Y,Z,formation,section
542,0,-228,topo,9
555,0,-253,topo,9
573,0,-275,topo,9
608,0,-311,topo,9
649,0,-351,topo,9
678,0,-373,topo,9
713,0,-412,topo,9
743,0,-437,topo,9
762,0,-454,topo,9
788,0,-489,topo,9
811,0,-525,topo,9
832,0,-541,topo,9
855,0,-548,topo,9
893,0,-550,topo,9
934,0,-551,topo,9
959,0,-557,topo,9
1002,0,-562,topo,9
1040,0,-560,topo,9
1072,0,-562,topo,9
1103,0,-553,topo,9
1139,0,-539,topo,9
1186,0,-520,topo,9
1242,0,-494,topo,9
1288,0,-473,topo,9
1326,0,-454,topo,9
1383,0,-438,topo,9
1437,0,-418,topo,9
1497,0,-398,topo,9
1546,0,-383,topo,9
1586,0,-376,topo,9
1618,0,-375,topo,9
1641,0,-363,topo,9
1671,0,-350,topo,9
571,0,-1430,biomicritedolomite,9
577,0,-1413,biomicritedolomite,9
590,0,-1368,biomicritedolomite,9
599,0,-1294,biomicritedolomite,9
611,0,-1235,biomicritedolomite,9
624,0,-1176,biomicritedolomite,9
643,0,-1094,biomicritedolomite,9
659,0,-1043,biomicritedolomite,9
680,0,-970,biomicritedolomite,9
689,0,-905,biomicritedolomite,9
695,0,-856,biomicritedolomite,9
709,0,-829,biomicritedolomite,9
721,0,-775,biomicritedolomite,9
733,0,-726,biomicritedolomite,9
742,0,-687,biomicritedolomite,9
751,0,-646,biomicritedolomite,9
771,0,-595,biomicritedolomite,9
807,0,-555,biomicritedolomite,9
848,0,-533,biomicritedolomite,9
943,0,-545,biomicritedolomite,9
1038,0,-553,biomicritedolomite,9
1097,0,-553,biomicritedolomite,9
1180,0,-515,biomicritedolomite,9
1262,0,-477,biomicritedolomite,9
1323,0,-460,biomicritedolomite,9
1410,0,-426,biomicritedolomite,9
1477,0,-413,biomicritedolomite,9
1531,0,-413,biomicritedolomite,9
1579,0,-426,biomicritedolomite,9
1665,0,-461,biomicritedolomite,9
1692,0,-482,biomicritedolomite,9
1688,0,-1003,tuff,9
1665,0,-986,tuff,9
1615,0,-947,tuff,9
1580,0,-910,tuff,9
1536,0,-868,tuff,9
1488,0,-830,tuff,9
1444,0,-798,tuff,9
1400,0,-771,tuff,9
1332,0,-725,tuff,9
1250,0,-682,tuff,9
1201,0,-654,tuff,9
1158,0,-620,tuff,9
1124,0,-593,tuff,9
1097,0,-562,tuff,9
1129,0,-536,tuff,9
1183,0,-518,tuff,9
1249,0,-484,tuff,9
1343,0,-423,tuff,9
1438,0,-399,tuff,9
1499,0,-403,tuff,9
1559,0,-419,tuff,9
1613,0,-436,tuff,9
1655,0,-469,tuff,9
1683,0,-484,tuff,9
745,0,-1430,alkalibasalt,9
748,0,-1398,alkalibasalt,9
760,0,-1368,alkalibasalt,9
769,0,-1341,alkalibasalt,9
769,0,-1325,alkalibasalt,9
769,0,-1310,alkalibasalt,9
743,0,-1314,alkalibasalt,9
728,0,-1331,alkalibasalt,9
707,0,-1333,alkalibasalt,9
702,0,-1302,alkalibasalt,9
698,0,-1239,alkalibasalt,9
696,0,-1182,alkalibasalt,9
688,0,-1125,alkalibasalt,9
702,0,-1055,alkalibasalt,9
759,0,-984,alkalibasalt,9
814,0,-940,alkalibasalt,9
861,0,-906,alkalibasalt,9
920,0,-880,alkalibasalt,9
987,0,-855,alkalibasalt,9
1022,0,-849,alkalibasalt,9
1064,0,-848,alkalibasalt,9
1117,0,-858,alkalibasalt,9
1152,0,-880,alkalibasalt,9
1167,0,-907,alkalibasalt,9
1179,0,-947,alkalibasalt,9
1195,0,-971,alkalibasalt,9
1241,0,-980,alkalibasalt,9
1286,0,-986,alkalibasalt,9
1337,0,-994,alkalibasalt,9
1391,0,-1000,alkalibasalt,9
1446,0,-1013,alkalibasalt,9
1477,0,-1025,alkalibasalt,9
1521,0,-1039,alkalibasalt,9
1555,0,-1050,alkalibasalt,9
1593,0,-1064,alkalibasalt,9
1641,0,-1085,alkalibasalt,9
1683,0,-1093,alkalibasalt,9
745,0,-1429,lstlens,9
749,0,-1402,lstlens,9
747,0,-1380,lstlens,9
754,0,-1334,lstlens,9
769,0,-1300,lstlens,9
788,0,-1265,lstlens,9
814,0,-1233,lstlens,9
833,0,-1203,lstlens,9
856,0,-1181,lstlens,9
877,0,-1175,lstlens,9
910,0,-1176,lstlens,9
933,0,-1193,lstlens,9
953,0,-1251,lstlens,9
965,0,-1301,lstlens,9
970,0,-1336,lstlens,9
966,0,-1385,lstlens,9
973,0,-1417,lstlens,9
1159,0,-1431,trachyandestictuff,9
1160,0,-1403,trachyandestictuff,9
1169,0,-1350,trachyandestictuff,9
1181,0,-1313,trachyandestictuff,9
1213,0,-1282,trachyandestictuff,9
1235,0,-1261,trachyandestictuff,9
1268,0,-1251,trachyandestictuff,9
1324,0,-1246,trachyandestictuff,9
1382,0,-1246,trachyandestictuff,9
1455,0,-1260,trachyandestictuff,9
1520,0,-1276,trachyandestictuff,9
1583,0,-1298,trachyandestictuff,9
1623,0,-1318,trachyandestictuff,9
1660,0,-1332,trachyandestictuff,9
1680,0,-1337,trachyandestictuff,9
