X,Y,Z,formation,section
528,250,-1261,alkalibasalt,10
571,250,-1222,alkalibasalt,10
614,250,-1174,alkalibasalt,10
675,250,-1123,alkalibasalt,10
714,250,-1087,alkalibasalt,10
774,250,-1033,alkalibasalt,10
811,250,-982,alkalibasalt,10
857,250,-948,alkalibasalt,10
892,250,-926,alkalibasalt,10
912,250,-919,alkalibasalt,10
943,250,-919,alkalibasalt,10
985,250,-916,alkalibasalt,10
1042,250,-885,alkalibasalt,10
1108,250,-851,alkalibasalt,10
1187,250,-838,alkalibasalt,10
1276,250,-837,alkalibasalt,10
1334,250,-848,alkalibasalt,10
1415,250,-886,alkalibasalt,10
1479,250,-911,alkalibasalt,10
1551,250,-932,alkalibasalt,10
1659,250,-956,alkalibasalt,10
1704,250,-972,alkalibasalt,10
