X,Y,Z,formation,section
724,500,-1422,biomicritedolomite,12
756,500,-1398,biomicritedolomite,12
774,500,-1357,biomicritedolomite,12
783,500,-1324,biomicritedolomite,12
783,500,-1280,biomicritedolomite,12
763,500,-1205,biomicritedolomite,12
756,500,-1149,biomicritedolomite,12
741,500,-1066,biomicritedolomite,12
724,500,-990,biomicritedolomite,12
691,500,-846,biomicritedolomite,12
691,500,-766,biomicritedolomite,12
703,500,-642,biomicritedolomite,12
723,500,-589,biomicritedolomite,12
760,500,-527,biomicritedolomite,12
805,500,-420,biomicritedolomite,12
842,500,-384,biomicritedolomite,12
850,500,-367,biomicritedolomite,12
902,500,-335,biomicritedolomite,12
1029,500,-282,biomicritedolomite,12
1155,500,-268,biomicritedolomite,12
1288,500,-268,biomicritedolomite,12
1384,500,-293,biomicritedolomite,12
1422,500,-322,biomicritedolomite,12
1453,500,-345,biomicritedolomite,12
1508,500,-370,biomicritedolomite,12
1541,500,-400,biomicritedolomite,12
1581,500,-437,biomicritedolomite,12
1635,500,-500,biomicritedolomite,12
1684,500,-565,biomicritedolomite,12
1707,500,-592,biomicritedolomite,12
