X,Y,Z,formation,section
786,250,-1426,lstlens,10
802,250,-1405,lstlens,10
826,250,-1368,lstlens,10
835,250,-1345,lstlens,10
855,250,-1317,lstlens,10
879,250,-1280,lstlens,10
895,250,-1255,lstlens,10
907,250,-1233,lstlens,10
919,250,-1212,lstlens,10
930,250,-1190,lstlens,10
938,250,-1172,lstlens,10
954,250,-1141,lstlens,10
972,250,-1112,lstlens,10
987,250,-1115,lstlens,10
1023,250,-1155,lstlens,10
1053,250,-1184,lstlens,10
1074,250,-1231,lstlens,10
1098,250,-1246,lstlens,10
1117,250,-1271,lstlens,10
1137,250,-1301,lstlens,10
1141,250,-1327,lstlens,10
1147,250,-1352,lstlens,10
1166,250,-1371,lstlens,10
1179,250,-1396,lstlens,10
1182,250,-1421,lstlens,10
