X,Y,Z,formation,section
542,0,-228,topo,9
555,0,-253,topo,9
573,0,-275,topo,9
608,0,-311,topo,9
649,0,-351,topo,9
678,0,-373,topo,9
713,0,-412,topo,9
743,0,-437,topo,9
762,0,-454,topo,9
788,0,-489,topo,9
811,0,-525,topo,9
832,0,-541,topo,9
855,0,-548,topo,9
893,0,-550,topo,9
934,0,-551,topo,9
959,0,-557,topo,9
1002,0,-562,topo,9
1040,0,-560,topo,9
1072,0,-562,topo,9
1103,0,-553,topo,9
1139,0,-539,topo,9
1186,0,-520,topo,9
1242,0,-494,topo,9
1288,0,-473,topo,9
1326,0,-454,topo,9
1383,0,-438,topo,9
1437,0,-418,topo,9
1497,0,-398,topo,9
1546,0,-383,topo,9
1586,0,-376,topo,9
1618,0,-375,topo,9
1641,0,-363,topo,9
1671,0,-350,topo,9
