X,Y,Z,formation,section
1451,500,-1419,trachyandestictuff,12
1451,500,-1393,trachyandestictuff,12
1450,500,-1364,trachyandestictuff,12
1438,500,-1332,trachyandestictuff,12
1436,500,-1292,trachyandestictuff,12
1431,500,-1249,trachyandestictuff,12
1431,500,-1222,trachyandestictuff,12
1430,500,-1183,trachyandestictuff,12
1431,500,-1134,trachyandestictuff,12
1441,500,-1100,trachyandestictuff,12
1458,500,-1082,trachyandestictuff,12
1489,500,-1092,trachyandestictuff,12
1529,500,-1110,trachyandestictuff,12
1546,500,-1137,trachyandestictuff,12
1579,500,-1164,trachyandestictuff,12
1592,500,-1182,trachyandestictuff,12
1619,500,-1199,trachyandestictuff,12
1642,500,-1219,trachyandestictuff,12
1660,500,-1229,trachyandestictuff,12
1690,500,-1248,trachyandestictuff,12
