X,Y,Z,formation,section
1726,250,-935,tuff,10
1700,250,-917,tuff,10
1650,250,-869,tuff,10
1601,250,-841,tuff,10
1565,250,-821,tuff,10
1525,250,-798,tuff,10
1482,250,-769,tuff,10
1433,250,-739,tuff,10
1397,250,-715,tuff,10
1354,250,-691,tuff,10
1315,250,-654,tuff,10
1288,250,-630,tuff,10
1264,250,-600,tuff,10
1247,250,-575,tuff,10
1244,250,-547,tuff,10
1239,250,-501,tuff,10
1237,250,-466,tuff,10
1257,250,-418,tuff,10
1320,250,-377,tuff,10
1345,250,-377,tuff,10
1410,250,-419,tuff,10
1495,250,-449,tuff,10
1575,250,-483,tuff,10
1642,250,-515,tuff,10
1691,250,-544,tuff,10
