X,Y,Z,formation
11.5,66.0,-1197.9,5
11.5,66.0,-1173.7,5
11.5,66.0,-1149.5,5
11.5,66.0,-1125.3000000000002,5
11.5,66.0,-1101.1000000000001,5
11.5,66.0,-1076.9,5
11.5,66.0,-1052.7,5
11.5,78.0,-1197.9,5
11.5,78.0,-1173.7,5
11.5,78.0,-1149.5,5
11.5,78.0,-1125.3000000000002,5
11.5,78.0,-1101.1000000000001,5
11.5,78.0,-1076.9,5
11.5,78.0,-1052.7,5
11.5,78.0,-1028.5,5
11.5,78.0,-1004.3000000000001,5
11.5,90.0,-1197.9,5
11.5,90.0,-1173.7,5
11.5,90.0,-1149.5,5
11.5,90.0,-1125.3000000000002,5
11.5,90.0,-1101.1000000000001,5
11.5,90.0,-1076.9,5
11.5,90.0,-1052.7,5
11.5,90.0,-1028.5,5
11.5,90.0,-1004.3000000000001,5
11.5,90.0,-980.1000000000001,5
11.5,102.0,-1197.9,5
11.5,102.0,-1173.7,5
11.5,102.0,-1149.5,5
11.5,102.0,-1125.3000000000002,5
11.5,102.0,-1101.1000000000001,5
11.5,102.0,-1076.9,5
11.5,102.0,-1052.7,5
11.5,102.0,-1028.5,5
11.5,102.0,-1004.3000000000001,5
11.5,102.0,-980.1000000000001,5
11.5,102.0,-955.9000000000001,5
11.5,114.0,-1197.9,5
11.5,114.0,-1173.7,5
11.5,114.0,-1149.5,5
11.5,114.0,-1125.3000000000002,5
11.5,114.0,-1101.1000000000001,5
11.5,114.0,-1076.9,5
11.5,114.0,-1052.7,5
11.5,114.0,-1028.5,5
11.5,114.0,-1004.3000000000001,5
11.5,114.0,-980.1000000000001,5
11.5,114.0,-955.9000000000001,5
11.5,114.0,-931.7,5
11.5,126.0,-1197.9,5
11.5,126.0,-1173.7,5
11.5,126.0,-1149.5,5
11.5,126.0,-1125.3000000000002,5
11.5,126.0,-1101.1000000000001,5
11.5,126.0,-1076.9,5
11.5,126.0,-1052.7,5
11.5,126.0,-1028.5,5
11.5,126.0,-1004.3000000000001,5
11.5,126.0,-980.1000000000001,5
11.5,126.0,-955.9000000000001,5
11.5,126.0,-931.7,5
11.5,126.0,-907.5,5
11.5,138.0,-1197.9,5
11.5,138.0,-1173.7,5
11.5,138.0,-1149.5,5
11.5,138.0,-1125.3000000000002,5
11.5,138.0,-1101.1000000000001,5
11.5,138.0,-1076.9,5
11.5,138.0,-1052.7,5
11.5,138.0,-1028.5,5
11.5,138.0,-1004.3000000000001,5
11.5,138.0,-980.1000000000001,5
11.5,138.0,-955.9000000000001,5
11.5,138.0,-931.7,5
11.5,138.0,-907.5,5
11.5,138.0,-883.3000000000001,5
11.5,150.0,-1197.9,5
11.5,150.0,-1173.7,5
11.5,150.0,-1149.5,5
11.5,150.0,-1125.3000000000002,5
11.5,150.0,-1101.1000000000001,5
11.5,150.0,-1076.9,5
11.5,150.0,-1052.7,5
11.5,150.0,-1028.5,5
11.5,150.0,-1004.3000000000001,5
11.5,150.0,-980.1000000000001,5
11.5,150.0,-955.9000000000001,5
11.5,150.0,-931.7,5
11.5,150.0,-907.5,5
11.5,150.0,-883.3000000000001,5
11.5,150.0,-859.1,5
11.5,162.0,-1197.9,5
11.5,162.0,-1173.7,5
11.5,162.0,-1149.5,5
11.5,162.0,-1125.3000000000002,5
11.5,162.0,-1101.1000000000001,5
11.5,162.0,-1076.9,5
11.5,162.0,-1052.7,5
11.5,162.0,-1028.5,5
11.5,162.0,-1004.3000000000001,5
11.5,162.0,-980.1000000000001,5
11.5,162.0,-955.9000000000001,5
11.5,162.0,-931.7,5
11.5,162.0,-907.5,5
11.5,162.0,-883.3000000000001,5
11.5,162.0,-859.1,5
11.5,162.0,-834.9000000000001,5
11.5,162.0,-665.5,5
11.5,162.0,-641.3000000000001,5
11.5,162.0,-617.1,5
11.5,162.0,-592.9,5
11.5,174.0,-1197.9,5
11.5,174.0,-1173.7,5
11.5,174.0,-1149.5,5
11.5,174.0,-1125.3000000000002,5
11.5,174.0,-1101.1000000000001,5
11.5,174.0,-1076.9,5
11.5,174.0,-1052.7,5
11.5,174.0,-1028.5,5
11.5,174.0,-1004.3000000000001,5
11.5,174.0,-980.1000000000001,5
11.5,174.0,-955.9000000000001,5
11.5,174.0,-931.7,5
11.5,174.0,-907.5,5
11.5,174.0,-883.3000000000001,5
11.5,174.0,-859.1,5
11.5,174.0,-834.9000000000001,5
11.5,174.0,-810.7,5
11.5,174.0,-786.5,5
11.5,174.0,-762.3000000000001,5
11.5,174.0,-738.1,5
