X,Y,Z,formation
11.5,6.0,-617.1,4.0
11.5,6.0,-592.9,4.0
11.5,6.0,-568.7,4.0
11.5,6.0,-544.5,4.0
11.5,6.0,-520.3,4.0
11.5,6.0,-496.1,4.0
11.5,6.0,-471.9,4.0
11.5,6.0,-447.70000000000005,4.0
11.5,6.0,-423.5,4.0
11.5,6.0,-399.29999999999995,4.0
11.5,6.0,-375.1,4.0
11.5,6.0,-350.9,4.0
11.5,6.0,-326.70000000000005,4.0
11.5,6.0,-302.5,4.0
11.5,6.0,-278.29999999999995,4.0
11.5,6.0,-254.10000000000002,4.0
11.5,6.0,-229.89999999999998,4.0
11.5,6.0,-205.69999999999993,4.0
11.5,6.0,-181.5,4.0
11.5,6.0,-157.29999999999995,4.0
11.5,6.0,-133.0999999999999,4.0
11.5,6.0,-108.89999999999986,4.0
11.5,6.0,-84.70000000000005,4.0
11.5,6.0,-60.5,4.0
11.5,6.0,-36.299999999999955,4.0
11.5,18.0,-617.1,4.0
11.5,18.0,-592.9,4.0
11.5,18.0,-568.7,4.0
11.5,18.0,-544.5,4.0
11.5,18.0,-520.3,4.0
11.5,18.0,-496.1,4.0
11.5,18.0,-471.9,4.0
11.5,18.0,-447.70000000000005,4.0
11.5,18.0,-423.5,4.0
11.5,18.0,-399.29999999999995,4.0
11.5,18.0,-375.1,4.0
11.5,18.0,-350.9,4.0
11.5,18.0,-326.70000000000005,4.0
11.5,18.0,-302.5,4.0
11.5,18.0,-278.29999999999995,4.0
11.5,18.0,-254.10000000000002,4.0
11.5,18.0,-229.89999999999998,4.0
11.5,18.0,-205.69999999999993,4.0
11.5,18.0,-181.5,4.0
11.5,18.0,-157.29999999999995,4.0
11.5,18.0,-133.0999999999999,4.0
11.5,18.0,-108.89999999999986,4.0
11.5,18.0,-84.70000000000005,4.0
11.5,18.0,-60.5,4.0
11.5,18.0,-36.299999999999955,4.0
11.5,30.0,-617.1,4.0
11.5,30.0,-592.9,4.0
11.5,30.0,-568.7,4.0
11.5,30.0,-544.5,4.0
11.5,30.0,-520.3,4.0
11.5,30.0,-496.1,4.0
11.5,30.0,-471.9,4.0
11.5,30.0,-447.70000000000005,4.0
11.5,30.0,-423.5,4.0
11.5,30.0,-399.29999999999995,4.0
11.5,30.0,-375.1,4.0
11.5,30.0,-350.9,4.0
11.5,30.0,-326.70000000000005,4.0
11.5,30.0,-302.5,4.0
11.5,30.0,-278.29999999999995,4.0
11.5,30.0,-254.10000000000002,4.0
11.5,30.0,-229.89999999999998,4.0
11.5,30.0,-205.69999999999993,4.0
11.5,30.0,-181.5,4.0
11.5,30.0,-157.29999999999995,4.0
11.5,30.0,-133.0999999999999,4.0
11.5,30.0,-108.89999999999986,4.0
11.5,30.0,-84.70000000000005,4.0
11.5,30.0,-60.5,4.0
