X;Y;Z;formation
149.5;234;-908.7;trachyandestictuff
149.5;234;86.9;topo
149.5;234;-148.9;biomicritedolomite
149.5;234;-332.3;alkalibasalt
655.5;234;-620.5;trachyandestictuff
655.5;234;86.9;topo
655.5;234;-253.7;alkalibasalt
126.5;30;86.9;topo
126.5;30;-148.9;biomicritedolomite
126.5;30;-777.7;alkalibasalt
517.5;42;-646.7;trachyandestictuff
517.5;42;86.9;topo
517.5;42;-332.3;alkalibasalt
908.5;78;-777.7;trachyandestictuff
908.5;78;86.9;topo
908.5;78;-201.3;tuff
908.5;78;-568.1;alkalibasalt
586.5;90;-646.7;trachyandestictuff
586.5;90;86.9;topo
586.5;90;-306.1;alkalibasalt
563.5;318;-620.5;trachyandestictuff
563.5;318;86.9;topo
563.5;318;-1092.1;lstlens
563.5;318;-253.7;alkalibasalt
264.5;438;86.9;topo
264.5;438;-122.7;biomicritedolomite
264.5;438;-201.3;alkalibasalt
379.5;18;-672.9;trachyandestictuff
379.5;18;86.9;topo
379.5;18;-961.1;lstlens
379.5;18;-332.3;alkalibasalt
34.5;42;86.9;topo
34.5;42;-70.3;biomicritedolomite
34.5;42;-1092.1;alkalibasalt
57.5;462;86.9;topo
57.5;462;-44.1;biomicritedolomite
425.5;534;86.9;topo
425.5;534;-148.9;alkalibasalt
218.5;354;86.9;topo
218.5;354;-175.1;biomicritedolomite
218.5;354;-279.9;alkalibasalt
402.5;66;-672.9;trachyandestictuff
402.5;66;86.9;topo
402.5;66;-987.3;lstlens
402.5;66;-332.3;alkalibasalt
540.5;306;-646.7;trachyandestictuff
540.5;306;86.9;topo
540.5;306;-1039.7;lstlens
540.5;306;-253.7;alkalibasalt
494.5;90;-646.7;trachyandestictuff
494.5;90;86.9;topo
494.5;90;-1065.9;lstlens
494.5;90;-332.3;alkalibasalt
632.5;102;-646.7;trachyandestictuff
632.5;102;86.9;topo
632.5;102;-279.9;alkalibasalt
678.5;234;-620.5;trachyandestictuff
678.5;234;86.9;topo
678.5;234;-227.5;alkalibasalt
655.5;258;-620.5;trachyandestictuff
655.5;258;86.9;topo
655.5;258;-253.7;alkalibasalt
333.5;66;-699.1;trachyandestictuff
333.5;66;86.9;topo
333.5;66;-1013.5;lstlens
333.5;66;-332.3;alkalibasalt
241.5;570;86.9;topo
241.5;570;-96.5;biomicritedolomite
241.5;570;-227.5;alkalibasalt
172.5;570;86.9;topo
172.5;570;-70.3;biomicritedolomite
172.5;570;-410.9;alkalibasalt
747.5;534;-384.7;trachyandestictuff
747.5;534;86.9;topo
747.5;534;-96.5;alkalibasalt
632.5;522;-384.7;trachyandestictuff
632.5;522;86.9;topo
632.5;522;-122.7;alkalibasalt
839.5;342;-620.5;trachyandestictuff
839.5;342;86.9;topo
839.5;342;-227.5;tuff
839.5;342;-175.1;alkalibasalt
195.5;582;86.9;topo
195.5;582;-96.5;biomicritedolomite
195.5;582;-358.5;alkalibasalt
517.5;258;-672.9;trachyandestictuff
517.5;258;86.9;topo
517.5;258;-1013.5;lstlens
517.5;258;-279.9;alkalibasalt
885.5;78;-777.7;trachyandestictuff
885.5;78;86.9;topo
885.5;78;-201.3;tuff
885.5;78;-568.1;alkalibasalt
310.5;510;86.9;topo
310.5;510;-122.7;biomicritedolomite
310.5;510;-148.9;alkalibasalt
1092.5;342;-725.3;trachyandestictuff
1092.5;342;86.9;topo
1092.5;342;-279.9;tuff
1092.5;342;-122.7;biomicritedolomite
1092.5;342;-646.7;alkalibasalt
356.5;546;86.9;topo
356.5;546;-148.9;alkalibasalt
563.5;522;-437.1;trachyandestictuff
563.5;522;86.9;topo
563.5;522;-148.9;alkalibasalt
402.5;54;-672.9;trachyandestictuff
402.5;54;86.9;topo
402.5;54;-987.3;lstlens
402.5;54;-332.3;alkalibasalt
839.5;246;-672.9;trachyandestictuff
839.5;246;86.9;topo
839.5;246;-201.3;tuff
839.5;246;-515.7;alkalibasalt
678.5;510;-410.9;trachyandestictuff
678.5;510;86.9;topo
678.5;510;-96.5;alkalibasalt
149.5;18;-1039.7;trachyandestictuff
149.5;18;86.9;topo
149.5;18;-175.1;biomicritedolomite
149.5;18;-646.7;alkalibasalt
724.5;114;-699.1;trachyandestictuff
724.5;114;86.9;topo
724.5;114;-253.7;tuff
724.5;114;-437.1;alkalibasalt
356.5;510;86.9;topo
356.5;510;-148.9;alkalibasalt
80.5;186;-1013.5;trachyandestictuff
80.5;186;86.9;topo
80.5;186;-96.5;biomicritedolomite
80.5;186;-437.1;alkalibasalt
770.5;222;-646.7;trachyandestictuff
770.5;222;86.9;topo
770.5;222;-227.5;tuff
770.5;222;-463.3;alkalibasalt
218.5;138;-803.9;trachyandestictuff
218.5;138;86.9;topo
218.5;138;-253.7;biomicritedolomite
218.5;138;-306.1;alkalibasalt
1115.5;102;-830.1;trachyandestictuff
1115.5;102;86.9;topo
1115.5;102;-279.9;tuff
1115.5;102;-122.7;biomicritedolomite
1115.5;102;-725.3;alkalibasalt
34.5;366;86.9;topo
34.5;366;-44.1;biomicritedolomite
34.5;366;-594.3;alkalibasalt
678.5;306;-594.3;trachyandestictuff
678.5;306;86.9;topo
678.5;306;-227.5;alkalibasalt
80.5;474;86.9;topo
80.5;474;-44.1;biomicritedolomite
747.5;378;-463.3;trachyandestictuff
747.5;378;86.9;topo
747.5;378;-175.1;alkalibasalt
149.5;414;86.9;topo
149.5;414;-70.3;biomicritedolomite
149.5;414;-410.9;alkalibasalt
494.5;342;-672.9;trachyandestictuff
494.5;342;86.9;topo
494.5;342;-1039.7;lstlens
494.5;342;-253.7;alkalibasalt
862.5;90;-751.5;trachyandestictuff
862.5;90;86.9;topo
862.5;90;-201.3;tuff
862.5;90;-541.9;alkalibasalt
1115.5;66;-856.3;trachyandestictuff
1115.5;66;86.9;topo
1115.5;66;-253.7;tuff
1115.5;66;-148.9;biomicritedolomite
1115.5;66;-751.5;alkalibasalt
333.5;30;-672.9;trachyandestictuff
333.5;30;86.9;topo
333.5;30;-961.1;lstlens
333.5;30;-332.3;alkalibasalt
770.5;222;-646.7;trachyandestictuff
770.5;222;86.9;topo
770.5;222;-227.5;tuff
770.5;222;-463.3;alkalibasalt
241.5;414;86.9;topo
